《1744-0000》,# カンマ区切りテキスト形式です。
《1744-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1744-0020》,# ・表の区画内での改行は“/”で表記します。
《1744-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1744-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1744-0050》,# 外部リンク
《1744-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535427/44 ～ 50
《1744-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1744g　(GitHub上データを表成型)
《1744-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1744h　(翻刻編集データを表成型 - 未実装)
《1744-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1744-0100》,《版元》,出版地○○,出版元□□□,　
《1744-0670》,《暦日0》,十三／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1744-0680》,《暦日2》,十四／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1744-0690》,《暦日0》,十五／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1744-0700》,《暦日2》,十六／,きのえね,おさん,金,　,めつもん
《1744-0710》,《暦日0》,十七／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1744-0720》,《暦日2》,十八／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1744-0730》,《暦日0》,十九／,ひのとのう,たつ,,　,天火 らうしやく
《1744-0740》,《暦日2》,廿／,つちのえたつ,のそく,木,　,●
《1744-0750》,《暦日0》,廿一／,つちのとのみ,みつ,,　,十し
《1744-0760》,《暦日2》,廿二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1744-0770》,《暦日0》,廿三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1744-0780》,《暦日1》,廿四／,みつのえさる,さたん,金,　,大みやう くゑ日
《1744-0790》,《節中》,清明三月せつとりの初刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1744-0800》,《暦日1》,廿五／,みつのとのとり,とる,金,　,神よし 大みやう
《1744-0810》,《暦日2》,廿六／,きのえいぬ,やふる,火,　, くさかりよし
《1744-0820》,《暦日0》,廿七／,きのとのい,あやふ,,　,●
《1744-0830》,《暦日2》,廿八／,ひのえね,なる,水,　,きしく きこ
《1744-0840》,《暦日0》,廿九／,ひのとのうし,おさん,,　,十し
《1744-0850》,《暦日1》,卅／,つちのえとら,ひらく,土,　,天しや よろつよし
《1744-0860》,《月序》,三月,小,建,戊辰,箕宿　張　月よう
《1744-0870》,《暦日1》,一／,つちのとのう,とつ,土,　,神よし 大みやう ふく日
《1744-0880》,《暦日2》,二／,かのえたつ,たつ,金,　,くゑ日
《1744-0890》,《暦日0》,三／,かのとのみ,のそく,,　,ちう日
《1744-0900》,《暦日2》,四／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1744-0910》,《暦日0》,五／,みつのとのひつし,たいら,,　,めつもん 地火
《1744-0920》,《暦日2》,六／,きのえさる,さたん,水,とよういの一刻ニ入/十方くれニ入,大みやう くゑ日
《1744-0930》,《暦日0》,七／,きのとのとり,とる,,　,神よし  くさかりよし
《1744-0940》,《暦日2》,八／,ひのえいぬ,やふる,土,　,五む日
《1744-0950》,《暦日0》,九／,ひのとのい,あやふ,,　,●
《1744-0960》,《節中》,穀雨三月中いの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1744-0970》,《暦日2》,十／,つちのえね,なる,火,　,きこ ふく日
《1744-0980》,《暦日0》,十一／,つちのとのうし,おさん,,　,十し
《1744-0990》,《暦日2》,十二／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1744-1000》,《暦日0》,十三／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1744-1010》,《暦日1》,十四／,みつのえたつ,たつ,水,　,大みやう 五む日
《1744-1020》,《食記》,月帯そく
《1744-1030》,《暦日1》,十五／,みつのとのみ,のそく,水,天一天上,ちう日  けんふくよし
《1744-1040》,《暦日2》,十六／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1744-1050》,《暦日0》,十七／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1744-1060》,《暦日2》,十八／,ひのえさる,さたん,火,　,くゑ日
《1744-1070》,《暦日0》,十九／,ひのとのとり,とる,,　,神よし  いちたちよし
《1744-1080》,《暦日2》,廿／,つちのえいぬ,やふる,木,八十八や,ふく日
《1744-1090》,《暦日0》,廿一／,つちのとのい,あやふ,,　,●
《1744-1100》,《暦日2》,廿二／,かのえね,なる,土,　,神よし きこ
《1744-1110》,《暦日0》,廿三／,かのとのうし,おさん,,　,十し
《1744-1120》,《暦日1》,廿四／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1744-1130》,《節中》,立夏四月せつ翌とらの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1744-1140》,《暦日1》,廿五／,みつのとのう,ひらく,金,　,神よし  かといて さひらきよし
《1744-1150》,《暦日2》,廿六／,きのえたつ,とつ,火,　,きしく 大みやう
《1744-1160》,《暦日0》,廿七／,きのとのみ,たつ,,　,●
《1744-1170》,《暦日2》,廿八／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1744-1180》,《暦日0》,廿九／,ひのとのひつし,みつ,,　,くゑ日
《1744-1190》,《月序》,四月,大,建,己巳,斗宿　翼　火よう
《1744-1200》,《暦日2》,一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1744-1210》,《暦日0》,二／,つちのとのとり,さたん,,　,十し
《1744-1220》,《暦日2》,三／,かのえいぬ,とる,金,　,大みやう わうまう  やたて くさかりよし
《1744-1230》,《暦日0》,四／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1744-1240》,《暦日2》,五／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1744-1250》,《暦日0》,六／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1744-1260》,《暦日2》,七／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1744-1270》,《暦日0》,八／,きのとのう,ひらく,,　,神よし  さひらきよし
《1744-1280》,《暦日2》,九／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1744-1290》,《暦日0》,十／,ひのとのみ,たつ,,　,●
《1744-1300》,《暦日1》,十一／,つちのえむま,のそく,火,ま日,くゑ日
《1744-1310》,《節中》,小満四月中たつの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1744-1320》,《暦日1》,十二／,つちのとのひつし,みつ,火,　,大みやう くゑ日
《1744-1330》,《暦日2》,十三／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1744-1340》,《暦日0》,十四／,かのとのとり,さたん,,　,十し
《1744-1350》,《暦日2》,十五／,みつのえいぬ,とる,水,ま日,ふく日
《1744-1360》,《暦日0》,十六／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1744-1370》,《暦日2》,十七／,きのえね,あやふ,金,　
《1744-1380》,《暦日0》,十八／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1744-1390》,《暦日2》,十九／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1744-1400》,《暦日0》,廿／,ひのとのう,ひらく,,　,神よし  わたましよし
《1744-1410》,《暦日2》,廿一／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1744-1420》,《暦日0》,廿二／,つちのとのみ,たつ,,　,●
《1744-1430》,《暦日2》,廿三／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1744-1440》,《暦日0》,廿四／,かのとのひつし,みつ,,　,大みやう くゑ日
《1744-1450》,《暦日2》,廿五／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1744-1460》,《暦日0》,廿六／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1744-1470》,《節中》,芒種五月せつひつしの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1744-1480》,《暦日2》,廿七／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1744-1490》,《暦日0》,廿八／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1744-1500》,《暦日2》,廿九／,ひのえね,やふる,水,　,●
《1744-1510》,《暦日0》,卅／,ひのとのうし,あやふ,,　,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
《1744-1520》,《月序》,五月,小,建,庚午,牛宿　角　木よう
《1744-1530》,《暦日2》,一／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1744-1540》,《暦日0》,二／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1744-1550》,《暦日2》,三／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1744-1560》,《暦日0》,四／,かのとのみ,とつ,,　,十し
《1744-1570》,《暦日2》,五／,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
《1744-1580》,《暦日0》,六／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1744-1590》,《暦日2》,七／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1744-1600》,《暦日0》,八／,きのとのとり,たいら,,　,神よし めつもん 地火
《1744-1610》,《暦日2》,九／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1744-1620》,《暦日0》,十／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1744-1630》,《暦日1》,十一／,つちのえね,やふる,火,　,●
《1744-1640》,《節中》,夏至五月中いぬの一刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1744-1650》,《暦日1》,十二／,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
《1744-1660》,《暦日2》,十三／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1744-1670》,《暦日0》,十四／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1744-1680》,《暦日2》,十五／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1744-1690》,《暦日0》,十六／,みつのとのみ,とつ,,天一天上,十し
《1744-1700》,《暦日2》,十七／,きのえむま,たつ,金,　,天しや よろつよし
《1744-1710》,《暦日0》,十八／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
