《1759-0000》,# カンマ区切りテキスト形式です。
《1759-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1759-0020》,# ・表の区画内での改行は“/”で表記します。
《1759-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1759-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1759-0050》,# 外部リンク
《1759-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/68 ～ 73
《1759-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1759g　(GitHub上データを表成型)
《1759-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1759h　(翻刻編集データを表成型 - 未実装)
《1759-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1759-0100》,《版元》,出版地○○,出版元□□□,　
《1759-0650》,《暦日2》,十一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1759-0660》,《暦日0》,十二／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1759-0670》,《暦日2》,十三／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1759-0680》,《暦日0》,十四／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1759-0690》,《暦日2》,十五／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1759-0700》,《暦日0》,十六／,ひのとのう,たつ,,　,天おん 天火 らうしやく 金性の人うけニ入
《1759-0710》,《暦日2》,十七／,つちのえたつ,のそく,木,　,●
《1759-0720》,《暦日0》,十八／,つちのとのみ,みつ,,　,十し
《1759-0730》,《暦日2》,十九／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1759-0740》,《暦日0》,廿／,かのとのひつし,さたん,,ひかんニなる,大みやう ちいみ ふく日  くらたて 井ほりよし
《1759-0750》,《暦日2》,廿一／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1759-0760》,《暦日0》,廿二／,みつのとのとり,やふる,,　,大みやう わうまう  やたてよし
《1759-0770》,《暦日2》,廿三／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1759-0780》,《暦日0》,廿四／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1759-0790》,《暦日1》,廿五／,ひのえね,おさん,水,　,きしく 母倉 めつもん  たねかしよし
《1759-0800》,《節中》,春分二月中今暁うしの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1759-0810》,《暦日1》,廿六／,ひのとのうし,ひらく,水,　,大みやう  ものたち  つめとりよし
《1759-0820》,《暦日2》,廿七／,つちのえとら,とつ,土,社日,天しや よろつよし
《1759-0830》,《暦日0》,廿八／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1759-0840》,《暦日2》,廿九／,かのえたつ,のそく,金,　,●
《1759-0850》,《暦日0》,卅／,かのとのみ,みつ,,　,十し
《1759-0860》,《月序》,三月,小,建,戊辰,畢宿　角　木よう
《1759-0870》,《暦日2》,一／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1759-0880》,《暦日0》,二／,みつのとのひつし,さたん,,　,天おん ちいみ
《1759-0890》,《暦日2》,三／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1759-0900》,《暦日0》,四／,きのとのとり,やふる,,　,ふく日
《1759-0910》,《暦日2》,五／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1759-0920》,《暦日0》,六／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1759-0930》,《暦日2》,七／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《1759-0940》,《暦日0》,八／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1759-0950》,《暦日2》,九／,かのえとら,とつ,木,　,きこ  つめとりよし
《1759-0960》,《暦日0》,十／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1759-0970》,《節中》,清明三月せつうの六刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1759-0980》,《暦日2》,十一／,みつのえたつ,たつ,水,　,さい下しき 大みやう 月とく 五む日
《1759-0990》,《暦日0》,十二／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1759-1000》,《暦日2》,十三／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1759-1010》,《暦日0》,十四／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1759-1020》,《暦日2》,十五／,ひのえさる,さたん,火,　,くゑ日
《1759-1030》,《暦日0》,十六／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1759-1040》,《暦日2》,十七／,つちのえいぬ,やふる,木,　,ふく日
《1759-1050》,《暦日0》,十八／,つちのとのい,あやふ,,　,●
《1759-1060》,《暦日2》,十九／,かのえね,なる,土,　,神よし きこ
《1759-1070》,《暦日0》,廿／,かのとのうし,おさん,,　,十し
《1759-1080》,《暦日2》,廿一／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1759-1090》,《暦日0》,廿二／,みつのとのう,とつ,,とようみの七刻ニ入,神よし  けんふく かといてよし
《1759-1100》,《暦日2》,廿三／,きのえたつ,たつ,火,　,きしく 大みやう くゑ日
《1759-1110》,《暦日0》,廿四／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1759-1120》,《暦日1》,廿五／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1759-1130》,《節中》,穀雨三月中むまの三刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1759-1140》,《暦日1》,廿六／,ひのとのひつし,たいら,水,　,神よし 月とく めつもん 地火
《1759-1150》,《暦日2》,廿七／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1759-1160》,《暦日0》,廿八／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1759-1170》,《暦日1》,廿九／,かのえいぬ,やふる,金,　,大みやう 天おん
《1759-1180》,《月序》,四月,小,建,己巳,觜宿　亢　金よう
《1759-1190》,《暦日1》,一／,かのとのい,あやふ,金,　,●
《1759-1200》,《暦日2》,二／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1759-1210》,《暦日0》,三／,みつのとのうし,おさん,,ま日,十し
《1759-1220》,《暦日2》,四／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1759-1230》,《暦日0》,五／,きのとのう,とつ,,　,神よし  ものたちよし
《1759-1240》,《暦日2》,六／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1759-1250》,《暦日0》,七／,ひのとのみ,のそく,,八十八や,母倉 月とく ちう日  いちたちよし
《1759-1260》,《暦日2》,八／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1759-1270》,《暦日0》,九／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1759-1280》,《暦日2》,十／,かのえさる,さたん,木,　,大みやう くゑ日
《1759-1290》,《暦日0》,十一／,かのとのとり,さたん,,　,十し
《1759-1300》,《節中》,立夏四月せつとりの初刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1759-1310》,《暦日2》,十二／,みつのえいぬ,とる,水,ま日,ふく日
《1759-1320》,《暦日0》,十三／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1759-1330》,《暦日2》,十四／,きのえね,あやふ,金,　,天おん
《1759-1340》,《暦日0》,十五／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1759-1350》,《暦日2》,十六／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1759-1360》,《暦日0》,十七／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1759-1370》,《暦日2》,十八／,つちのえたつ,とつ,木,　,五む日 くゑ日 わうまう
《1759-1380》,《暦日0》,十九／,つちのとのみ,たつ,,　,●
《1759-1390》,《暦日2》,廿／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1759-1400》,《暦日0》,廿一／,かのとのひつし,みつ,,　,大みやう くゑ日
《1759-1410》,《暦日2》,廿二／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1759-1420》,《暦日0》,廿三／,みつのとのとり,さたん,,　,十し
《1759-1430》,《暦日2》,廿四／,きのえいぬ,とる,火,　, やたて くらたてよし
《1759-1440》,《暦日0》,廿五／,きのとのい,やふる,,　,月とく ちう日
《1759-1450》,《暦日1》,廿六／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1759-1460》,《節中》,小満四月中いの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1759-1470》,《暦日1》,廿七／,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
《1759-1480》,《暦日2》,廿八／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1759-1490》,《暦日0》,廿九／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1759-1500》,《月序》,五月,大,建,庚午,參宿　氐　土よう
《1759-1510》,《暦日2》,一／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1759-1520》,《暦日0》,二／,かのとのみ,たつ,,　,●
《1759-1530》,《暦日2》,三／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1759-1540》,《暦日0》,四／,みつのとのひつし,みつ,,　,くゑ日
《1759-1550》,《暦日2》,五／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1759-1560》,《暦日0》,六／,きのとのとり,さたん,,　,十し
《1759-1570》,《暦日2》,七／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1759-1580》,《暦日0》,八／,ひのとのい,やふる,,　,大みやう ちう日
《1759-1590》,《暦日2》,九／,つちのえね,あやふ,火,　, けんふくよし
《1759-1600》,《暦日0》,十／,つちのとのうし,なる,,　,きこ  つめとりよし
《1759-1610》,《暦日2》,十一／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1759-1620》,《暦日0》,十二／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1759-1630》,《暦日1》,十三／,みつのえたつ,ひらく,水,入梅,さい下しき 大みやう 五む日
《1759-1640》,《節中》,芒種五月せつ今暁とらの二刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1759-1650》,《暦日1》,十四／,みつのとのみ,とつ,水,天一天上,十し
《1759-1660》,《暦日2》,十五／,きのえむま,たつ,金,　,天しや よろつよし
《1759-1670》,《暦日0》,十六／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1759-1680》,《暦日2》,十七／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1759-1690》,《暦日0》,十八／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1759-1700》,《暦日2》,十九／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1759-1710》,《暦日0》,廿／,つちのとのい,とる,,　,神よし ちう日
《1759-1720》,《暦日2》,廿一／,かのえね,やふる,土,　,●
《1759-1730》,《暦日0》,廿二／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
