《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-0620》,《暦日2》,七／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1787-0630》,《暦日0》,八／,ひのとのひつし,さたん,,　,神よし ちいみ
《1787-0640》,《暦日2》,九／,つちのえさる,とる,土,　,神よし  たねまきよし
《1787-0650》,《暦日0》,十／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1787-0660》,《暦日2》,十一／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1787-0670》,《暦日0》,十二／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1787-0680》,《暦日2》,十三／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1787-0690》,《暦日0》,十四／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1787-0700》,《暦日2》,十五／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1787-0710》,《暦日0》,十六／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1787-0720》,《暦日2》,十七／,ひのえたつ,のそく,土,ま日,●
《1787-0730》,《暦日0》,十八／,ひのとのみ,みつ,,　,十し
《1787-0740》,《暦日1》,十九／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1787-0750》,《節中》,清明三月せつ今暁とらの六刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1787-0760》,《暦日1》,廿／,つちのとのひつし,たいら,火,　,神よし 大みやう ふく日 めつもん 地火
《1787-0770》,《暦日2》,廿一／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1787-0780》,《暦日0》,廿二／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1787-0790》,《暦日2》,廿三／,みつのえいぬ,やふる,水,ま日,月とく
《1787-0800》,《暦日0》,廿四／,みつのとのい,あやふ,,八せんのおはり,●
《1787-0810》,《暦日2》,廿五／,きのえね,なる,金,　,きしく くゑ日 きこ
《1787-0820》,《暦日0》,廿六／,きのとのうし,おさん,,　,十し
《1787-0830》,《暦日2》,廿七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1787-0840》,《暦日0》,廿八／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1787-0850》,《暦日1》,廿九／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1787-0860》,《月序》,三月,小,建,甲辰,畢宿　軫　水よう
《1787-0870》,《暦日1》,一／,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
