《1719-0000》,# カンマ区切りテキスト形式です。
《1719-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1719-0020》,# ・表の区画内での改行は“/”で表記します。
《1719-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1719-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1719-0050》,# 外部リンク
《1719-0690》,《暦日2》,十五／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1719-0700》,《暦日0》,十六／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1719-0710》,《暦日2》,十七／,かのえさる,とる,木,　,神よし 大みやう
《1719-0720》,《暦日0》,十八／,かのとのとり,とる,,三月せつさるの五刻ニ入,神よし 大みやう  井ほりよし
《1719-0730》,《暦日2》,十九／,みつのえいぬ,やふる,水,ま日
《1719-0740》,《暦日0》,廿／,みつのとのい,あやふ,,八せんのおはり,●
《1719-0750》,《暦日2》,廿一／,きのえね,なる,金,　,くゑ日 きこ
《1719-0760》,《暦日0》,廿二／,きのとのうし,おさん,,　,十し
《1719-0770》,《暦日2》,廿三／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1719-0780》,《暦日0》,廿四／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1719-0790》,《暦日2》,廿五／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《1719-0800》,《暦日0》,廿六／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1719-0810》,《暦日2》,廿七／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1719-0820》,《暦日0》,廿八／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1719-0830》,《暦日2》,廿九／,みつのえさる,さたん,金,　,大みやう くゑ日
《1719-0840》,《暦日0》,卅／,みつのとのとり,とる,,とよういぬの六刻ニ入,神よし 大みやう
《1719-0850》,《月序》,三月,小,建,戊辰,奎宿　角　木よう
《1719-0860》,《暦日2》,一／,きのえいぬ,やふる,火,　, くさかりよし
《1719-0870》,《暦日0》,二／,きのとのい,あやふ,,　,●
《1719-0880》,《暦日2》,三／,ひのえね,なる,水,三月中いの二刻,きこ
《1719-0890》,《暦日0》,四／,ひのとのうし,おさん,,　,十し
《1719-0900》,《暦日2》,五／,つちのえとら,ひらく,土,　,天しや よろつよし
