《1858-0000》,# カンマ区切りテキスト形式です。
《1858-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1858-0020》,# ・表の区画内での改行は“/”で表記します。
《1858-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1858-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1858-0050》,# 外部リンク
《1858-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/47 ～ 55
《1858-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1858g　(GitHub上データを表成型)
《1858-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1858h　(翻刻編集データを表成型 - 未実装)
《1858-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1858-0100》,《版元》,出版地○○,出版元□□□,　
《1858-0660》,《暦日0》,十一／,ひのとのみ,みつ,,　,十し
《1858-0670》,《暦日2》,十二／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1858-0680》,《暦日0》,十三／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1858-0690》,《暦日2》,十四／,かのえさる,とる,木,　,神よし 大みやう
《1858-0700》,《暦日0》,十五／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1858-0710》,《暦日2》,十六／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1858-0720》,《暦日0》,十七／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1858-0730》,《暦日2》,十八／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1858-0740》,《暦日0》,十九／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1858-0750》,《暦日2》,廿／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1858-0760》,《暦日0》,廿一／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1858-0770》,《暦日1》,廿二／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1858-0780》,《節中》,清明三月せつ朝四時五分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1858-0790》,《暦日1》,廿三／,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
《1858-0800》,《暦日2》,廿四／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1858-0810》,《暦日0》,廿五／,かのとのひつし,たいら,,　,大みやう めつもん 地火
