«1713-0000»,【 カンマ区切りテキスト形式です。】
«1713-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1713-0660»,«暦日2»,十四〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1713-0670»,«暦日0»,十五〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1713-0680»,«暦日2»,十六〳,きのえね,おさん,金,　,めつもん
«1713-0690»,«暦日0»,十七〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1713-0700»,«暦日2»,十八〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1713-0710»,«暦日0»,十九〳,ひのとのう,たつ,,　,天火 らうしやく
«1713-0720»,«暦日2»,廿〳,つちのえたつ,のそく,木,　,●
«1713-0730»,«暦日0»,廿一〳,つちのとのみ,みつ,,　,十し
«1713-0740»,«暦日2»,廿二〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1713-0750»,«暦日0»,廿三〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1713-0760»,«暦日2»,廿四〳,みつのえさる,とる,金,　,大みやう わうまう  入学よし
«1713-0770»,«暦日0»,廿五〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1713-0780»,«暦日2»,廿六〳,きのえいぬ,あやふ,火,　, かといてよし
«1713-0790»,«暦日0»,廿七〳,きのとのい,なる,,春分二月中ねの五刻,ちう日 ふく日  みそすつくりよし
«1713-0800»,«暦日2»,廿八〳,ひのえね,おさん,水,　,きしく めつもん  たねかしよし
«1713-0810»,«暦日0»,廿九〳,ひのとのうし,ひらく,,ひかんニなる,大みやう  ものたち  つめとりよし
«1713-0820»,«月序»,三月,大,建,丙辰,翼宿　星　日よう
«1713-0830»,«暦日2»,一〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1713-0840»,«暦日0»,二〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1713-0850»,«暦日2»,三〳,かのえたつ,のそく,金,　,●
«1713-0860»,«暦日0»,四〳,かのとのみ,みつ,,　,十し
