《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0730》,《暦日2》,廿／,かのえね,なる,土,三月せつとらの二刻ニ入,神よし きこ
《0740》,《暦日0》,廿一／,かのとのうし,おさん,,　,十し
《0750》,《暦日2》,廿二／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《0760》,《暦日0》,廿三／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《0770》,《暦日2》,廿四／,きのえたつ,たつ,火,　,大みやう くゑ日
《0780》,《暦日0》,廿五／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《0790》,《暦日2》,廿六／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《0800》,《暦日0》,廿七／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《0810》,《暦日2》,廿八／,つちのえさる,さたん,土,　,くゑ日 ふく日
《0820》,《暦日0》,廿九／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《0830》,《月序》,三月,大,建,甲辰,翼宿　參　水よう
《0840》,《暦日2》,一／,かのえいぬ,やふる,金,　,大みやう
《0850》,《暦日0》,二／,かのとのい,あやふ,,　,●
《0860》,《暦日2》,三／,みつのえね,なる,木,八せんのはしめ/とようたつの三刻ニ入,神よし きしく きこ
《0870》,《暦日0》,四／,みつのとのうし,おさん,,ま日,十し
《0880》,《暦日2》,五／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0890》,《暦日0》,六／,きのとのう,とつ,,三月中たつの七刻,神よし  ものたちよし
《0900》,《暦日2》,七／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0910》,《暦日0》,八／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《0920》,《暦日2》,九／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《0930》,《暦日0》,十／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0940》,《暦日2》,十一／,かのえさる,さたん,木,　,大みやう くゑ日 わうまう
《0950》,《暦日0》,十二／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0960》,《暦日2》,十三／,みつのえいぬ,やふる,水,ま日
《0970》,《暦日0》,十四／,みつのとのい,あやふ,,八せんのおはり,●
