《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《3110》,《暦日2》,十五／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3120》,《暦日0》,十六／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3130》,《暦日2》,十七／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3140》,《暦日0》,十八／,みつのとのみ,やふる,,天一天上,ちう日
《3150》,《暦日2》,十九／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《3160》,《暦日0》,廿／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3170》,《暦日2》,廿一／,ひのえさる,おさん,火,　,●
《3180》,《暦日0》,廿二／,ひのとのとり,ひらく,,　,十し
《3190》,《暦日2》,廿三／,つちのえいぬ,とつ,木,　,くゑ日
《3200》,《暦日0》,廿四／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3210》,《暦日2》,廿五／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3220》,《暦日0》,廿六／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3230》,《暦日2》,廿七／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3240》,《暦日0》,廿八／,みつのとのう,たいら,,十一月せつさるの二刻ニ入,●
《3250》,《暦日2》,廿九／,きのえたつ,さたん,火,　,大みやう
《3260》,《暦日0》,卅／,きのとのみ,とる,,　,十し
《3270》,《月序》,十一月,小,建,壬子,箕宿　心　月よう
《3280》,《暦日2》,一／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3290》,《暦日0》,二／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《3300》,《暦日2》,三／,つちのえさる,なる,土,　, 入学よし
《3310》,《暦日0》,四／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《3320》,《暦日2》,五／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《3330》,《暦日0》,六／,かのとのい,とつ,,　,神よし 大みやう ちう日
《3340》,《暦日2》,七／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3350》,《暦日0》,八／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《3360》,《暦日2》,九／,きのえとら,みつ,水,　,きこ  つめとりよし
《3370》,《暦日0》,十／,きのとのう,たいら,,　,●
《3380》,《暦日2》,十一／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3390》,《暦日0》,十二／,ひのとのみ,とる,,　,十し
《3400》,《暦日2》,十三／,つちのえむま,やふる,火,冬至十一月中いぬの七刻/ま日,ちいみ 天火 らうしやく
《3410》,《暦日0》,十四／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3420》,《暦日2》,十五／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《3430》,《暦日0》,十六／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《3440》,《暦日2》,十七／,みつのえいぬ,ひらく,水,ま日,わうまう
《3450》,《暦日0》,十八／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3460》,《暦日2》,十九／,きのえね,たつ,金,　,天しや よろつよし
《3470》,《暦日0》,廿／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3480》,《暦日2》,廿一／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3490》,《暦日0》,廿二／,ひのとのう,たいら,,　,●
《3500》,《暦日2》,廿三／,つちのえたつ,さたん,木,　,五む日
《3510》,《暦日0》,廿四／,つちのとのみ,とる,,　,十し
《3520》,《暦日2》,廿五／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3530》,《暦日0》,廿六／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3540》,《暦日2》,廿七／,みつのえさる,なる,金,　,大みやう  いちたちよし
《3550》,《暦日0》,廿八／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3560》,《暦日1》,廿九／,きのえいぬ,おさん,火,小かん十二月せつうしの四刻ニ入,めつもん  わたましよし
《3570》,《月序》,十二月,大,建,癸丑,斗宿　尾　火よう
《3580》,《暦日1》,一／,きのとのい,ひらく,火,　,ちう日  いちたちよし
《3590》,《暦日2》,二／,ひのえね,とつ,水,　,きこ ちいみ
《3600》,《暦日0》,三／,ひのとのうし,たつ,,　,十し
《3610》,《暦日2》,四／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《3620》,《暦日0》,五／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《3630》,《暦日2》,六／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《3640》,《暦日0》,七／,かのとのみ,さたん,,　,ちう日  すゝはらひよし
《3650》,《暦日2》,八／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《3660》,《暦日0》,九／,みつのとのひつし,やふる,,　, たねまきよし
《3670》,《暦日2》,十／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《3680》,《暦日0》,十一／,きのとのとり,なる,,　,●
《3690》,《暦日2》,十二／,ひのえいぬ,おさん,土,とよううの四刻ニ入,五む日 めつもん
《3700》,《暦日0》,十三／,ひのとのい,ひらく,,　,大みやう ちう日
《3710》,《暦日2》,十四／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《3720》,《暦日0》,十五／,つちのとのうし,たつ,,大かん十二月中たつの一刻,十し
《3730》,《暦日2》,十六／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《3740》,《暦日0》,十七／,かのとのう,みつ,,　,神よし  よめとりよし
《3750》,《暦日2》,十八／,みつのえたつ,たいら,水,　,きしく 大みやう 五む日 大くわ 地火
《3760》,《暦日0》,十九／,みつのとのみ,さたん,,天一天上,ちう日
《3770》,《暦日2》,廿／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《3780》,《暦日0》,廿一／,きのとのひつし,やふる,,　,大みやう 五む日
《3790》,《暦日2》,廿二／,ひのえさる,あやふ,火,　,神よし  木こりよし
《3800》,《暦日0》,廿三／,ひのとのとり,なる,,　,●
《3810》,《暦日2》,廿四／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3820》,《暦日0》,廿五／,つちのとのい,ひらく,,　,ちう日 ふく日
《3830》,《暦日2》,廿六／,かのえね,とつ,土,　,神よし きこ ちいみ
《3840》,《暦日0》,廿七／,かのとのうし,たつ,,　,十し
《3850》,《暦日2》,廿八／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《3860》,《暦日0》,廿九／,みつのとのう,みつ,,せつふん,わうまう  わたまし すゝはらひよし
《3870》,《暦日1》,卅／,きのえたつ,みつ,火,立春正月せつむまの六刻ニ入,大みやう ふく日  かといてよし
《3880》,《暦末》,元禄四年出,立表測景定節氣者
