«1721-0000»,【 カンマ区切りテキスト形式です。】
«1721-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1721-0670»,«暦日0»,十六〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1721-0680»,«暦日2»,十七〳,つちのえさる,とる,土,　,神よし きしく  たねまきよし
«1721-0690»,«暦日0»,十八〳,つちのとのとり,やふる,,　,大みやう
«1721-0700»,«暦日2»,十九〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1721-0710»,«暦日0»,廿〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1721-0720»,«暦日2»,廿一〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1721-0730»,«暦日0»,廿二〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1721-0740»,«暦日2»,廿三〳,きのえとら,とつ,水,　,きこ わうまう  やたて  つめとりよし
«1721-0750»,«暦日0»,廿四〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1721-0760»,«暦日2»,廿五〳,ひのえたつ,のそく,土,春分二月中いの六刻|ま日,●
«1721-0770»,«暦日0»,廿六〳,ひのとのみ,みつ,,　,十し
«1721-0780»,«暦日2»,廿七〳,つちのえむま,たいら,火,ま日|社日|ひかんニなる,神よし 大くわ 地火
«1721-0790»,«暦日0»,廿八〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1721-0800»,«暦日2»,廿九〳,かのえさる,とる,木,　,神よし 大みやう
«1721-0810»,«暦日0»,卅〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1721-0820»,«月序»,三月,小,建,壬辰,虛宿　牛　金よう
«1721-0830»,«暦日2»,一〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1721-0840»,«暦日0»,二〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1721-0850»,«暦日2»,三〳,きのえね,おさん,金,　,めつもん
«1721-0860»,«暦日0»,四〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1721-0870»,«暦日2»,五〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1721-0880»,«暦日0»,六〳,ひのとのう,たつ,,　,天火 らうしやく
«1721-0890»,«暦日2»,七〳,つちのえたつ,のそく,木,　,●
«1721-0900»,«暦日0»,八〳,つちのとのみ,みつ,,　,十し
«1721-0910»,«暦日2»,九〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1721-0920»,«暦日0»,十〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1721-0930»,«暦日2»,十一〳,みつのえさる,さたん,金,三月せつとらの三刻ニ入,大みやう くゑ日
«1721-0940»,«暦日0»,十二〳,みつのとのとり,とる,,　,神よし 大みやう
«1721-0950»,«暦日2»,十三〳,きのえいぬ,やふる,火,　, くさかりよし
«1721-0960»,«暦日0»,十四〳,きのとのい,あやふ,,　,●
«1721-0970»,«暦日2»,十五〳,ひのえね,なる,水,　,きしく きこ
«1721-0980»,«暦日0»,十六〳,ひのとのうし,おさん,,　,十し
«1721-0990»,«暦日2»,十七〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1721-1000»,«暦日0»,十八〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1721-1010»,«暦日2»,十九〳,かのえたつ,たつ,金,　,くゑ日
«1721-1020»,«暦日0»,廿〳,かのとのみ,のそく,,　,ちう日
«1721-1030»,«暦日2»,廿一〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1721-1040»,«暦日0»,廿二〳,みつのとのひつし,たいら,,　,めつもん 地火
«1721-1050»,«暦日2»,廿三〳,きのえさる,さたん,水,とようたつの四刻ニ入|十方くれニ入,大みやう くゑ日
«1721-1060»,«暦日0»,廿四〳,きのとのとり,とる,,　,神よし  くさかりよし
«1721-1070»,«暦日2»,廿五〳,ひのえいぬ,やふる,土,　,五む日
«1721-1080»,«暦日0»,廿六〳,ひのとのい,あやふ,,三月中みの初刻,●
