«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-0670»,«暦日0»,十五〳,みつのとのうし,ひらく,,二月せつ夜ねの三刻ニ入|ま日, つめとりよし
«1689-0680»,«暦日2»,十六〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1689-0690»,«暦日0»,十七〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1689-0700»,«暦日2»,十八〳,ひのえたつ,のそく,土,ま日,●
«1689-0710»,«暦日0»,十九〳,ひのとのみ,みつ,,　,十し
«1689-0720»,«暦日2»,廿〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1689-0730»,«暦日0»,廿一〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1689-0740»,«暦日2»,廿二〳,かのえさる,とる,木,　,神よし 大みやう
«1689-0750»,«暦日0»,廿三〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1689-0760»,«暦日2»,廿四〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1689-0770»,«暦日0»,廿五〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1689-0780»,«暦日2»,廿六〳,きのえね,おさん,金,　,めつもん
«1689-0790»,«暦日0»,廿七〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1689-0800»,«暦日2»,廿八〳,ひのえとら,とつ,火,　,きこ わうまう  つめとりよし
«1689-0810»,«暦日0»,廿九〳,ひのとのう,たつ,,　,天火 らうしやく
«1689-0820»,«月序»,二月,大,建,丁卯,昴宿　畢　月よう
«1689-0830»,«暦日2»,一〳,つちのえたつ,のそく,木,社日,●
«1689-0840»,«暦日0»,二〳,つちのとのみ,みつ,,春分二月中うの初刻,十し
«1689-0850»,«暦日2»,三〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1689-0860»,«暦日0»,四〳,かのとのひつし,さたん,,ひかんニなる,大みやう ちいみ ふく日  くらたて 井ほりよし
«1689-0870»,«暦日2»,五〳,みつのえさる,とる,金,　,神よし きしく 大みやう  入学よし
«1689-0880»,«暦日0»,六〳,みつのとのとり,やふる,,　,大みやう  やたてよし
