«1809-0000»,【 カンマ区切りテキスト形式です。】
«1809-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1809-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1809-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1809-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1809-0050»,【 外部リンク　】
«1809-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/20 ～ 23】
«1809-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1809h　(翻刻編集終了データを表成型して表示します)】
«1809-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1809ht (翻刻編集中データを表成型して表示します)】
«1809-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1809-0100»,«版元»,出版地○○,出版元□□□,　
«1809-0640»,«暦日1»,九〳,つちのとのい,なる,木,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1809-0650»,«暦日2»,十〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1809-0660»,«暦日0»,十一〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1809-0670»,«暦日2»,十二〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1809-0680»,«暦日0»,十三〳,みつのとのう,たつ,,　,天火 らうしやく
«1809-0690»,«暦日2»,十四〳,きのえたつ,のそく,火,　,●
«1809-0700»,«暦日0»,十五〳,きのとのみ,みつ,,　,十し
«1809-0710»,«暦日2»,十六〳,ひのえむま,たいら,水,　,さい下しき 神よし 大みやう 大くわ 地火
«1809-0720»,«暦日0»,十七〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1809-0730»,«暦日2»,十八〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1809-0740»,«暦日0»,十九〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1809-0750»,«暦日2»,廿〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1809-0760»,«暦日0»,廿一〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1809-0770»,«暦日2»,廿二〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1809-0780»,«暦日0»,廿三〳,みつのとのうし,おさん,,ま日,十し
«1809-0790»,«節中»,清明三月せつひつしの初刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1809-0800»,«暦日2»,廿四〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1809-0810»,«暦日0»,廿五〳,きのとのう,とつ,,　,神よし  ものたちよし
«1809-0820»,«暦日2»,廿六〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1809-0830»,«暦日0»,廿七〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1809-0840»,«暦日2»,廿八〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1809-0850»,«暦日0»,廿九〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1809-0860»,«暦日1»,卅〳,かのえさる,さたん,木,　,きしく 大みやう くゑ日
«1809-0870»,«月序»,三月,小,建,戊辰,氐宿　柳　土よう
«1809-0880»,«暦日1»,一〳,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
«1809-0890»,«暦日2»,二〳,みつのえいぬ,やふる,水,ま日,月とく
«1809-0900»,«暦日0»,三〳,みつのとのい,あやふ,,八せんのおはり,●
«1809-0910»,«暦日2»,四〳,きのえね,なる,金,　,くゑ日 きこ
«1809-0920»,«暦日0»,五〳,きのとのうし,おさん,,とようとりの一刻ニ入,十し
«1809-0930»,«暦日2»,六〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1809-0940»,«暦日0»,七〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1809-0950»,«暦日1»,八〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1809-0960»,«節中»,穀雨三月中とりの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1809-0970»,«暦日1»,九〳,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
«1809-0980»,«暦日2»,十〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1809-0990»,«暦日0»,十一〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1809-1000»,«暦日2»,十二〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1809-1010»,«暦日0»,十三〳,みつのとのとり,とる,,　,大みやう わうまう
«1809-1020»,«暦日2»,十四〳,きのえいぬ,やふる,火,　, くさかりよし
«1809-1030»,«暦日0»,十五〳,きのとのい,あやふ,,　,●
«1809-1040»,«暦日2»,十六〳,ひのえね,なる,水,　,きこ
«1809-1050»,«暦日0»,十七〳,ひのとのうし,おさん,,　,十し
«1809-1060»,«暦日2»,十八〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1809-1070»,«暦日0»,十九〳,つちのとのう,とつ,,八十八や,神よし 大みやう 天おん ふく日
«1809-1080»,«暦日2»,廿〳,かのえたつ,たつ,金,　,くゑ日
«1809-1090»,«暦日0»,廿一〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1809-1100»,«暦日2»,廿二〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1809-1110»,«暦日0»,廿三〳,みつのとのひつし,みつ,,　,くゑ日
«1809-1120»,«節中»,立夏四月せつ今夜ねの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1809-1130»,«暦日2»,廿四〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1809-1140»,«暦日0»,廿五〳,きのとのとり,さたん,,　,十し
«1809-1150»,«暦日2»,廿六〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1809-1160»,«暦日0»,廿七〳,ひのとのい,やふる,,　,大みやう ちう日
«1809-1170»,«暦日2»,廿八〳,つちのえね,あやふ,火,　,きしく  けんふくよし
«1809-1180»,«暦日0»,廿九〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1809-1190»,«月序»,四月,大,建,己巳,房宿　星　日よう
«1809-1200»,«暦日2»,一〳,かのえとら,おさん,木,　,母倉 月とく めつもん わうまう  さひらき  つめとりよし
«1809-1210»,«暦日0»,二〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1809-1220»,«暦日2»,三〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1809-1230»,«暦日0»,四〳,みつのとのみ,たつ,,天一天上,●
«1809-1240»,«暦日2»,五〳,きのえむま,のそく,金,　,天しや よろつよし
«1809-1250»,«暦日0»,六〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1809-1260»,«暦日2»,七〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1809-1270»,«暦日0»,八〳,ひのとのとり,さたん,,　,十し
«1809-1280»,«暦日2»,九〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1809-1290»,«暦日0»,十〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1809-1300»,«節中»,小満四月中今暁とらの七刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1809-1310»,«暦日2»,十一〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1809-1320»,«暦日0»,十二〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1809-1330»,«暦日2»,十三〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1809-1340»,«暦日0»,十四〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1809-1350»,«暦日2»,十五〳,きのえたつ,とつ,火,　,大みやう
«1809-1360»,«暦日0»,十六〳,きのとのみ,たつ,,　,●
«1809-1370»,«暦日2»,十七〳,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
«1809-1380»,«暦日0»,十八〳,ひのとのひつし,みつ,,　,くゑ日
«1809-1390»,«暦日2»,十九〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1809-1400»,«暦日0»,廿〳,つちのとのとり,さたん,,　,十し
«1809-1410»,«暦日2»,廿一〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1809-1420»,«暦日0»,廿二〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1809-1430»,«暦日2»,廿三〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1809-1440»,«暦日0»,廿四〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1809-1450»,«暦日1»,廿五〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1809-1460»,«節中»,芒種五月せつみの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1809-1470»,«暦日1»,廿六〳,きのとのう,おさん,水,　,母倉 ちいみ 大くわ  ものたちよし
«1809-1480»,«暦日2»,廿七〳,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
«1809-1490»,«暦日0»,廿八〳,ひのとのみ,とつ,,　,十し
«1809-1500»,«暦日2»,廿九〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1809-1510»,«暦日0»,卅〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1809-1520»,«月序»,五月,大,建,庚午,心宿　翼　火よう
«1809-1530»,«暦日2»,一〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1809-1540»,«暦日0»,二〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1809-1550»,«暦日2»,三〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1809-1560»,«暦日0»,四〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1809-1570»,«暦日2»,五〳,きのえね,やふる,金,　,●
