«1800-0000»,【 カンマ区切りテキスト形式です。】
«1800-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1800-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1800-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1800-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1800-0050»,【 外部リンク　】
«1800-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/261 ～ 266】
«1800-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1800h　(翻刻編集終了データを表成型して表示します)】
«1800-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1800ht (翻刻編集中データを表成型して表示します)】
«1800-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1800-0100»,«版元»,出版地○○,出版元□□□,　
«1800-0640»,«暦日0»,十〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1800-0650»,«暦日2»,十一〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1800-0660»,«暦日0»,十二〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1800-0670»,«節中»,啓蟄二月せついの五刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1800-0680»,«暦日2»,十三〳,ひのえさる,とる,火,　,神よし
«1800-0690»,«暦日0»,十四〳,ひのとのとり,やふる,,　,さい下しき  あさまき たねかしよし
«1800-0700»,«暦日2»,十五〳,つちのえいぬ,あやふ,木,　, かといてよし
«1800-0710»,«暦日0»,十六〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1800-0720»,«暦日2»,十七〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1800-0730»,«暦日0»,十八〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1800-0740»,«暦日2»,十九〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1800-0750»,«暦日0»,廿〳,みつのとのう,たつ,,　,天火 らうしやく
«1800-0760»,«暦日2»,廿一〳,きのえたつ,のそく,火,　,●
«1800-0770»,«暦日0»,廿二〳,きのとのみ,みつ,,　,十し
«1800-0780»,«暦日2»,廿三〳,ひのえむま,たいら,水,ひかんニなる,神よし 大みやう 大くわ 地火
«1800-0790»,«暦日0»,廿四〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1800-0800»,«暦日2»,廿五〳,つちのえさる,とる,土,社日,わうまう  たねまきよし
«1800-0810»,«暦日0»,廿六〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1800-0820»,«暦日2»,廿七〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1800-0830»,«暦日0»,廿八〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1800-0840»,«節中»,春分二月中今暁とらの二刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1800-0850»,«暦日1»,廿九〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1800-0860»,«月序»,三月,大,建,庚辰,箕宿　觜　火よう
«1800-0870»,«暦日1»,一〳,みつのとのうし,ひらく,木,ま日,天おん  つめとりよし
«1800-0880»,«暦日2»,二〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1800-0890»,«暦日0»,三〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1800-0900»,«暦日2»,四〳,ひのえたつ,のそく,土,ま日,●
«1800-0910»,«暦日0»,五〳,ひのとのみ,みつ,,　,十し
«1800-0920»,«暦日2»,六〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1800-0930»,«暦日0»,七〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1800-0940»,«暦日2»,八〳,かのえさる,とる,木,　,神よし 大みやう
«1800-0950»,«暦日0»,九〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1800-0960»,«暦日2»,十〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1800-0970»,«暦日0»,十一〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1800-0980»,«暦日2»,十二〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1800-0990»,«暦日0»,十三〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1800-1000»,«暦日1»,十四〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1800-1010»,«節中»,清明三月せつたつの七刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1800-1020»,«暦日1»,十五〳,ひのとのう,とつ,火,　,くゑ日  たねまきよし
«1800-1030»,«暦日1»,十六〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1800-1040»,«食記»,月そく五分半
«1800-1050»,«暦日1»,十七〳,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
«1800-1060»,«暦日2»,十八〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1800-1070»,«暦日0»,十九〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1800-1080»,«暦日2»,廿〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1800-1090»,«暦日0»,廿一〳,みつのとのとり,とる,,　,神よし 大みやう
«1800-1100»,«暦日2»,廿二〳,きのえいぬ,やふる,火,　, くさかりよし
«1800-1110»,«暦日0»,廿三〳,きのとのい,あやふ,,　,●
«1800-1120»,«暦日2»,廿四〳,ひのえね,なる,水,　,きこ
«1800-1130»,«暦日0»,廿五〳,ひのとのうし,おさん,,　,十し
«1800-1140»,«暦日2»,廿六〳,つちのえとら,ひらく,土,とようむまの八刻ニ入,天しや よろつよし
«1800-1150»,«暦日0»,廿七〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1800-1160»,«暦日2»,廿八〳,かのえたつ,たつ,金,　,くゑ日
«1800-1170»,«暦日0»,廿九〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1800-1180»,«節中»,穀雨三月中ひつしの四刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1800-1190»,«暦日1»,卅〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1800-1200»,«月序»,四月,大,建,辛巳,斗宿　井　木よう
«1800-1210»,«暦日1»,一〳,みつのとのひつし,たいら,木,　,天おん めつもん 地火
«1800-1220»,«食記»,日そく九分
«1800-1230»,«暦日2»,二〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1800-1240»,«暦日0»,三〳,きのとのとり,とる,,　,神よし  くさかりよし
«1800-1250»,«暦日2»,四〳,ひのえいぬ,やふる,土,　,五む日 わうまう
«1800-1260»,«暦日0»,五〳,ひのとのい,あやふ,,　,●
«1800-1270»,«暦日2»,六〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1800-1280»,«暦日0»,七〳,つちのとのうし,おさん,,　,十し
«1800-1290»,«暦日2»,八〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1800-1300»,«暦日0»,九〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1800-1310»,«暦日2»,十〳,みつのえたつ,たつ,水,八十八や,大みやう 月とく 五む日
«1800-1320»,«暦日0»,十一〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1800-1330»,«暦日2»,十二〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1800-1340»,«暦日0»,十三〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1800-1350»,«暦日1»,十四〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1800-1360»,«節中»,立夏四月せついぬの一刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1800-1370»,«暦日1»,十五〳,ひのとのとり,さたん,火,　,十し
«1800-1380»,«暦日2»,十六〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1800-1390»,«暦日0»,十七〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1800-1400»,«暦日2»,十八〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1800-1410»,«暦日0»,十九〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1800-1420»,«暦日2»,廿〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1800-1430»,«暦日0»,廿一〳,みつのとのう,ひらく,,　,母倉 わうまう  かといて さひらきよし
«1800-1440»,«暦日2»,廿二〳,きのえたつ,とつ,火,　,大みやう
«1800-1450»,«暦日0»,廿三〳,きのとのみ,たつ,,　,●
«1800-1460»,«暦日2»,廿四〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1800-1470»,«暦日0»,廿五〳,ひのとのひつし,みつ,,　,くゑ日
«1800-1480»,«暦日2»,廿六〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1800-1490»,«暦日0»,廿七〳,つちのとのとり,さたん,,　,十し
«1800-1500»,«暦日2»,廿八〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1800-1510»,«暦日0»,廿九〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1800-1520»,«暦日1»,卅〳,みつのえね,あやふ,木,八せんのはしめ,神よし きしく 天おん ふく日  くらたてよし
«1800-1530»,«節中»,小満四月中今暁ねの六刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1800-1540»,«月序»,閏四月,小,隨節用之,柳　土よう
«1800-1550»,«暦日1»,一〳,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
«1800-1560»,«暦日2»,二〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1800-1570»,«暦日0»,三〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1800-1580»,«暦日2»,四〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1800-1590»,«暦日0»,五〳,ひのとのみ,たつ,,　,●
«1800-1600»,«暦日2»,六〳,つちのえむま,のそく,火,ま日,くゑ日
«1800-1610»,«暦日0»,七〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1800-1620»,«暦日2»,八〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1800-1630»,«暦日0»,九〳,かのとのとり,さたん,,　,十し
«1800-1640»,«暦日2»,十〳,みつのえいぬ,とる,水,ま日,ふく日
«1800-1650»,«暦日0»,十一〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1800-1660»,«暦日2»,十二〳,きのえね,あやふ,金,　,天おん
«1800-1670»,«暦日0»,十三〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1800-1680»,«暦日2»,十四〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1800-1690»,«暦日0»,十五〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1800-1700»,«節中»,芒種五月せつうの三刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1800-1710»,«暦日2»,十六〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1800-1720»,«暦日0»,十七〳,つちのとのみ,とつ,,　,十し
«1800-1730»,«暦日2»,十八〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1800-1740»,«暦日0»,十九〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1800-1750»,«暦日2»,廿〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1800-1760»,«暦日0»,廿一〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1800-1770»,«暦日2»,廿二〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1800-1780»,«暦日0»,廿三〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1800-1790»,«暦日2»,廿四〳,ひのえね,やふる,水,　,●
«1800-1800»,«暦日0»,廿五〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1800-1810»,«暦日2»,廿六〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1800-1820»,«暦日0»,廿七〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
