《1722-0000》,# カンマ区切りテキスト形式です。
《1722-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1722-2910》,《暦日2》,廿六／,つちのえさる,ひらく,土,　,天しや よろつよし
《1722-2920》,《暦日0》,廿七／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1722-2930》,《暦日2》,廿八／,かのえいぬ,とつ,金,立冬十月せつむまの初刻ニ入,大みやう  たねまきよし
《1722-2940》,《暦日0》,廿九／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1722-2950》,《暦日1》,卅／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1722-2960》,《月序》,十月,小,建,辛亥,亢宿　危　月よう
《1722-2970》,《暦日1》,一／,みつのとのうし,みつ,木,ま日,くゑ日 きこ
《1722-2980》,《暦日2》,二／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1722-2990》,《暦日0》,三／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1722-3000》,《暦日2》,四／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1722-3010》,《暦日0》,五／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1722-3020》,《暦日2》,六／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1722-3030》,《暦日0》,七／,つちのとのひつし,なる,,　,大みやう わうまう  かまぬり いちたちよし
《1722-3040》,《暦日2》,八／,かのえさる,おさん,木,　,●
《1722-3050》,《暦日0》,九／,かのとのとり,ひらく,,　,十し
《1722-3060》,《暦日2》,十／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1722-3070》,《暦日0》,十一／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1722-3080》,《暦日2》,十二／,きのえね,のそく,金,　,天しや よろつよし
《1722-3090》,《暦日0》,十三／,きのとのうし,みつ,,十月中さるの五刻,くゑ日 きこ
《1722-3100》,《暦日2》,十四／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《1722-3110》,《暦日0》,十五／,ひのとのう,さたん,,　,さい下しき 神よし 天火 らうしやく
《1722-3120》,《暦日2》,十六／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《1722-3130》,《暦日0》,十七／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1722-3140》,《暦日2》,十八／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1722-3150》,《暦日0》,十九／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1722-3160》,《暦日2》,廿／,みつのえさる,おさん,金,　,●
《1722-3170》,《暦日0》,廿一／,みつのとのとり,ひらく,,　,十し
《1722-3180》,《暦日2》,廿二／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1722-3190》,《暦日0》,廿三／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1722-3200》,《暦日2》,廿四／,ひのえね,のそく,水,　,ふく日
《1722-3210》,《暦日0》,廿五／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1722-3220》,《暦日2》,廿六／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1722-3230》,《暦日0》,廿七／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1722-3240》,《暦日2》,廿八／,かのえたつ,さたん,金,十一月せついの二刻ニ入, たねまきよし
《1722-3250》,《暦日0》,廿九／,かのとのみ,とる,,　,十し
《1722-3260》,《月序》,十一月,大,建,壬子,氐宿　室　火よう
《1722-3270》,《暦日2》,一／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《1722-3280》,《暦日0》,二／,みつのとのひつし,あやふ,,　,ふく日
《1722-3290》,《暦日2》,三／,きのえさる,なる,水,十方くれニ入,大みやう
《1722-3300》,《暦日0》,四／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《1722-3310》,《暦日2》,五／,ひのえいぬ,ひらく,土,　,五む日
《1722-3320》,《暦日0》,六／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《1722-3330》,《暦日2》,七／,つちのえね,たつ,火,　,くゑ日
《1722-3340》,《暦日0》,八／,つちのとのうし,のそく,,　, つめとりよし
《1722-3350》,《暦日2》,九／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1722-3360》,《暦日0》,十／,かのとのう,たいら,,　,●
《1722-3370》,《暦日2》,十一／,みつのえたつ,さたん,水,　,きしく 大みやう 五む日  木こりよし
《1722-3380》,《暦日0》,十二／,みつのとのみ,とる,,天一天上,十し
《1722-3390》,《暦日2》,十三／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1722-3400》,《暦日0》,十四／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1722-3410》,《暦日1》,十五／,ひのえさる,なる,火,冬至十一月中うしの七刻
《1722-3420》,《食記》,月そく六分
《1722-3430》,《暦日1》,十六／,ひのとのとり,おさん,火,　,神よし 大くわ ふく日
《1722-3440》,《暦日2》,十七／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1722-3450》,《暦日0》,十八／,つちのとのい,とつ,,　,ちう日 わうまう  ふねのりよし
《1722-3460》,《暦日2》,十九／,かのえね,たつ,土,　, 井ほりよし
《1722-3470》,《暦日0》,廿／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1722-3480》,《暦日2》,廿一／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《1722-3490》,《暦日0》,廿二／,みつのとのう,たいら,,　,●
《1722-3500》,《暦日2》,廿三／,きのえたつ,さたん,火,　,大みやう
《1722-3510》,《暦日0》,廿四／,きのとのみ,とる,,　,十し
《1722-3520》,《暦日2》,廿五／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1722-3530》,《暦日0》,廿六／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《1722-3540》,《暦日2》,廿七／,つちのえさる,なる,土,　, 入学よし
《1722-3550》,《暦日0》,廿八／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《1722-3560》,《暦日2》,廿九／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1722-3570》,《暦日0》,卅／,かのとのい,ひらく,,小かん十二月せつたつの四刻ニ入,大みやう ちう日
《1722-3580》,《月序》,十二月,小,建,癸丑,房宿　奎　木よう
《1722-3590》,《暦日2》,一／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1722-3600》,《暦日0》,二／,みつのとのうし,たつ,,ま日,十し
《1722-3610》,《暦日2》,三／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1722-3620》,《暦日0》,四／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《1722-3630》,《暦日2》,五／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1722-3640》,《暦日0》,六／,ひのとのみ,さたん,,　,ちう日
《1722-3650》,《暦日2》,七／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《1722-3660》,《暦日0》,八／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1722-3670》,《暦日2》,九／,かのえさる,あやふ,木,　,神よし きしく 大みやう  みそさけつくりよし
《1722-3680》,《暦日0》,十／,かのとのとり,なる,,　,●
《1722-3690》,《暦日2》,十一／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1722-3700》,《暦日0》,十二／,みつのとのい,ひらく,,八せんのおはり/とようむまの四刻ニ入,くゑ日 ちう日
《1722-3710》,《暦日2》,十三／,きのえね,とつ,金,　,天しや よろつよし
《1722-3720》,《暦日0》,十四／,きのとのうし,たつ,,　,十し
《1722-3730》,《暦日2》,十五／,ひのえとら,のそく,火,大かん十二月中ひつしの初刻, けんふく  つめとりよし
《1722-3740》,《暦日0》,十六／,ひのとのう,みつ,,　,さい下しき 神よし
《1722-3750》,《暦日2》,十七／,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
《1722-3760》,《暦日0》,十八／,つちのとのみ,さたん,,　,ちう日 ふく日
《1722-3770》,《暦日2》,十九／,かのえむま,とる,土,　,神よし  すゝはらひよし
《1722-3780》,《暦日0》,廿／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1722-3790》,《暦日2》,廿一／,みつのえさる,あやふ,金,　,神よし 大みやう
《1722-3800》,《暦日0》,廿二／,みつのとのとり,なる,,　,●
《1722-3810》,《暦日2》,廿三／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1722-3820》,《暦日0》,廿四／,きのとのい,ひらく,,　,ちう日  いちたちよし
《1722-3830》,《暦日2》,廿五／,ひのえね,とつ,水,　,きこ ちいみ
《1722-3840》,《暦日0》,廿六／,ひのとのうし,たつ,,　,十し
《1722-3850》,《暦日2》,廿七／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1722-3860》,《暦日0》,廿八／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《1722-3870》,《暦日1》,廿九／,かのえたつ,たいら,金,せつふん,大くわ 地火 わうまう  よめとりよし
《1722-3880》,《暦末》,享保六年出,立表測景定節氣者
