《1722-0000》,# カンマ区切りテキスト形式です。
《1722-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1722-0680》,《暦日2》,十七／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1722-0690》,《暦日0》,十八／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1722-0700》,《暦日2》,十九／,きのえいぬ,あやふ,火,　, かといてよし
《1722-0710》,《暦日0》,廿／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1722-0720》,《暦日2》,廿一／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1722-0730》,《暦日0》,廿二／,ひのとのうし,おさん,,三月せつみの二刻ニ入,十し
《1722-0740》,《暦日2》,廿三／,つちのえとら,ひらく,土,　,天しや よろつよし
《1722-0750》,《暦日0》,廿四／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1722-0760》,《暦日2》,廿五／,かのえたつ,たつ,金,　,きしく くゑ日
《1722-0770》,《暦日0》,廿六／,かのとのみ,のそく,,　,ちう日
《1722-0780》,《暦日2》,廿七／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1722-0790》,《暦日0》,廿八／,みつのとのひつし,たいら,,　,めつもん 地火
《1722-0800》,《暦日2》,廿九／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1722-0810》,《暦日0》,卅／,きのとのとり,とる,,　,神よし  くさかりよし
《1722-0820》,《月序》,三月,小,建,甲辰,鬼宿　角　木よう
《1722-0830》,《暦日2》,一／,ひのえいぬ,やふる,土,　,五む日
《1722-0840》,《暦日0》,二／,ひのとのい,あやふ,,　,●
《1722-0850》,《暦日2》,三／,つちのえね,なる,火,　,きこ ふく日
《1722-0860》,《暦日0》,四／,つちのとのうし,おさん,,とようひつしの三刻ニ入,十し
《1722-0870》,《暦日2》,五／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1722-0880》,《暦日0》,六／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1722-0890》,《暦日2》,七／,みつのえたつ,たつ,水,三月中ひつしの七刻,大みやう 五む日
《1722-0900》,《暦日0》,八／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1722-0910》,《暦日2》,九／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1722-0920》,《暦日0》,十／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1722-0930》,《暦日2》,十一／,ひのえさる,さたん,火,　,くゑ日
《1722-0940》,《暦日0》,十二／,ひのとのとり,とる,,　,わうまう  いちたちよし
《1722-0950》,《暦日2》,十三／,つちのえいぬ,やふる,木,　,ふく日
《1722-0960》,《暦日0》,十四／,つちのとのい,あやふ,,　,●
《1722-0970》,《暦日2》,十五／,かのえね,なる,土,　,神よし きこ
《1722-0980》,《暦日0》,十六／,かのとのうし,おさん,,　,十し
《1722-0990》,《暦日2》,十七／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1722-1000》,《暦日0》,十八／,みつのとのう,とつ,,八十八や,神よし  けんふく かといてよし
《1722-1010》,《暦日2》,十九／,きのえたつ,たつ,火,　,大みやう くゑ日
《1722-1020》,《暦日0》,廿／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1722-1030》,《暦日2》,廿一／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1722-1040》,《暦日0》,廿二／,ひのとのひつし,みつ,,立夏四月せついぬの四刻ニ入,くゑ日
《1722-1050》,《暦日2》,廿三／,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
《1722-1060》,《暦日0》,廿四／,つちのとのとり,さたん,,　,十し
《1722-1070》,《暦日2》,廿五／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1722-1080》,《暦日0》,廿六／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1722-1090》,《暦日2》,廿七／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1722-1100》,《暦日0》,廿八／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1722-1110》,《暦日1》,廿九／,きのえとら,おさん,水,　,めつもん わうまう  つめとりよし
《1722-1120》,《月序》,四月,大,建,乙巳,柳宿　亢　金よう
