《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0680》,《暦日2》,十三／,つちのえむま,たいら,火,ま日/社日/ひかんニなる,神よし 大くわ 地火
《0690》,《暦日0》,十四／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0700》,《暦日2》,十五／,かのえさる,とる,木,　,神よし 大みやう
《0710》,《暦日0》,十六／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日 わうまう
《0720》,《暦日2》,十七／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0730》,《暦日0》,十八／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0740》,《節中》,春分二月中いの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0750》,《暦日2》,十九／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0760》,《暦日0》,廿／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0770》,《暦日2》,廿一／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0780》,《暦日0》,廿二／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0790》,《暦日2》,廿三／,つちのえたつ,のそく,木,　,●
《0800》,《暦日0》,廿四／,つちのとのみ,みつ,,　,十し
《0810》,《暦日2》,廿五／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0820》,《暦日0》,廿六／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0830》,《暦日2》,廿七／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0840》,《暦日0》,廿八／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0850》,《暦日1》,廿九／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0860》,《月序》,三月,大,建,壬辰,虛宿　昴　日よう
《0870》,《暦日1》,一／,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
《0880》,《暦日2》,二／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0890》,《暦日0》,三／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0900》,《暦日2》,四／,つちのえとら,とつ,土,　,天しや よろつよし
《0910》,《暦日0》,五／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0920》,《節中》,清明三月せつ今暁とらの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0930》,《暦日2》,六／,かのえたつ,たつ,金,　,きしく くゑ日
《0940》,《暦日0》,七／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0950》,《暦日2》,八／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0960》,《暦日0》,九／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0970》,《暦日2》,十／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0980》,《暦日0》,十一／,きのとのとり,とる,,　,神よし  くさかりよし
《0990》,《暦日2》,十二／,ひのえいぬ,やふる,土,　,五む日
《1000》,《暦日0》,十三／,ひのとのい,あやふ,,　,●
《1010》,《暦日2》,十四／,つちのえね,なる,火,　,母倉 きこ ふく日
《1020》,《暦日0》,十五／,つちのとのうし,おさん,,　,十し
《1030》,《暦日1》,十六／,かのえとら,ひらく,木,　,ちいみ  つめとりよし
《1040》,《食記》,月そく七分半
《1050》,《暦日1》,十七／,かのとのう,とつ,木,とようたつの三刻ニ入,神よし  わたまし ものたちよし
《1060》,《暦日2》,十八／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1070》,《暦日0》,十九／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1080》,《暦日1》,廿／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1090》,《節中》,穀雨三月中たつの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1100》,《暦日1》,廿一／,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
《1110》,《暦日2》,廿二／,ひのえさる,さたん,火,　,くゑ日
《1120》,《暦日0》,廿三／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1130》,《暦日2》,廿四／,つちのえいぬ,やふる,木,　,ふく日
《1140》,《暦日0》,廿五／,つちのとのい,あやふ,,　,●
《1150》,《暦日2》,廿六／,かのえね,なる,土,　,さい下しき 神よし きこ
《1160》,《暦日0》,廿七／,かのとのうし,おさん,,　,十し
《1170》,《暦日2》,廿八／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1180》,《暦日0》,廿九／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1190》,《暦日1》,卅／,きのえたつ,たつ,火,　,大みやう くゑ日
《1200》,《月序》,四月,大,建,癸巳,危宿　觜　火よう
《1210》,《暦日1》,一／,きのとのみ,のそく,火,八十八や,神よし 大みやう 母倉 ちう日  ふねのりよし
《1220》,《暦日2》,二／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1230》,《暦日0》,三／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1240》,《暦日2》,四／,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
《1250》,《暦日0》,五／,つちのとのとり,さたん,,　,十し
《1260》,《節中》,立夏四月せつひつしの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1270》,《暦日2》,六／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1280》,《暦日0》,七／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1290》,《暦日2》,八／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1300》,《暦日0》,九／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1310》,《暦日2》,十／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1320》,《暦日0》,十一／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1330》,《暦日2》,十二／,ひのえたつ,とつ,土,ま日,大みやう ふく日 わうまう
《1340》,《暦日0》,十三／,ひのとのみ,たつ,,　,●
《1350》,《暦日2》,十四／,つちのえむま,のそく,火,ま日,くゑ日
《1360》,《暦日0》,十五／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1370》,《暦日2》,十六／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1380》,《暦日0》,十七／,かのとのとり,さたん,,　,十し
《1390》,《暦日2》,十八／,みつのえいぬ,とる,水,ま日,ふく日
《1400》,《暦日0》,十九／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1410》,《暦日1》,廿／,きのえね,あやふ,金,　,天おん
《1420》,《節中》,小満四月中いぬの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1430》,《暦日1》,廿一／,きのとのうし,なる,金,　,天おん 月とく きこ  かまぬり  つめとりよし
《1440》,《暦日2》,廿二／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1450》,《暦日0》,廿三／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1460》,《暦日2》,廿四／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1470》,《暦日0》,廿五／,つちのとのみ,たつ,,　,●
《1480》,《暦日2》,廿六／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1490》,《暦日0》,廿七／,かのとのひつし,みつ,,　,大みやう くゑ日
《1500》,《暦日2》,廿八／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1510》,《暦日0》,廿九／,みつのとのとり,さたん,,　,十し
《1520》,《暦日1》,卅／,きのえいぬ,とる,火,　, やたて くらたてよし
《1530》,《月序》,五月,小,建,甲午,室宿　井　木よう
《1540》,《暦日1》,一／,きのとのい,やふる,火,　,月とく ちう日
《1550》,《暦日2》,二／,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
《1560》,《暦日0》,三／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1570》,《暦日2》,四／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1580》,《暦日0》,五／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1590》,《暦日1》,六／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1600》,《節中》,芒種五月せつ今暁ねの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1610》,《暦日1》,七／,かのとのみ,とつ,金,　,十し
《1620》,《暦日2》,八／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1630》,《暦日0》,九／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1640》,《暦日2》,十／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1650》,《暦日0》,十一／,きのとのとり,たいら,,　,神よし めつもん 地火
《1660》,《暦日2》,十二／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1670》,《暦日0》,十三／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1680》,《暦日2》,十四／,つちのえね,やふる,火,　,●
《1690》,《暦日0》,十五／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1700》,《暦日2》,十六／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1710》,《暦日0》,十七／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1720》,《暦日2》,十八／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1730》,《暦日0》,十九／,みつのとのみ,とつ,,天一天上,十し
《1740》,《暦日2》,廿／,きのえむま,たつ,金,　,天しや よろつよし
《1750》,《暦日0》,廿一／,きのとのひつし,のそく,,　,大みやう 五む日 わうまう  むきかりよし
《1760》,《節中》,夏至五月中うの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1770》,《暦日2》,廿二／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1780》,《暦日0》,廿三／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1790》,《暦日2》,廿四／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1800》,《暦日0》,廿五／,つちのとのい,とる,,　,神よし ちう日
《1810》,《暦日2》,廿六／,かのえね,やふる,土,　,●
《1820》,《暦日0》,廿七／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1830》,《暦日2》,廿八／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1840》,《暦日0》,廿九／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1850》,《月序》,六月,大,建,乙未,壁宿　鬼　金よう
《1860》,《暦日2》,一／,きのえたつ,ひらく,火,　,きしく 大みやう  むきかり 田うへよし
《1870》,《暦日0》,二／,きのとのみ,とつ,,はんけしやう,十し
《1880》,《暦日2》,三／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1890》,《暦日0》,四／,ひのとのひつし,のそく,,　,神よし ふく日
《1900》,《暦日2》,五／,つちのえさる,みつ,土,　,神よし  入学よし
《1910》,《暦日0》,六／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1920》,《暦日1》,七／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
