«1835-0000»,【 カンマ区切りテキスト形式です。】
«1835-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1835-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1835-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1835-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1835-0050»,【 外部リンク　】
«1835-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/130 ～ 134】
«1835-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1835h　(翻刻編集終了データを表成型して表示します)】
«1835-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1835ht (翻刻編集中データを表成型して表示します)】
«1835-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1835-0100»,«版元»,出版地○○,出版元□□□,　
«1835-0650»,«暦日2»,十一〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1835-0660»,«暦日0»,十二〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1835-0670»,«暦日2»,十三〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1835-0680»,«暦日0»,十四〳,みつのとのう,たつ,,　,天火 らうしやく
«1835-0690»,«暦日2»,十五〳,きのえたつ,のそく,火,　,●
«1835-0700»,«暦日0»,十六〳,きのとのみ,みつ,,　,十し
«1835-0710»,«暦日2»,十七〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1835-0720»,«暦日0»,十八〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1835-0730»,«暦日2»,十九〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1835-0740»,«暦日0»,廿〳,つちのとのとり,やふる,,ひかんニなる,大みやう 天おん 月とく
«1835-0750»,«暦日2»,廿一〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1835-0760»,«暦日0»,廿二〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1835-0770»,«暦日2»,廿三〳,みつのえね,おさん,木,八せんのはしめ,天おん 母倉 めつもん わうまう  あさまきよし
«1835-0780»,«暦日0»,廿四〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1835-0790»,«暦日1»,廿五〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1835-0800»,«節中»,春分二月中さるの初刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1835-0810»,«暦日1»,廿六〳,きのとのう,たつ,水,　,くゑ日 ふく日 天火 らうしやく
«1835-0820»,«暦日2»,廿七〳,ひのえたつ,のそく,土,ま日,●
«1835-0830»,«暦日0»,廿八〳,ひのとのみ,みつ,,　,十し
«1835-0840»,«暦日2»,廿九〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1835-0850»,«暦日0»,卅〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1835-0860»,«月序»,三月,大,建,庚辰,箕宿　虛　日よう
«1835-0870»,«暦日2»,一〳,かのえさる,とる,木,　,さい下しき 神よし 大みやう
«1835-0880»,«暦日0»,二〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1835-0890»,«暦日2»,三〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1835-0900»,«暦日0»,四〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1835-0910»,«暦日2»,五〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1835-0920»,«暦日0»,六〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1835-0930»,«暦日2»,七〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1835-0940»,«暦日0»,八〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1835-0950»,«暦日2»,九〳,つちのえたつ,のそく,木,　,●
«1835-0960»,«暦日0»,十〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1835-0970»,«節中»,清明三月せついぬの五刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1835-0980»,«暦日2»,十一〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1835-0990»,«暦日0»,十二〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1835-1000»,«暦日2»,十三〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1835-1010»,«暦日0»,十四〳,みつのとのとり,とる,,　,神よし 大みやう
«1835-1020»,«暦日2»,十五〳,きのえいぬ,やふる,火,　, くさかりよし
«1835-1030»,«暦日0»,十六〳,きのとのい,あやふ,,　,●
«1835-1040»,«暦日2»,十七〳,ひのえね,なる,水,　,きこ
«1835-1050»,«暦日0»,十八〳,ひのとのうし,おさん,,　,十し
«1835-1060»,«暦日2»,十九〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1835-1070»,«暦日0»,廿〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1835-1080»,«暦日2»,廿一〳,かのえたつ,たつ,金,　,くゑ日
«1835-1090»,«暦日0»,廿二〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1835-1100»,«暦日2»,廿三〳,みつのえむま,みつ,木,とよう今暁ねの六刻ニ入,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1835-1110»,«暦日0»,廿四〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1835-1120»,«暦日2»,廿五〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1835-1130»,«暦日0»,廿六〳,きのとのとり,とる,,　,神よし  くさかりよし
«1835-1140»,«節中»,穀雨三月中今暁うしの二刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1835-1150»,«暦日2»,廿七〳,ひのえいぬ,やふる,土,　,五む日
«1835-1160»,«暦日0»,廿八〳,ひのとのい,あやふ,,　,●
«1835-1170»,«暦日2»,廿九〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1835-1180»,«暦日0»,卅〳,つちのとのうし,おさん,,　,十し
«1835-1190»,«月序»,四月,小,建,辛巳,斗宿　室　火よう
«1835-1200»,«暦日2»,一〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1835-1210»,«暦日0»,二〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1835-1220»,«暦日2»,三〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1835-1230»,«暦日0»,四〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1835-1240»,«暦日2»,五〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1835-1250»,«暦日0»,六〳,きのとのひつし,たいら,,八十八や,大みやう 五む日 めつもん 地火  ものたちよし
«1835-1260»,«暦日2»,七〳,ひのえさる,さたん,火,　,くゑ日
«1835-1270»,«暦日0»,八〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1835-1280»,«暦日2»,九〳,つちのえいぬ,やふる,木,　,ふく日
«1835-1290»,«暦日0»,十〳,つちのとのい,あやふ,,　,●
«1835-1300»,«暦日1»,十一〳,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
«1835-1310»,«節中»,立夏四月せつうの七刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1835-1320»,«暦日1»,十二〳,かのとのうし,なる,土,　,五む日 きこ  つめとりよし
«1835-1330»,«暦日2»,十三〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1835-1340»,«暦日0»,十四〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1835-1350»,«暦日2»,十五〳,きのえたつ,とつ,火,　,大みやう
«1835-1360»,«暦日0»,十六〳,きのとのみ,たつ,,　,●
«1835-1370»,«暦日2»,十七〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1835-1380»,«暦日0»,十八〳,ひのとのひつし,みつ,,　,くゑ日 わうまう
«1835-1390»,«暦日2»,十九〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1835-1400»,«暦日0»,廿〳,つちのとのとり,さたん,,　,十し
«1835-1410»,«暦日2»,廿一〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1835-1420»,«暦日0»,廿二〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1835-1430»,«暦日2»,廿三〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1835-1440»,«暦日0»,廿四〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1835-1450»,«暦日2»,廿五〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1835-1460»,«暦日0»,廿六〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1835-1470»,«節中»,小満四月中むまの四刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1835-1480»,«暦日2»,廿七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1835-1490»,«暦日0»,廿八〳,ひのとのみ,たつ,,　,●
«1835-1500»,«暦日1»,廿九〳,つちのえむま,のそく,火,ま日,くゑ日
«1835-1510»,«月序»,五月,大,建,壬午,牛宿　壁　水よう
«1835-1520»,«暦日1»,一〳,つちのとのひつし,みつ,火,　,大みやう くゑ日
«1835-1530»,«暦日2»,二〳,かのえさる,たいら,木,　,さい下しき 神よし 大みやう 月とく ちいみ 大くわ 地火
«1835-1540»,«暦日0»,三〳,かのとのとり,さたん,,　,十し
«1835-1550»,«暦日2»,四〳,みつのえいぬ,とる,水,ま日,ふく日
«1835-1560»,«暦日0»,五〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1835-1570»,«暦日2»,六〳,きのえね,あやふ,金,　,天おん
«1835-1580»,«暦日0»,七〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1835-1590»,«暦日2»,八〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1835-1600»,«暦日0»,九〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1835-1610»,«暦日2»,十〳,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
«1835-1620»,«暦日0»,十一〳,つちのとのみ,たつ,,　,●
«1835-1630»,«暦日1»,十二〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1835-1640»,«節中»,芒種五月せつとりの一刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1835-1650»,«暦日1»,十三〳,かのとのひつし,のそく,土,　,大みやう 月とく  ふねのり 井ほりよし
«1835-1660»,«暦日2»,十四〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1835-1670»,«暦日0»,十五〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1835-1680»,«暦日2»,十六〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
