《1849-0000》,# カンマ区切りテキスト形式です。
《1849-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1849-0020》,# ・表の区画内での改行は“/”で表記します。
《1849-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1849-0670》,《暦日0》,十二／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1849-0680》,《節中》,啓蟄二月せつ今暁九時三分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1849-0690》,《暦日2》,十三／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1849-0700》,《暦日0》,十四／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1849-0710》,《暦日2》,十五／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1849-0720》,《暦日0》,十六／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1849-0730》,《暦日2》,十七／,ひのえたつ,のそく,土,ま日,●
《1849-0740》,《暦日0》,十八／,ひのとのみ,みつ,,　,十し
《1849-0750》,《暦日2》,十九／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1849-0760》,《暦日0》,廿／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1849-0770》,《暦日2》,廿一／,かのえさる,とる,木,　,神よし 大みやう
《1849-0780》,《暦日0》,廿二／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1849-0790》,《暦日2》,廿三／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1849-0800》,《暦日0》,廿四／,みつのとのい,なる,,八せんのおはり/ひかんニなる,母倉 ちう日  たねかしよし
《1849-0810》,《暦日2》,廿五／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん わうまう
《1849-0820》,《暦日0》,廿六／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1849-0830》,《暦日1》,廿七／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1849-0840》,《節中》,春分二月中今暁八時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1849-0850》,《暦日1》,廿八／,ひのとのう,たつ,火,　,天おん 天火 らうしやく
《1849-0860》,《暦日1》,廿九／,つちのえたつ,のそく,木,社日,●
《1849-0870》,《月序》,三月,大,建,戊辰,箕宿　柳　土よう
《1849-0880》,《暦日1》,一／,つちのとのみ,みつ,木,　,十し
《1849-0890》,《暦日2》,二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1849-0900》,《暦日0》,三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1849-0910》,《暦日2》,四／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1849-0920》,《暦日0》,五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1849-0930》,《暦日2》,六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1849-0940》,《暦日0》,七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1849-0950》,《暦日2》,八／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1849-0960》,《暦日0》,九／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1849-0970》,《暦日2》,十／,つちのえとら,とつ,土,　,天しや よろつよし
《1849-0980》,《暦日0》,十一／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1849-0990》,《暦日2》,十二／,かのえたつ,のそく,金,　,●
《1849-1000》,《暦日0》,十三／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1849-1010》,《節中》,清明三月せつ明六時六分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1849-1020》,《暦日2》,十四／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1849-1030》,《暦日0》,十五／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1849-1040》,《暦日2》,十六／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1849-1050》,《暦日0》,十七／,きのとのとり,とる,,　,神よし  くさかりよし
《1849-1060》,《暦日2》,十八／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《1849-1070》,《暦日0》,十九／,ひのとのい,あやふ,,　,●
《1849-1080》,《暦日2》,廿／,つちのえね,なる,火,　,母倉 きこ ふく日
《1849-1090》,《暦日0》,廿一／,つちのとのうし,おさん,,　,十し
《1849-1100》,《暦日2》,廿二／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1849-1110》,《暦日0》,廿三／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1849-1120》,《暦日2》,廿四／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1849-1130》,《暦日0》,廿五／,みつのとのみ,のそく,,天一天上/とよう朝四時五分ニ入,母倉 ちう日  けんふくよし
《1849-1140》,《暦日2》,廿六／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1849-1150》,《暦日0》,廿七／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1849-1160》,《暦日1》,廿八／,ひのえさる,さたん,火,　,きしく くゑ日
《1849-1170》,《節中》,穀雨三月中昼九時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1849-1180》,《暦日1》,廿九／,ひのとのとり,とる,火,　,神よし 月とく  いちたちよし
《1849-1190》,《暦日1》,卅／,つちのえいぬ,やふる,木,　,ふく日
《1849-1200》,《月序》,四月,小,建,己巳,斗宿　張　月よう
《1849-1210》,《暦日1》,一／,つちのとのい,あやふ,木,　,●
《1849-1220》,《暦日2》,二／,かのえね,なる,土,　,神よし きこ
《1849-1230》,《暦日0》,三／,かのとのうし,おさん,,　,十し
《1849-1240》,《暦日2》,四／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1849-1250》,《暦日0》,五／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1849-1260》,《暦日2》,六／,きのえたつ,たつ,火,　,大みやう くゑ日
《1849-1270》,《暦日0》,七／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1849-1280》,《暦日2》,八／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1849-1290》,《暦日0》,九／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1849-1300》,《暦日2》,十／,つちのえさる,さたん,土,八十八や,くゑ日 ふく日
《1849-1310》,《暦日0》,十一／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1849-1320》,《暦日2》,十二／,かのえいぬ,やふる,金,　,大みやう 天おん
《1849-1330》,《暦日0》,十三／,かのとのい,あやふ,,　,●
《1849-1340》,《暦日1》,十四／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1849-1350》,《節中》,立夏四月せつ今暁九時七分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1849-1360》,《暦日1》,十五／,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
《1849-1370》,《暦日2》,十六／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1849-1380》,《暦日0》,十七／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1849-1390》,《暦日2》,十八／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1849-1400》,《暦日0》,十九／,ひのとのみ,たつ,,　,●
《1849-1410》,《暦日2》,廿／,つちのえむま,のそく,火,ま日,くゑ日
《1849-1420》,《暦日0》,廿一／,つちのとのひつし,みつ,,　,大みやう くゑ日 わうまう
《1849-1430》,《暦日2》,廿二／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1849-1440》,《暦日0》,廿三／,かのとのとり,さたん,,　,十し
《1849-1450》,《暦日2》,廿四／,みつのえいぬ,とる,水,ま日,ふく日
《1849-1460》,《暦日0》,廿五／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1849-1470》,《暦日2》,廿六／,きのえね,あやふ,金,　,きしく 天おん
《1849-1480》,《暦日0》,廿七／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1849-1490》,《暦日2》,廿八／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1849-1500》,《暦日0》,廿九／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1849-1510》,《節中》,小満四月中昼八時日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1849-1520》,《月序》,閏四月,小,隨節用之,翼　火よう
《1849-1530》,《暦日2》,一／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1849-1540》,《暦日0》,二／,つちのとのみ,たつ,,　,●
《1849-1550》,《暦日2》,三／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1849-1560》,《暦日0》,四／,かのとのひつし,みつ,,　,大みやう くゑ日
《1849-1570》,《暦日2》,五／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1849-1580》,《暦日0》,六／,みつのとのとり,さたん,,　,十し
《1849-1590》,《暦日2》,七／,きのえいぬ,とる,火,　, やたて くらたてよし
《1849-1600》,《暦日0》,八／,きのとのい,やふる,,　,月とく ちう日
《1849-1610》,《暦日2》,九／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1849-1620》,《暦日0》,十／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1849-1630》,《暦日2》,十一／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1849-1640》,《暦日0》,十二／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1849-1650》,《暦日2》,十三／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1849-1660》,《暦日0》,十四／,かのとのみ,たつ,,　,●
《1849-1670》,《暦日2》,十五／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1849-1680》,《暦日0》,十六／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1849-1690》,《節中》,芒種五月せつ明六時七分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1849-1700》,《暦日2》,十七／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1849-1710》,《暦日0》,十八／,きのとのとり,たいら,,　,神よし めつもん 地火
《1849-1720》,《暦日2》,十九／,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
