《1742-0000》,# カンマ区切りテキスト形式です。
《1742-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1742-0020》,# ・表の区画内での改行は“/”で表記します。
《1742-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1742-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1742-0050》,# 外部リンク
《1742-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/196 ～ 204
《1742-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1742g　(GitHub上データを表成型)
《1742-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1742h　(翻刻編集データを表成型 - 未実装)
《1742-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1742-0100》,《版元》,出版地○○,出版元□□□,　
《1742-0660》,《暦日0》,十一／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1742-0670》,《暦日2》,十二／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1742-0680》,《暦日0》,十三／,みつのとのう,たつ,,　,天火 らうしやく
《1742-0690》,《暦日2》,十四／,きのえたつ,のそく,火,　,●
《1742-0700》,《暦日0》,十五／,きのとのみ,みつ,,　,十し
《1742-0710》,《暦日1》,十六／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1742-0720》,《節中》,春分二月中翌ねの五刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1742-0730》,《暦日1》,十七／,ひのとのひつし,さたん,水,　,神よし ちいみ
《1742-0740》,《暦日2》,十八／,つちのえさる,とる,土,社日,神よし  たねまきよし
《1742-0750》,《暦日0》,十九／,つちのとのとり,やふる,,ひかんニなる,大みやう
《1742-0760》,《暦日2》,廿／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1742-0770》,《暦日0》,廿一／,かのとのい,なる,,　,さい下しき 神よし 大みやう ちう日 ふく日
《1742-0780》,《暦日2》,廿二／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1742-0790》,《暦日0》,廿三／,みつのとのうし,ひらく,,ま日, つめとりよし
《1742-0800》,《暦日2》,廿四／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1742-0810》,《暦日0》,廿五／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1742-0820》,《暦日2》,廿六／,ひのえたつ,のそく,土,ま日,●
《1742-0830》,《暦日0》,廿七／,ひのとのみ,みつ,,　,十し
《1742-0840》,《暦日2》,廿八／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1742-0850》,《暦日0》,廿九／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1742-0860》,《月序》,三月,大,建,甲辰,虛宿　奎　木よう
《1742-0870》,《暦日2》,一／,かのえさる,とる,木,　,神よし 大みやう
《1742-0880》,《暦日0》,二／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1742-0890》,《節中》,清明三月せつ翌うの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1742-0900》,《暦日2》,三／,みつのえいぬ,やふる,水,ま日
《1742-0910》,《暦日0》,四／,みつのとのい,あやふ,,八せんのおはり,●
《1742-0920》,《暦日2》,五／,きのえね,なる,金,　,くゑ日 きこ
《1742-0930》,《暦日0》,六／,きのとのうし,おさん,,　,十し
《1742-0940》,《暦日2》,七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1742-0950》,《暦日0》,八／,ひのとのう,とつ,,　,くゑ日  たねまきよし
