《1793-0000》,# カンマ区切りテキスト形式です。
《1793-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1793-0020》,# ・表の区画内での改行は“/”で表記します。
《1793-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1793-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1793-0050》,# 外部リンク
《1793-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/229 ～ 233
《1793-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1793g　(GitHub上データを表成型)
《1793-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1793h　(翻刻編集データを表成型 - 未実装)
《1793-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1793-0100》,《版元》,出版地○○,出版元□□□,　
《1793-1060》,《暦日0》,十八／,かのとのい,あやふ,,　,●
《1793-1070》,《暦日2》,十九／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1793-1080》,《暦日0》,廿／,みつのとのうし,おさん,,ま日,十し
《1793-1090》,《暦日2》,廿一／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1793-1100》,《暦日0》,廿二／,きのとのう,とつ,,八十八や,神よし  ものたちよし
《1793-1110》,《暦日2》,廿三／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1793-1120》,《暦日0》,廿四／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1793-1130》,《暦日2》,廿五／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1793-1140》,《暦日0》,廿六／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1793-1150》,《暦日1》,廿七／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1793-1160》,《節中》,立夏四月せつ今暁うしの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1793-1170》,《暦日1》,廿八／,かのとのとり,さたん,木,　,十し
《1793-1180》,《暦日1》,廿九／,みつのえいぬ,とる,水,ま日,ふく日
《1793-1190》,《月序》,四月,大,建,丁巳,斗宿　亢　金よう
《1793-1200》,《暦日1》,一／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1793-1210》,《暦日2》,二／,きのえね,あやふ,金,　,天おん
《1793-1220》,《暦日0》,三／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1793-1230》,《暦日2》,四／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1793-1240》,《暦日0》,五／,ひのとのう,ひらく,,　,天おん 母倉 わうまう  わたましよし
《1793-1250》,《暦日2》,六／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1793-1260》,《暦日0》,七／,つちのとのみ,たつ,,　,●
《1793-1270》,《暦日2》,八／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1793-1280》,《暦日0》,九／,かのとのひつし,みつ,,　,大みやう くゑ日
《1793-1290》,《暦日2》,十／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1793-1300》,《暦日0》,十一／,みつのとのとり,さたん,,　,十し
《1793-1310》,《暦日2》,十二／,きのえいぬ,とる,火,　, やたて くらたてよし
《1793-1320》,《暦日0》,十三／,きのとのい,やふる,,　,月とく ちう日
《1793-1330》,《節中》,小満四月中うの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1793-1340》,《暦日2》,十四／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1793-1350》,《暦日0》,十五／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1793-1360》,《暦日2》,十六／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1793-1370》,《暦日0》,十七／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1793-1380》,《暦日2》,十八／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1793-1390》,《暦日0》,十九／,かのとのみ,たつ,,　,●
《1793-1400》,《暦日2》,廿／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1793-1410》,《暦日0》,廿一／,みつのとのひつし,みつ,,　,くゑ日
《1793-1420》,《暦日2》,廿二／,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
《1793-1430》,《暦日0》,廿三／,きのとのとり,さたん,,　,十し
《1793-1440》,《暦日2》,廿四／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1793-1450》,《暦日0》,廿五／,ひのとのい,やふる,,　,大みやう ちう日
《1793-1460》,《暦日2》,廿六／,つちのえね,あやふ,火,　, けんふくよし
《1793-1470》,《暦日0》,廿七／,つちのとのうし,なる,,　,きこ  つめとりよし
《1793-1480》,《暦日1》,廿八／,かのえとら,なる,木,　,さい下しき 母倉 きこ  井ほり  つめとりよし
《1793-1490》,《節中》,芒種五月せつむまの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1793-1500》,《暦日1》,廿九／,かのとのう,おさん,木,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1793-1510》,《暦日1》,卅／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1793-1520》,《月序》,五月,小,建,戊午,牛宿　房　日よう
《1793-1530》,《暦日1》,一／,みつのとのみ,とつ,水,天一天上,十し
《1793-1540》,《暦日2》,二／,きのえむま,たつ,金,　,天しや よろつよし
《1793-1550》,《暦日0》,三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1793-1560》,《暦日2》,四／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1793-1570》,《暦日0》,五／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1793-1580》,《暦日2》,六／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1793-1590》,《暦日0》,七／,つちのとのい,とる,,　,神よし ちう日
《1793-1600》,《暦日2》,八／,かのえね,やふる,土,　,●
《1793-1610》,《暦日0》,九／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1793-1620》,《暦日2》,十／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1793-1630》,《暦日0》,十一／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1793-1640》,《暦日2》,十二／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1793-1650》,《暦日0》,十三／,きのとのみ,とつ,,　,十し
《1793-1660》,《節中》,夏至五月中とりの二刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1793-1670》,《暦日2》,十四／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1793-1680》,《暦日0》,十五／,ひのとのひつし,のそく,,　,神よし ふく日
《1793-1690》,《暦日2》,十六／,つちのえさる,みつ,土,　,神よし  入学よし
《1793-1700》,《暦日0》,十七／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1793-1710》,《暦日2》,十八／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1793-1720》,《暦日0》,十九／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
