# カンマ区切りテキスト形式です。
# ・表の区画内での改行は“/”で表記します。
# ・先頭カラム(“暦首,”など)は表成型に用いますので削除しないでください。
# ・カンマ“,”を追加・削除すると、その行が表成型できない場合があります。
# 外部リンク
# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/82 ～ 91
# ・hosi.org　 : http://hosi.org:3000/Note/1862g
版元,出版地○○,出版元□□□,　
暦首,文久二年みつのえいぬ乃天保壬寅元暦,角宿/値年,凡三百八十四日
大歳,大さいいぬの方,此方ニむかひて万よし/但木をきらす
大將軍,大しやうくんむまの方,いぬのとしまて/三年ふさかり
大陰,大おんさるの方,此方ニむかひて/さんをせす
歳徳,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
歳刑,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
歳破,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
歳煞,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
黄幡,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大/閏八月小,九月大
豹尾,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
月序,正月,大,建,壬寅,參宿値月奎宿木曜値朔日
正月,一日,きのえさる,あやふ,水,吉事始/十方くれニ入,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
正月,二日,きのとのとり,なる,水,　,●
正月,三日,ひのえいぬ,おさむ,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
暦日1,四,ひのとのい,ひらく,土,　,大みやう ちう日
暦日2,五,つちのえね,とつ,火,せつふん,くゑ日 きこ ちいみ ふく日 わうまう
暦日0,六,つちのとのうし,とつ,　,きこ ちいみ  (井ほり)  (つめとり)よし
節中,立春正月せつ朝五時八分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
暦日2,七,かのえとら,たつ,木,　,ふく日  つめとりよし
暦日0,八,かのとのう,のそく,　,くゑ日
暦日2,九,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
暦日0,十,みつのとのみ,たいら,天一天上,ちう日 めつもん 地火
暦日2,十一,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
暦日0,十二,きのとのひつし,とる,　,大みやう 五む日 わうまう
暦日2,十三,ひのえさる,やふる,火,　,(神よし) 月とく
暦日0,十四,ひのとのとり,あやふ,　,十し
暦日2,十五,つちのえいぬ,なる,木,　,●
暦日0,十六,つちのとのい,おさん,　,神よし 母倉 大くわ ちう日
暦日2,十七,かのえね,ひらく,土,　,神よし (母倉) ふく日 天火 らうしやく
暦日0,十八,かのとのうし,とつ,　,(神よし) 月とく 五む日 きこ ちいみ  ものたち  (つめとり)よし
暦日2,十九,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
暦日0,廿,みつのとのう,のそく,　,神よし  あさまきよし
暦日1,廿一,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
節中,雨水正月中今暁七時九分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
暦日1,廿二,きのとのみ,たいら,火,　,(神よし) 大みやう ちう日 めつもん 地火  けんふくよし
暦日2,廿三,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
暦日0,廿四,ひのとのひつし,とる,　,(神よし)  かといてよし
暦日2,廿五,つちのえさる,やふる,土,　,(神よし)  たねまきよし
暦日0,廿六,つちのとのとり,あやふ,　,十し
暦日2,廿七,かのえいぬ,なる,金,　,●
暦日0,廿八,かのとのい,おさん,　,さい下しき (神よし) 大みやう 天おん 母倉 月とく 大くわ ちう日
暦日2,廿九,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
暦日0,卅,みつのとのうし,とつ,ま日,(神よし) 天おん きこ ちいみ  (つめとり)よし
月序,二月,小,建,癸卯,井宿　胃　土よう
暦日2,一,きのえとら,たつ,水,　,くゑ日 ふく日
暦日0,二,きのとのう,のそく,　,(神よし)  ものたちよし
暦日2,三,ひのえたつ,みつ,土,ま日,大みやう 月とく
暦日0,四,ひのとのみ,たいら,　,ちう日 めつもん 地火
暦日2,五,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
暦日0,六,つちのとのひつし,さたん,　,神よし 大みやう 月とく ちいみ  たねかしよし
節中,啓蟄二月せつ今暁七時二分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
暦日2,七,かのえさる,とる,木,　,(神よし) きしく 大みやう
暦日0,八,かのとのとり,やふる,　,大みやう くゑ日 ふく日
暦日2,九,みつのえいぬ,あやふ,水,ま日, あさまきよし
暦日0,十,みつのとのい,なる,八せんのおはり,母倉 ちう日  たねかしよし
暦日2,十一,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
暦日0,十二,きのとのうし,ひらく,　,天おん ふく日  ものたち  つめとりよし
暦日2,十三,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
暦日0,十四,ひのとのう,たつ,　,天おん 天火 らうしやく
暦日2,十五,つちのえたつ,のそく,木,　,●
暦日0,十六,つちのとのみ,みつ,　,十し
暦日2,十七,かのえむま,たいら,土,　,(神よし) 大くわ 地火
暦日0,十八,かのとのひつし,さたん,ひかんニなる,大みやう ちいみ ふく日  くらたて 井ほりよし
暦日2,十九,みつのえさる,とる,金,　,大みやう わうまう  入学よし
暦日0,廿,みつのとのとり,やふる,　,大みやう  やたてよし
暦日1,廿一,きのえいぬ,あやふ,火,　,月とく  かといてよし
節中,春分二月中明六時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
暦日1,廿二,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
暦日2,廿三,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
