《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2950》,《暦日0》,十三／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2960》,《暦日2》,十四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2970》,《暦日0》,十五／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《2980》,《節中》,寒露九月せつひつしの二刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2990》,《暦日2》,十六／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3000》,《暦日0》,十七／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3010》,《暦日2》,十八／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3020》,《暦日0》,十九／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3030》,《暦日2》,廿／,かのえさる,ひらく,木,　,大みやう
《3040》,《暦日0》,廿一／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3050》,《暦日2》,廿二／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3060》,《暦日0》,廿三／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3070》,《暦日2》,廿四／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3080》,《暦日0》,廿五／,きのとのうし,たいら,,　,十し
《3090》,《暦日2》,廿六／,ひのえとら,さたん,火,　,●
《3100》,《暦日0》,廿七／,ひのとのう,とる,,とようとりの三刻ニ入,神よし 天おん  田かりよし
《3110》,《暦日2》,廿八／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《3120》,《暦日0》,廿九／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3130》,《暦日1》,卅／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3140》,《節中》,霜降九月中とりの七刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3150》,《月序》,十月,大,建,己亥,壁宿　昴　日よう
《3160》,《暦日1》,一／,かのとのひつし,おさん,土,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3170》,《暦日2》,二／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3180》,《暦日0》,三／,みつのとのとり,とつ,,　,神よし 大みやう
《3190》,《暦日2》,四／,きのえいぬ,たつ,火,　,くゑ日
《3200》,《暦日0》,五／,きのとのい,のそく,,　,ちう日  田かりよし
《3210》,《暦日2》,六／,ひのえね,みつ,水,　,きしく 月とく きこ 天火 らうしやく
《3220》,《暦日0》,七／,ひのとのうし,たいら,,　,十し
《3230》,《暦日2》,八／,つちのえとら,さたん,土,　,●
《3240》,《暦日0》,九／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3250》,《暦日2》,十／,かのえたつ,やふる,金,　,天おん
《3260》,《暦日0》,十一／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 わうまう 下しきひつしの時
《3270》,《暦日2》,十二／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3280》,《暦日0》,十三／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3290》,《暦日2》,十四／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3300》,《暦日0》,十五／,きのとのとり,ひらく,,　,十し
《3310》,《節中》,立冬十月せつ今夜ねの四刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3320》,《暦日2》,十六／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3330》,《暦日0》,十七／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3340》,《暦日2》,十八／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3350》,《暦日0》,十九／,つちのとのうし,みつ,,　,くゑ日 きこ
《3360》,《暦日2》,廿／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3370》,《暦日0》,廿一／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3380》,《暦日2》,廿二／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3390》,《暦日0》,廿三／,みつのとのみ,やふる,,天一天上,ちう日
《3400》,《暦日2》,廿四／,きのえむま,あやふ,金,　,月とく わうまう  かまぬり むきまきよし
《3410》,《暦日0》,廿五／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3420》,《暦日2》,廿六／,ひのえさる,おさん,火,　,●
《3430》,《暦日0》,廿七／,ひのとのとり,ひらく,,　,十し
《3440》,《暦日2》,廿八／,つちのえいぬ,とつ,木,　,くゑ日
《3450》,《暦日0》,廿九／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3460》,《暦日1》,卅／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3470》,《月序》,閏十月,大,隨節用之,觜　火よう
《3480》,《暦日1》,一／,かのとのうし,みつ,土,　,五む日 くゑ日 きこ
《3490》,《節中》,小雪十月中うの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3500》,《暦日2》,二／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3510》,《暦日0》,三／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3520》,《暦日2》,四／,きのえたつ,とる,火,　,きしく 大みやう 月とく  やたて かとたてよし
《3530》,《暦日0》,五／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3540》,《暦日2》,六／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3550》,《暦日0》,七／,ひのとのひつし,なる,,　,さい下しき  木こりよし
《3560》,《暦日2》,八／,つちのえさる,おさん,土,　,●
《3570》,《暦日0》,九／,つちのとのとり,ひらく,,　,十し
《3580》,《暦日2》,十／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3590》,《暦日0》,十一／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3600》,《暦日2》,十二／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3610》,《暦日0》,十三／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3620》,《暦日2》,十四／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3630》,《暦日0》,十五／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3640》,《暦日1》,十六／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3650》,《節中》,大雪十一月せつみの六刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3660》,《暦日1》,十七／,ひのとのみ,とる,土,　,十し
《3670》,《暦日2》,十八／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3680》,《暦日0》,十九／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3690》,《暦日2》,廿／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3700》,《暦日0》,廿一／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3710》,《暦日2》,廿二／,みつのえいぬ,ひらく,水,ま日,月とく
《3720》,《暦日0》,廿三／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3730》,《暦日2》,廿四／,きのえね,たつ,金,　,天しや よろつよし
《3740》,《暦日0》,廿五／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3750》,《暦日2》,廿六／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3760》,《暦日0》,廿七／,ひのとのう,たいら,,　,●
《3770》,《暦日2》,廿八／,つちのえたつ,さたん,木,　,天おん 五む日
《3780》,《暦日0》,廿九／,つちのとのみ,とる,,　,十し
《3790》,《暦日1》,卅／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3800》,《月序》,十一月,小,建,庚子,奎宿　井　木よう
《3810》,《暦日1》,一／,かのとのひつし,あやふ,土,　,大みやう  かとたてよし
《3820》,《節中》,冬至十一月中さるの三刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3830》,《暦日2》,二／,みつのえさる,なる,金,　,きしく 大みやう 母倉 月とく  いちたちよし
《3840》,《暦日0》,三／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3850》,《暦日2》,四／,きのえいぬ,ひらく,火,　
《3860》,《暦日0》,五／,きのとのい,とつ,,　,ちう日 わうまう
《3870》,《暦日2》,六／,ひのえね,たつ,水,　, 木こりよし
《3880》,《暦日0》,七／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3890》,《暦日2》,八／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3900》,《暦日0》,九／,つちのとのう,たいら,,　,●
《3910》,《暦日2》,十／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3920》,《暦日0》,十一／,かのとのみ,とる,,　,十し
《3930》,《暦日2》,十二／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3940》,《暦日0》,十三／,みつのとのひつし,あやふ,,　,天おん ふく日
《3950》,《暦日2》,十四／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3960》,《暦日0》,十五／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3970》,《暦日1》,十六／,ひのえいぬ,おさん,土,　,五む日 めつもん
《3980》,《節中》,小寒十二月せついぬの八刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3990》,《暦日1》,十七／,ひのとのい,ひらく,土,　,大みやう ちう日
《4000》,《暦日2》,十八／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4010》,《暦日0》,十九／,つちのとのうし,たつ,,　,十し
《4020》,《暦日2》,廿／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《4030》,《暦日0》,廿一／,かのとのう,みつ,,　,神よし  よめとりよし
《4040》,《暦日2》,廿二／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4050》,《暦日0》,廿三／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4060》,《暦日2》,廿四／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《4070》,《暦日0》,廿五／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4080》,《暦日2》,廿六／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4090》,《暦日0》,廿七／,ひのとのとり,なる,,　,●
《4100》,《暦日2》,廿八／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4110》,《暦日0》,廿九／,つちのとのい,ひらく,,とよう今暁うしの一刻ニ入,ちう日 ふく日
《4120》,《月序》,十二月,大,建,辛丑,婁宿　鬼　金よう
《4130》,《暦日2》,一／,かのえね,とつ,土,　,神よし きしく 月とく きこ ちいみ
《4140》,《暦日0》,二／,かのとのうし,たつ,,　,十し
《4150》,《暦日1》,三／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4160》,《節中》,大寒十二月中今暁うしの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4170》,《暦日1》,四／,みつのとのう,みつ,金,　,神よし  わたまし すゝはらひよし
《4180》,《暦日2》,五／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4190》,《暦日0》,六／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4200》,《暦日2》,七／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《4210》,《暦日0》,八／,ひのとのひつし,やふる,,　,さい下しき くゑ日
《4220》,《暦日2》,九／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4230》,《暦日0》,十／,つちのとのとり,なる,,　,●
《4240》,《暦日2》,十一／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4250》,《暦日0》,十二／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《4260》,《暦日2》,十三／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4270》,《暦日0》,十四／,みつのとのうし,たつ,,ま日,十し
《4280》,《暦日2》,十五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4290》,《暦日0》,十六／,きのとのう,みつ,,　,月とく わうまう  ものたち 正月ことはしめよし
《4300》,《暦日2》,十七／,ひのえたつ,たいら,土,せつふん/ま日,大みやう 大くわ 地火
《4310》,《暦日0》,十八／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《4320》,《節中》,立春正月せつたつの二刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4330》,《暦日2》,十九／,つちのえむま,さたん,火,ま日,神よし  ふねのり 正月ことはしめよし
《4340》,《暦日0》,廿／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまき すゝはらひよし
《4350》,《暦日2》,廿一／,かのえさる,やふる,木,　,さい下しき 神よし 大みやう ふく日
《4360》,《暦日0》,廿二／,かのとのとり,あやふ,,　,十し
《4370》,《暦日2》,廿三／,みつのえいぬ,なる,水,ま日,●
《4380》,《暦日0》,廿四／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日 わうまう  けんふくよし
《4390》,《暦日2》,廿五／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《4400》,《暦日0》,廿六／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《4410》,《暦日2》,廿七／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《4420》,《暦日0》,廿八／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《4430》,《暦日2》,廿九／,つちのえたつ,みつ,木,　,きしく 天おん 五む日  みそつくりよし
《4440》,《暦日0》,卅／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《4450》,《暦末》,天明五年出,立表測景定節氣者
