《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1480》,《暦日2》,廿七／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1490》,《暦日0》,廿八／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1500》,《暦日2》,廿九／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1510》,《暦日0》,卅／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1520》,《月序》,五月,小,建,甲午,牛宿　虛　日よう
《1530》,《暦日2》,一／,きのえたつ,とつ,火,　,大みやう
《1540》,《暦日0》,二／,きのとのみ,たつ,,　,●
《1550》,《暦日2》,三／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1560》,《暦日0》,四／,ひのとのひつし,みつ,,　,さい下しき くゑ日
《1570》,《暦日2》,五／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1580》,《暦日0》,六／,つちのとのとり,さたん,,　,十し
《1590》,《暦日2》,七／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1600》,《暦日0》,八／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1610》,《暦日2》,九／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1620》,《暦日0》,十／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1630》,《節中》,芒種五月せついぬの二刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1640》,《暦日2》,十一／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1650》,《暦日0》,十二／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1660》,《暦日2》,十三／,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
《1670》,《暦日0》,十四／,ひのとのみ,とつ,,　,十し
《1680》,《暦日2》,十五／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1690》,《暦日0》,十六／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1700》,《暦日2》,十七／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1710》,《暦日0》,十八／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1720》,《暦日2》,十九／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1730》,《暦日0》,廿／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1740》,《暦日2》,廿一／,きのえね,やふる,金,　,●
《1750》,《暦日0》,廿二／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1760》,《暦日2》,廿三／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1770》,《暦日0》,廿四／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1780》,《暦日2》,廿五／,つちのえたつ,ひらく,木,　,天おん 五む日 わうまう  かまぬり 田うへよし
《1790》,《暦日0》,廿六／,つちのとのみ,とつ,,　,十し
《1800》,《節中》,夏至五月中今暁ねの七刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1810》,《暦日2》,廿七／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1820》,《暦日0》,廿八／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1830》,《暦日1》,廿九／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1840》,《月序》,六月,小,建,乙未,女宿　危　月よう
《1850》,《暦日1》,一／,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
《1860》,《暦日2》,二／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1870》,《暦日0》,三／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1880》,《暦日2》,四／,ひのえね,やふる,水,　,●
《1890》,《暦日0》,五／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1900》,《暦日2》,六／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1910》,《暦日0》,七／,つちのとのう,おさん,,はんけしやう,大みやう 天おん 母倉 ちいみ 大くわ
《1920》,《暦日2》,八／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1930》,《暦日0》,九／,かのとのみ,とつ,,　,十し
《1940》,《暦日2》,十／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1950》,《暦日0》,十一／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1960》,《暦日1》,十二／,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
《1970》,《節中》,小暑六月せつうの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1980》,《暦日1》,十三／,きのとのとり,みつ,水,　,神よし ちいみ
《1990》,《暦日2》,十四／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2000》,《暦日0》,十五／,ひのとのい,さたん,,　,大みやう ちう日
《2010》,《暦日1》,十六／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2020》,《食記》,月帯そく九分
《2030》,《暦日1》,十七／,つちのとのうし,やふる,火,　,十し
