«1872-0000»,【 カンマ区切りテキスト形式です。】
«1872-0640»,«暦日0»,十一〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1872-0650»,«暦日1»,十二〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1872-0660»,«節中»,春分二月中昼八時七分日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1872-0670»,«暦日1»,十三〳,ひのとのう,たつ,火,　,天おん 天火 らうしやく
«1872-0680»,«暦日2»,十四〳,つちのえたつ,のそく,木,社日,●
«1872-0690»,«暦日0»,十五〳,つちのとのみ,みつ,,　,十し
«1872-0700»,«暦日2»,十六〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1872-0710»,«暦日0»,十七〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1872-0720»,«暦日2»,十八〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1872-0730»,«暦日0»,十九〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1872-0740»,«暦日2»,廿〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1872-0750»,«暦日0»,廿一〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1872-0760»,«暦日2»,廿二〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1872-0770»,«暦日0»,廿三〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1872-0780»,«暦日2»,廿四〳,つちのえとら,とつ,土,　,天しや よろつよし
«1872-0790»,«暦日0»,廿五〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1872-0800»,«暦日2»,廿六〳,かのえたつ,のそく,金,　,●
«1872-0810»,«暦日0»,廿七〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1872-0820»,«節中»,清明三月せつ暮六時八分ニ入日の出より日入まて,昼五十二刻余|夜四十七刻半余,六より六まて,昼五十七刻半|夜四十二刻半
«1872-0830»,«暦日2»,廿八〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1872-0840»,«暦日0»,廿九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1872-0850»,«暦日1»,卅〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1872-0860»,«月序»,三月,小,建,甲辰,氐宿　危　月よう
«1872-0870»,«暦日1»,一〳,きのとのとり,とる,水,　,神よし  くさかりよし
«1872-0880»,«暦日2»,二〳,ひのえいぬ,やふる,土,　,五む日
«1872-0890»,«暦日0»,三〳,ひのとのい,あやふ,,　,●
«1872-0900»,«暦日2»,四〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1872-0910»,«暦日0»,五〳,つちのとのうし,おさん,,　,十し
«1872-0920»,«暦日2»,六〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1872-0930»,«暦日0»,七〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1872-0940»,«暦日2»,八〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1872-0950»,«暦日0»,九〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1872-0960»,«暦日2»,十〳,きのえむま,みつ,金,とよう今暁八時三分ニ入,神よし 母倉 天火 らうしやく  ふねのりよし
«1872-0970»,«暦日0»,十一〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1872-0980»,«暦日2»,十二〳,ひのえさる,さたん,火,　,きしく くゑ日
«1872-0990»,«暦日0»,十三〳,ひのとのとり,とる,,　,さい下しき 神よし 月とく  いちたちよし
«1872-1000»,«節中»,穀雨三月中今暁七時四分日の出より日入まて,昼五十四刻半|夜四十五刻半,六より六まて,昼五十九刻半余|夜四十刻余
«1872-1010»,«暦日2»,十四〳,つちのえいぬ,やふる,木,　,ふく日
«1872-1020»,«暦日0»,十五〳,つちのとのい,あやふ,,　,●
«1872-1030»,«暦日2»,十六〳,かのえね,なる,土,　,神よし きこ
«1872-1040»,«暦日0»,十七〳,かのとのうし,おさん,,　,十し
«1872-1050»,«暦日2»,十八〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1872-1060»,«暦日0»,十九〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1872-1070»,«暦日2»,廿〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1872-1080»,«暦日0»,廿一〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1872-1090»,«暦日2»,廿二〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1872-1100»,«暦日0»,廿三〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1872-1110»,«暦日2»,廿四〳,つちのえさる,さたん,土,八十八や,くゑ日 ふく日
«1872-1120»,«暦日0»,廿五〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1872-1130»,«暦日2»,廿六〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1872-1140»,«暦日0»,廿七〳,かのとのい,あやふ,,　,●
«1872-1150»,«暦日1»,廿八〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1872-1160»,«節中»,立夏四月せつ昼八時一分ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1872-1170»,«暦日1»,廿九〳,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
«1872-1180»,«月序»,四月,大,建,乙巳,房宿　室　火よう
«1872-1190»,«暦日2»,一〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1872-1200»,«暦日0»,二〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1872-1210»,«暦日2»,三〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1872-1220»,«暦日0»,四〳,ひのとのみ,たつ,,　,●
«1872-1230»,«暦日2»,五〳,つちのえむま,のそく,火,ま日,くゑ日
«1872-1240»,«暦日0»,六〳,つちのとのひつし,みつ,,　,大みやう くゑ日 わうまう
«1872-1250»,«暦日2»,七〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1872-1260»,«暦日0»,八〳,かのとのとり,さたん,,　,十し
«1872-1270»,«暦日2»,九〳,みつのえいぬ,とる,水,ま日,ふく日
«1872-1280»,«暦日0»,十〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1872-1290»,«暦日2»,十一〳,きのえね,あやふ,金,　,きしく 天おん
«1872-1300»,«暦日0»,十二〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1872-1310»,«暦日2»,十三〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
