《1764-0000》,# カンマ区切りテキスト形式です。
《1764-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1764-0020》,# ・表の区画内での改行は“/”で表記します。
《1764-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1764-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1764-0050》,# 外部リンク
《1764-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/91 ～ 96
《1764-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1764g　(GitHub上データを表成型)
《1764-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1764h　(翻刻編集データを表成型 - 未実装)
《1764-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1764-0100》,《版元》,出版地○○,出版元□□□,　
《1764-1350》,《暦日2》,十五／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1764-1360》,《暦日0》,十六／,ひのとのとり,さたん,,　,十し
《1764-1370》,《暦日2》,十七／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1764-1380》,《暦日0》,十八／,つちのとのい,やふる,,　,くゑ日 ちう日
《1764-1390》,《暦日2》,十九／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1764-1400》,《暦日0》,廿／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1764-1410》,《暦日2》,廿一／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1764-1420》,《暦日0》,廿二／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1764-1430》,《節中》,小満四月中今暁とらの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1764-1440》,《暦日2》,廿三／,きのえたつ,とつ,火,　,大みやう
《1764-1450》,《暦日0》,廿四／,きのとのみ,たつ,,　,●
《1764-1460》,《暦日2》,廿五／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1764-1470》,《暦日0》,廿六／,ひのとのひつし,みつ,,　,くゑ日
《1764-1480》,《暦日2》,廿七／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1764-1490》,《暦日0》,廿八／,つちのとのとり,さたん,,　,十し
《1764-1500》,《暦日2》,廿九／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1764-1510》,《暦日0》,卅／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1764-1520》,《月序》,五月,小,建,庚午,星宿　奎　木よう
《1764-1530》,《暦日2》,一／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1764-1540》,《暦日0》,二／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1764-1550》,《暦日2》,三／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1764-1560》,《暦日0》,四／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1764-1570》,《暦日2》,五／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1764-1580》,《暦日0》,六／,ひのとのみ,たつ,,　,●
《1764-1590》,《暦日1》,七／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1764-1600》,《節中》,芒種五月せつたつの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1764-1610》,《暦日1》,八／,つちのとのひつし,のそく,火,　,神よし 大みやう  みそすつくり 田うへよし
《1764-1620》,《暦日2》,九／,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
《1764-1630》,《暦日0》,十／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1764-1640》,《暦日2》,十一／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1764-1650》,《暦日0》,十二／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1764-1660》,《暦日2》,十三／,きのえね,やふる,金,　,●
《1764-1670》,《暦日0》,十四／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1764-1680》,《暦日2》,十五／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1764-1690》,《暦日0》,十六／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1764-1700》,《暦日2》,十七／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1764-1710》,《暦日0》,十八／,つちのとのみ,とつ,,　,十し
《1764-1720》,《暦日2》,十九／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1764-1730》,《暦日0》,廿／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1764-1740》,《暦日2》,廿一／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1764-1750》,《暦日0》,廿二／,みつのとのとり,たいら,,　,大みやう ふく日 めつもん 地火 わうまう
《1764-1760》,《節中》,夏至五月中ひつしの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1764-1770》,《暦日2》,廿三／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1764-1780》,《暦日0》,廿四／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1764-1790》,《暦日2》,廿五／,ひのえね,やふる,水,　,●
《1764-1800》,《暦日0》,廿六／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1764-1810》,《暦日2》,廿七／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1764-1820》,《暦日0》,廿八／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1764-1830》,《暦日1》,廿九／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1764-1840》,《月序》,六月,大,建,辛未,張宿　婁　金よう
《1764-1850》,《暦日1》,一／,かのとのみ,とつ,金,　,十し
《1764-1860》,《暦日2》,二／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1764-1870》,《暦日0》,三／,みつのとのひつし,のそく,,はんけしやう,天おん ふく日  田うへよし
《1764-1880》,《暦日2》,四／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1764-1890》,《暦日0》,五／,きのとのとり,たいら,,　,神よし めつもん 地火
《1764-1900》,《暦日2》,六／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1764-1910》,《暦日0》,七／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1764-1920》,《暦日1》,八／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《1764-1930》,《節中》,小暑六月せつとりの八刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1764-1940》,《暦日1》,九／,つちのとのうし,やふる,火,　,十し
《1764-1950》,《暦日2》,十／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1764-1960》,《暦日0》,十一／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1764-1970》,《暦日2》,十二／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1764-1980》,《暦日0》,十三／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1764-1990》,《暦日2》,十四／,きのえむま,とつ,金,　,●
《1764-2000》,《暦日0》,十五／,きのとのひつし,たつ,,　,大みやう 五む日
《1764-2010》,《暦日2》,十六／,ひのえさる,のそく,火,　,神よし
