《1699-0000》,# カンマ区切りテキスト形式です。
《1699-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1699-0680》,《暦日1》,十五／,きのとのう,たつ,水,　,くゑ日 ふく日 天火 らうしやく 金性の人うけニ入
《1699-0690》,《暦日2》,十六／,ひのえたつ,のそく,土,ま日,●
《1699-0700》,《暦日0》,十七／,ひのとのみ,みつ,,　,十し
《1699-0710》,《暦日2》,十八／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1699-0720》,《暦日0》,十九／,つちのとのひつし,さたん,,　,大みやう ちいみ わうまう  たねかしよし
《1699-0730》,《暦日2》,廿／,かのえさる,とる,木,　,神よし 大みやう
《1699-0740》,《暦日0》,廿一／,かのとのとり,やふる,,春分二月中さるの初刻,大みやう くゑ日 ふく日
《1699-0750》,《暦日2》,廿二／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1699-0760》,《暦日0》,廿三／,みつのとのい,なる,,八せんのおはり/ひかんニなる,ちう日  たねかしよし
《1699-0770》,《暦日2》,廿四／,きのえね,おさん,金,　,めつもん
《1699-0780》,《暦日0》,廿五／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1699-0790》,《暦日2》,廿六／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1699-0800》,《暦日0》,廿七／,ひのとのう,たつ,,　,天火 らうしやく
《1699-0810》,《暦日2》,廿八／,つちのえたつ,のそく,木,　,●
《1699-0820》,《暦日0》,廿九／,つちのとのみ,みつ,,　,十し
《1699-0830》,《月序》,三月,大,建,戊辰,翼宿　室　火よう
《1699-0840》,《暦日2》,一／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1699-0850》,《暦日0》,二／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1699-0860》,《暦日2》,三／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1699-0870》,《暦日0》,四／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1699-0880》,《暦日2》,五／,きのえいぬ,あやふ,火,　, かといてよし
《1699-0890》,《暦日0》,六／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1699-0900》,《暦日2》,七／,ひのえね,なる,水,三月せついぬの五刻ニ入,きこ
《1699-0910》,《暦日0》,八／,ひのとのうし,おさん,,　,十し
《1699-0920》,《暦日2》,九／,つちのえとら,ひらく,土,　,天しや よろつよし
《1699-0930》,《暦日0》,十／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1699-0940》,《暦日2》,十一／,かのえたつ,たつ,金,　,きしく くゑ日
《1699-0950》,《暦日0》,十二／,かのとのみ,のそく,,　,ちう日
《1699-0960》,《暦日2》,十三／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1699-0970》,《暦日0》,十四／,みつのとのひつし,たいら,,　,めつもん 地火
《1699-0980》,《暦日2》,十五／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1699-0990》,《暦日0》,十六／,きのとのとり,とる,,　,神よし  くさかりよし
《1699-1000》,《暦日2》,十七／,ひのえいぬ,やふる,土,　,五む日
《1699-1010》,《暦日0》,十八／,ひのとのい,あやふ,,　,●
《1699-1020》,《暦日2》,十九／,つちのえね,なる,火,　,きこ ふく日
《1699-1030》,《暦日0》,廿／,つちのとのうし,おさん,,とようねの六刻ニ入,十し
《1699-1040》,《暦日2》,廿一／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1699-1050》,《暦日0》,廿二／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1699-1060》,《暦日2》,廿三／,みつのえたつ,たつ,水,三月中うしの二刻,さい下しき 大みやう 五む日
《1699-1070》,《暦日0》,廿四／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1699-1080》,《暦日2》,廿五／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1699-1090》,《暦日0》,廿六／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1699-1100》,《暦日2》,廿七／,ひのえさる,さたん,火,　,くゑ日 わうまう
《1699-1110》,《暦日0》,廿八／,ひのとのとり,とる,,　,神よし  いちたちよし
《1699-1120》,《暦日2》,廿九／,つちのえいぬ,やふる,木,　,ふく日
《1699-1130》,《暦日0》,卅／,つちのとのい,あやふ,,　,●
《1699-1140》,《月序》,四月,小,建,己巳,軫宿　奎　木よう
《1699-1150》,《暦日2》,一／,かのえね,なる,土,　,神よし きこ
《1699-1160》,《暦日0》,二／,かのとのうし,おさん,,　,十し
《1699-1170》,《暦日2》,三／,みつのえとら,ひらく,金,八十八や,大みやう ちいみ  つめとりよし
《1699-1180》,《暦日0》,四／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1699-1190》,《暦日2》,五／,きのえたつ,たつ,火,　,大みやう くゑ日
《1699-1200》,《暦日0》,六／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1699-1210》,《暦日2》,七／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1699-1220》,《暦日0》,八／,ひのとのひつし,みつ,,立夏四月せつうの七刻ニ入,くゑ日
《1699-1230》,《暦日2》,九／,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
《1699-1240》,《暦日0》,十／,つちのとのとり,さたん,,　,十し
《1699-1250》,《暦日2》,十一／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1699-1260》,《暦日0》,十二／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1699-1270》,《暦日2》,十三／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1699-1280》,《暦日0》,十四／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1699-1290》,《暦日2》,十五／,きのえとら,おさん,水,　,めつもん わうまう  つめとりよし
《1699-1300》,《暦日0》,十六／,きのとのう,ひらく,,　,神よし  さひらきよし
《1699-1310》,《暦日2》,十七／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1699-1320》,《暦日0》,十八／,ひのとのみ,たつ,,　,●
《1699-1330》,《暦日2》,十九／,つちのえむま,のそく,火,ま日,くゑ日
