《1784-0000》,# カンマ区切りテキスト形式です。
《1784-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1784-0020》,# ・表の区画内での改行は“/”で表記します。
《1784-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1784-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1784-0050》,# 外部リンク
《1784-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/188 ～ 192
《1784-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1784g　(GitHub上データを表成型)
《1784-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1784h　(翻刻編集データを表成型 - 未実装)
《1784-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1784-0100》,《版元》,出版地○○,出版元□□□,　
《1784-2360》,《暦日0》,廿／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1784-2370》,《暦日1》,廿一／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《1784-2380》,《節中》,立秋七月せつ今暁とらの八刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1784-2390》,《暦日1》,廿二／,きのとのみ,おさん,火,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1784-2400》,《暦日2》,廿三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1784-2410》,《暦日0》,廿四／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1784-2420》,《暦日2》,廿五／,つちのえさる,たつ,土,　,天しや よろつよし
《1784-2430》,《暦日0》,廿六／,つちのとのとり,のそく,,　,十し
《1784-2440》,《暦日2》,廿七／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《1784-2450》,《暦日0》,廿八／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1784-2460》,《暦日2》,廿九／,みつのえね,さたん,木,八せんのはしめ,天おん 月とく わうまう  くらたてよし
《1784-2470》,《暦日0》,卅／,みつのとのうし,とる,,ま日,●
《1784-2480》,《月序》,七月,大,建,壬申,奎宿　心　月よう
《1784-2490》,《暦日1》,一／,きのえとら,やふる,水,　,ふく日  つめとりよし
《1784-2500》,《食記》,日そくニ分
《1784-2510》,《暦日1》,二／,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
《1784-2520》,《暦日2》,三／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1784-2530》,《暦日0》,四／,ひのとのみ,おさん,,　,さい下しき 月とく 大くわ ちう日  ものたちよし
《1784-2540》,《暦日2》,五／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1784-2550》,《暦日0》,六／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1784-2560》,《節中》,処暑七月中みの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1784-2570》,《暦日2》,七／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1784-2580》,《暦日0》,八／,かのとのとり,のそく,,　,十し
《1784-2590》,《暦日2》,九／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1784-2600》,《暦日0》,十／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1784-2610》,《暦日2》,十一／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1784-2620》,《暦日0》,十二／,きのとのうし,とる,,　,●
《1784-2630》,《暦日2》,十三／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《1784-2640》,《暦日0》,十四／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《1784-2650》,《暦日1》,十五／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ
《1784-2660》,《食記》,月そく七分
《1784-2670》,《暦日1》,十六／,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
《1784-2680》,《暦日2》,十七／,かのえむま,ひらく,土,二百十日,神よし ふく日 天火 らうしやく
《1784-2690》,《暦日0》,十八／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《1784-2700》,《暦日2》,十九／,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
《1784-2710》,《暦日0》,廿／,みつのとのとり,のそく,,　,十し
《1784-2720》,《暦日1》,廿一／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1784-2730》,《節中》,白露八月せつさるの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1784-2740》,《暦日1》,廿二／,きのとのい,みつ,火,　,月とく ちう日 ふく日  入学よし
《1784-2750》,《暦日2》,廿三／,ひのえね,たいら,水,　,大くわ 地火
《1784-2760》,《暦日0》,廿四／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1784-2770》,《暦日2》,廿五／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1784-2780》,《暦日0》,廿六／,つちのとのう,やふる,,　,大みやう 天おん
《1784-2790》,《暦日2》,廿七／,かのえたつ,あやふ,金,二百廿日,天おん 母倉 月とく
《1784-2800》,《暦日0》,廿八／,かのとのみ,なる,,　,十し
《1784-2810》,《暦日2》,廿九／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《1784-2820》,《暦日0》,卅／,みつのとのひつし,ひらく,,　,●
《1784-2830》,《月序》,八月,小,建,癸酉,婁宿　箕　水よう
《1784-2840》,《暦日2》,一／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1784-2850》,《暦日0》,二／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1784-2860》,《暦日2》,三／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1784-2870》,《暦日0》,四／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1784-2880》,《暦日2》,五／,つちのえね,たいら,火,社日/ひかんニなる,大くわ 地火
《1784-2890》,《暦日0》,六／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1784-2900》,《節中》,秋分八月中いぬの七刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1784-2910》,《暦日2》,七／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《1784-2920》,《暦日0》,八／,かのとのう,やふる,,　,ふく日 わうまう  田かりよし
《1784-2930》,《暦日2》,九／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《1784-2940》,《暦日0》,十／,みつのとのみ,なる,,天一天上,十し
《1784-2950》,《暦日2》,十一／,きのえむま,おさん,金,　,めつもん
《1784-2960》,《暦日0》,十二／,きのとのひつし,ひらく,,　,●
《1784-2970》,《暦日2》,十三／,ひのえさる,とつ,火,　,神よし
《1784-2980》,《暦日0》,十四／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1784-2990》,《暦日2》,十五／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《1784-3000》,《暦日0》,十六／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1784-3010》,《暦日2》,十七／,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
《1784-3020》,《暦日0》,十八／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《1784-3030》,《暦日2》,十九／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1784-3040》,《暦日0》,廿／,みつのとのう,やふる,,　, くらたて 田かりよし
《1784-3050》,《暦日2》,廿一／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《1784-3060》,《暦日0》,廿二／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1784-3070》,《節中》,寒露九月せつ今暁うしの四刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1784-3080》,《暦日2》,廿三／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1784-3090》,《暦日0》,廿四／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1784-3100》,《暦日2》,廿五／,つちのえさる,ひらく,土,　,天しや よろつよし
《1784-3110》,《暦日0》,廿六／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《1784-3120》,《暦日2》,廿七／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1784-3130》,《暦日0》,廿八／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1784-3140》,《暦日1》,廿九／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1784-3150》,《月序》,九月,大,建,甲戌,胃宿　斗　木よう
《1784-3160》,《暦日1》,一／,みつのとのうし,たいら,木,ま日,十し
《1784-3170》,《暦日2》,二／,きのえとら,さたん,水,　,●
《1784-3180》,《暦日0》,三／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1784-3190》,《暦日2》,四／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《1784-3200》,《暦日0》,五／,ひのとのみ,あやふ,,とよううの四刻ニ入,さい下しき 母倉 ちいみ ちう日 下しきひつしの時
《1784-3210》,《暦日2》,六／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《1784-3220》,《暦日0》,七／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《1784-3230》,《暦日1》,八／,かのえさる,ひらく,木,　,大みやう
《1784-3240》,《節中》,霜降九月中たつの一刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1784-3250》,《暦日1》,九／,かのとのとり,とつ,木,　,神よし 大みやう 月とく  いちたちよし
《1784-3260》,《暦日2》,十／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《1784-3270》,《暦日0》,十一／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1784-3280》,《暦日2》,十二／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《1784-3290》,《暦日0》,十三／,きのとのうし,たいら,,　,十し
《1784-3300》,《暦日2》,十四／,ひのえとら,さたん,火,　,●
《1784-3310》,《暦日0》,十五／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《1784-3320》,《暦日2》,十六／,つちのえたつ,やふる,木,　,きしく 天おん 五む日 ふく日
《1784-3330》,《暦日0》,十七／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《1784-3340》,《暦日2》,十八／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《1784-3350》,《暦日0》,十九／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ わうまう  たねまき 田かりよし
《1784-3360》,《暦日2》,廿／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1784-3370》,《暦日0》,廿一／,みつのとのとり,とつ,,　,神よし 大みやう
《1784-3380》,《暦日2》,廿二／,きのえいぬ,たつ,火,　,くゑ日
《1784-3390》,《暦日0》,廿三／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1784-3400》,《節中》,立冬十月せつむまの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1784-3410》,《暦日2》,廿四／,ひのえね,のそく,水,　,ふく日
《1784-3420》,《暦日0》,廿五／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1784-3430》,《暦日2》,廿六／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1784-3440》,《暦日0》,廿七／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1784-3450》,《暦日2》,廿八／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《1784-3460》,《暦日0》,廿九／,かのとのみ,やふる,,　,天おん ちう日
《1784-3470》,《暦日1》,卅／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1784-3480》,《月序》,十月,小,建,乙亥,昴宿　女　土よう
《1784-3490》,《暦日1》,一／,みつのとのひつし,なる,木,　,天おん
《1784-3500》,《暦日2》,二／,きのえさる,おさん,水,十方くれニ入,●
《1784-3510》,《暦日0》,三／,きのとのとり,ひらく,,　,十し
《1784-3520》,《暦日2》,四／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1784-3530》,《暦日0》,五／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1784-3540》,《暦日2》,六／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1784-3550》,《暦日0》,七／,つちのとのうし,みつ,,　,くゑ日 きこ
《1784-3560》,《暦日1》,八／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1784-3570》,《節中》,小雪十月中とりの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1784-3580》,《暦日1》,九／,かのとのう,さたん,木,　,神よし 天火 らうしやく  ものたちよし
《1784-3590》,《暦日2》,十／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1784-3600》,《暦日0》,十一／,みつのとのみ,やふる,,天一天上,ちう日
《1784-3610》,《暦日2》,十二／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《1784-3620》,《暦日0》,十三／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1784-3630》,《暦日2》,十四／,ひのえさる,おさん,火,　,●
《1784-3640》,《暦日0》,十五／,ひのとのとり,ひらく,,　,十し
《1784-3650》,《暦日2》,十六／,つちのえいぬ,とつ,木,　,くゑ日
《1784-3660》,《暦日0》,十七／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1784-3670》,《暦日2》,十八／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1784-3680》,《暦日0》,十九／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1784-3690》,《暦日2》,廿／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1784-3700》,《暦日0》,廿一／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1784-3710》,《暦日2》,廿二／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《1784-3720》,《暦日0》,廿三／,きのとのみ,とる,,　,十し
《1784-3730》,《節中》,大雪十一月せついの八刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1784-3740》,《暦日2》,廿四／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1784-3750》,《暦日0》,廿五／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《1784-3760》,《暦日2》,廿六／,つちのえさる,なる,土,　,母倉  入学よし
《1784-3770》,《暦日0》,廿七／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《1784-3780》,《暦日2》,廿八／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《1784-3790》,《暦日0》,廿九／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《1784-3800》,《月序》,十一月,大,建,丙子,畢宿　虛　日よう
《1784-3810》,《暦日2》,一／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1784-3820》,《暦日0》,二／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1784-3830》,《暦日2》,三／,きのえとら,みつ,水,　,きこ  つめとりよし
《1784-3840》,《暦日0》,四／,きのとのう,たいら,,　,●
《1784-3850》,《暦日2》,五／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1784-3860》,《暦日0》,六／,ひのとのみ,とる,,　,十し
《1784-3870》,《暦日2》,七／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1784-3880》,《暦日0》,八／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1784-3890》,《暦日2》,九／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《1784-3900》,《暦日0》,十／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《1784-3910》,《節中》,冬至十一月中今暁とらの五刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1784-3920》,《暦日2》,十一／,みつのえいぬ,ひらく,水,ま日,月とく
《1784-3930》,《暦日0》,十二／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1784-3940》,《暦日2》,十三／,きのえね,たつ,金,　,天しや よろつよし
《1784-3950》,《暦日0》,十四／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《1784-3960》,《暦日2》,十五／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《1784-3970》,《暦日0》,十六／,ひのとのう,たいら,,　,●
《1784-3980》,《暦日2》,十七／,つちのえたつ,さたん,木,　,天おん 五む日
《1784-3990》,《暦日0》,十八／,つちのとのみ,とる,,　,十し
《1784-4000》,《暦日2》,十九／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1784-4010》,《暦日0》,廿／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1784-4020》,《暦日2》,廿一／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《1784-4030》,《暦日0》,廿二／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《1784-4040》,《暦日2》,廿三／,きのえいぬ,ひらく,火,　
《1784-4050》,《暦日0》,廿四／,きのとのい,とつ,,　,ちう日
《1784-4060》,《暦日1》,廿五／,ひのえね,とつ,水,　,きこ ちいみ
《1784-4070》,《節中》,小寒十二月せつみの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1784-4080》,《暦日1》,廿六／,ひのとのうし,たつ,水,　,十し
《1784-4090》,《暦日2》,廿七／,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
《1784-4100》,《暦日0》,廿八／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日
《1784-4110》,《暦日2》,廿九／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《1784-4120》,《暦日0》,卅／,かのとのみ,さたん,,　,天おん 母倉 ちう日
《1784-4130》,《月序》,十二月,小,建,丁丑,觜宿　室　火よう
《1784-4140》,《暦日2》,一／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《1784-4150》,《暦日0》,二／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《1784-4160》,《暦日2》,三／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1784-4170》,《暦日0》,四／,きのとのとり,なる,,　,●
《1784-4180》,《暦日2》,五／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1784-4190》,《暦日0》,六／,ひのとのい,ひらく,,　,大みやう ちう日
《1784-4200》,《暦日2》,七／,つちのえね,とつ,火,とようひつしの二刻ニ入,くゑ日 きこ ちいみ ふく日
《1784-4210》,《暦日0》,八／,つちのとのうし,たつ,,　,十し
《1784-4220》,《暦日2》,九／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《1784-4230》,《暦日0》,十／,かのとのう,みつ,,　,神よし  よめとりよし
《1784-4240》,《節中》,大寒十二月中ひつしの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1784-4250》,《暦日2》,十一／,みつのえたつ,たいら,水,　,きしく 大みやう 五む日 大くわ 地火
《1784-4260》,《暦日0》,十二／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《1784-4270》,《暦日2》,十三／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《1784-4280》,《暦日0》,十四／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《1784-4290》,《暦日2》,十五／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《1784-4300》,《暦日0》,十六／,ひのとのとり,なる,,　,●
《1784-4310》,《暦日2》,十七／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1784-4320》,《暦日0》,十八／,つちのとのい,ひらく,,　,ちう日 ふく日
《1784-4330》,《暦日2》,十九／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《1784-4340》,《暦日0》,廿／,かのとのうし,たつ,,　,十し
《1784-4350》,《暦日2》,廿一／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1784-4360》,《暦日0》,廿二／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《1784-4370》,《暦日2》,廿三／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《1784-4380》,《暦日0》,廿四／,きのとのみ,さたん,,せつふん,大みやう 母倉 月とく ちう日 わうまう  いちたちよし
《1784-4390》,《暦日1》,廿五／,ひのえむま,さたん,水,　,さい下しき 神よし 大みやう 月とく  わたましよし
《1784-4400》,《節中》,立春正月せついぬの三刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1784-4410》,《暦日1》,廿六／,ひのとのひつし,とる,水,　,神よし  かといてよし
《1784-4420》,《暦日2》,廿七／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1784-4430》,《暦日0》,廿八／,つちのとのとり,あやふ,,　,十し
《1784-4440》,《暦日1》,廿九／,かのえいぬ,なる,金,　,●
《1784-4450》,《暦末》,天明三年出,立表測景定節氣者
