«1749-0000»,【 カンマ区切りテキスト形式です。】
«1749-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1749-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1749-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1749-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1749-0050»,【 外部リンク　】
«1749-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/18 ～ 22】
«1749-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1749h　(翻刻編集終了データを表成型して表示します)】
«1749-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1749ht (翻刻編集中データを表成型して表示します)】
«1749-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1749-0100»,«版元»,出版地○○,出版元□□□,　
«1749-0660»,«暦日2»,十一〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1749-0670»,«暦日0»,十二〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1749-0680»,«暦日2»,十三〳,みつのえたつ,のそく,水,　,●
«1749-0690»,«暦日0»,十四〳,みつのとのみ,みつ,,天一天上,十し
«1749-0700»,«暦日2»,十五〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1749-0710»,«暦日0»,十六〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1749-0720»,«暦日2»,十七〳,ひのえさる,とる,火,　,神よし きしく
«1749-0730»,«暦日0»,十八〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1749-0740»,«暦日1»,十九〳,つちのえいぬ,やふる,木,　,ふく日
«1749-0750»,«節中»,清明三月せついの四刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1749-0760»,«暦日1»,廿〳,つちのとのい,あやふ,木,　,●
«1749-0770»,«暦日2»,廿一〳,かのえね,なる,土,　,神よし きこ
«1749-0780»,«暦日0»,廿二〳,かのとのうし,おさん,,　,十し
«1749-0790»,«暦日2»,廿三〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1749-0800»,«暦日0»,廿四〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1749-0810»,«暦日2»,廿五〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1749-0820»,«暦日0»,廿六〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1749-0830»,«暦日2»,廿七〳,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 天火 らうしやく
«1749-0840»,«暦日0»,廿八〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1749-0850»,«暦日1»,廿九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1749-0860»,«月序»,三月,小,建,戊辰,虛宿　斗　木よう
«1749-0870»,«暦日1»,一〳,つちのとのとり,とる,土,　,神よし 大みやう ふく日
«1749-0880»,«暦日2»,二〳,かのえいぬ,やふる,金,とよう翌うしの五刻ニ入,大みやう
«1749-0890»,«暦日0»,三〳,かのとのい,あやふ,,　,●
«1749-0900»,«暦日2»,四〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1749-0910»,«暦日0»,五〳,みつのとのうし,おさん,,ま日,十し
«1749-0920»,«節中»,穀雨三月中翌とらの一刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1749-0930»,«暦日2»,六〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1749-0940»,«暦日0»,七〳,きのとのう,とつ,,　,神よし  ものたちよし
«1749-0950»,«暦日2»,八〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1749-0960»,«暦日0»,九〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1749-0970»,«暦日2»,十〳,つちのえむま,みつ,火,ま日,ふく日 天火 らうしやく わうまう  ふねのりよし
«1749-0980»,«暦日0»,十一〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1749-0990»,«暦日2»,十二〳,かのえさる,さたん,木,　,大みやう くゑ日
«1749-1000»,«暦日0»,十三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1749-1010»,«暦日2»,十四〳,みつのえいぬ,やふる,水,ま日
«1749-1020»,«暦日0»,十五〳,みつのとのい,あやふ,,八せんのおはり,●
«1749-1030»,«暦日2»,十六〳,きのえね,なる,金,　,きしく くゑ日 きこ
«1749-1040»,«暦日0»,十七〳,きのとのうし,おさん,,八十八や,十し
«1749-1050»,«暦日2»,十八〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1749-1060»,«暦日0»,十九〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1749-1070»,«暦日2»,廿〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1749-1080»,«暦日0»,廿一〳,つちのとのみ,たつ,,　,●
«1749-1090»,«節中»,立夏四月せつたつの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1749-1100»,«暦日2»,廿二〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1749-1110»,«暦日0»,廿三〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1749-1120»,«暦日2»,廿四〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1749-1130»,«暦日0»,廿五〳,みつのとのとり,さたん,,　,十し
«1749-1140»,«暦日2»,廿六〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1749-1150»,«暦日0»,廿七〳,きのとのい,やふる,,　,ちう日
«1749-1160»,«暦日2»,廿八〳,ひのえね,あやふ,水,　,ふく日 わうまう  さひらきよし
«1749-1170»,«暦日0»,廿九〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1749-1180»,«月序»,四月,大,建,己巳,危宿　牛　金よう
«1749-1190»,«暦日2»,一〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1749-1200»,«暦日0»,二〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1749-1210»,«暦日2»,三〳,かのえたつ,とつ,金,　, けんふくよし
