《1716-0000》,# カンマ区切りテキスト形式です。
《1716-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1716-0420》,《暦日0》,廿一／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《1716-0430》,《暦日2》,廿二／,きのえとら,たつ,水,　,くゑ日 ふく日
《1716-0440》,《暦日0》,廿三／,きのとのう,のそく,,　,神よし  ものたちよし
《1716-0450》,《暦日2》,廿四／,ひのえたつ,みつ,土,ま日,大みやう
《1716-0460》,《暦日0》,廿五／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1716-0470》,《暦日2》,廿六／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1716-0480》,《暦日0》,廿七／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1716-0490》,《暦日2》,廿八／,かのえさる,やふる,木,正月中たつの初刻,神よし きしく 大みやう ふく日
《1716-0500》,《暦日0》,廿九／,かのとのとり,あやふ,,　,十し
《1716-0510》,《月序》,二月,大,建,辛卯,尾宿　星　日よう
《1716-0520》,《暦日2》,一／,みつのえいぬ,なる,水,ま日,●
《1716-0530》,《暦日0》,二／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1716-0540》,《暦日2》,三／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1716-0550》,《暦日0》,四／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1716-0560》,《暦日2》,五／,ひのえとら,たつ,火,　, つめとりよし
《1716-0570》,《暦日0》,六／,ひのとのう,のそく,,　,神よし  あさまきよし
《1716-0580》,《暦日2》,七／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1716-0590》,《暦日0》,八／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1716-0600》,《暦日2》,九／,かのえむま,さたん,土,　,神よし ふく日
《1716-0610》,《暦日0》,十／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1716-0620》,《暦日2》,十一／,みつのえさる,やふる,金,　,神よし 大みやう
《1716-0630》,《暦日0》,十二／,みつのとのとり,あやふ,,　,十し
《1716-0640》,《暦日2》,十三／,きのえいぬ,なる,火,　,●
《1716-0650》,《暦日0》,十四／,きのとのい,なる,,二月せつむまの五刻ニ入,ちう日 ふく日  みそすつくりよし
《1716-0660》,《暦日2》,十五／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1716-0670》,《暦日0》,十六／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1716-0680》,《暦日2》,十七／,つちのえとら,とつ,土,　,天しや よろつよし
《1716-0690》,《暦日0》,十八／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1716-0700》,《暦日2》,十九／,かのえたつ,のそく,金,　,●
《1716-0710》,《暦日0》,廿／,かのとのみ,みつ,,　,十し
《1716-0720》,《暦日2》,廿一／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1716-0730》,《暦日0》,廿二／,みつのとのひつし,さたん,,　,ちいみ
《1716-0740》,《暦日2》,廿三／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《1716-0750》,《暦日0》,廿四／,きのとのとり,やふる,,　,ふく日
《1716-0760》,《暦日2》,廿五／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1716-0770》,《暦日0》,廿六／,ひのとのい,なる,,　,大みやう ちう日
《1716-0780》,《暦日2》,廿七／,つちのえね,おさん,火,社日,きしく めつもん わうまう  けんふく たねかしよし
《1716-0790》,《暦日0》,廿八／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1716-0800》,《暦日2》,廿九／,かのえとら,とつ,木,春分二月中とりの二刻,きこ  つめとりよし
《1716-0810》,《暦日0》,卅／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1716-0820》,《月序》,閏二月,小,隨節用之,翼　火よう
《1716-0830》,《暦日2》,一／,みつのえたつ,のそく,水,ひかんニなる,●
《1716-0840》,《暦日0》,二／,みつのとのみ,みつ,,天一天上,十し
《1716-0850》,《暦日2》,三／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1716-0860》,《暦日0》,四／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1716-0870》,《暦日2》,五／,ひのえさる,とる,火,　,神よし
《1716-0880》,《暦日0》,六／,ひのとのとり,やふる,,　,さい下しき  あさまき たねかしよし
《1716-0890》,《暦日2》,七／,つちのえいぬ,あやふ,木,　, かといてよし
《1716-0900》,《暦日0》,八／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1716-0910》,《暦日2》,九／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《1716-0920》,《暦日0》,十／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1716-0930》,《暦日2》,十一／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1716-0940》,《暦日0》,十二／,みつのとのう,たつ,,　,天火 らうしやく
《1716-0950》,《暦日2》,十三／,きのえたつ,のそく,火,　,●
《1716-0960》,《暦日0》,十四／,きのとのみ,のそく,,三月せついの七刻ニ入,神よし 大みやう ちう日  ふねのりよし
《1716-0970》,《暦日2》,十五／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1716-0980》,《暦日0》,十六／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1716-0990》,《暦日2》,十七／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1716-1000》,《暦日0》,十八／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1716-1010》,《暦日2》,十九／,かのえいぬ,やふる,金,　,大みやう
《1716-1020》,《暦日0》,廿／,かのとのい,あやふ,,　,●
《1716-1030》,《暦日2》,廿一／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1716-1040》,《暦日0》,廿二／,みつのとのうし,おさん,,ま日,十し
