《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0680》,《暦日2》,十四／,ひのえさる,とる,火,　,神よし
《0690》,《暦日0》,十五／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0700》,《暦日2》,十六／,つちのえいぬ,あやふ,木,　, かといてよし
《0710》,《暦日0》,十七／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0720》,《暦日2》,十八／,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
《0730》,《暦日0》,十九／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0740》,《暦日2》,廿／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0750》,《暦日0》,廿一／,みつのとのう,たつ,,　,天火 らうしやく
《0760》,《暦日2》,廿二／,きのえたつ,のそく,火,　,●
《0770》,《暦日0》,廿三／,きのとのみ,みつ,,ひかんニなる,十し
《0780》,《暦日2》,廿四／,ひのえむま,たいら,水,　,さい下しき 神よし 大みやう 大くわ 地火
《0790》,《暦日0》,廿五／,ひのとのひつし,さたん,,　,神よし ちいみ
《0800》,《暦日1》,廿六／,つちのえさる,とる,土,社日,神よし  たねまきよし
《0810》,《節中》,春分二月中今暁九時三分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0820》,《暦日1》,廿七／,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
《0830》,《暦日2》,廿八／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0840》,《暦日0》,廿九／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0850》,《暦日1》,卅／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《0860》,《月序》,三月,小,建,甲辰,畢宿　斗　木よう
《0870》,《暦日1》,一／,みつのとのうし,ひらく,木,ま日,天おん  つめとりよし
《0880》,《暦日2》,二／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0890》,《暦日0》,三／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0900》,《暦日2》,四／,ひのえたつ,のそく,土,ま日,●
《0910》,《暦日0》,五／,ひのとのみ,みつ,,　,十し
《0920》,《暦日2》,六／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0930》,《暦日0》,七／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0940》,《暦日2》,八／,かのえさる,とる,木,　,神よし 大みやう
《0950》,《暦日0》,九／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0960》,《暦日2》,十／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0970》,《暦日0》,十一／,みつのとのい,あやふ,,八せんのおはり,●
《0980》,《節中》,清明三月せつ明六時ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0990》,《暦日2》,十二／,きのえね,なる,金,　,くゑ日 きこ
《1000》,《暦日0》,十三／,きのとのうし,おさん,,　,十し
《1010》,《暦日2》,十四／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1020》,《暦日0》,十五／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1030》,《暦日2》,十六／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《1040》,《暦日0》,十七／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1050》,《暦日2》,十八／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1060》,《暦日0》,十九／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1070》,《暦日2》,廿／,みつのえさる,さたん,金,　,大みやう くゑ日
《1080》,《暦日0》,廿一／,みつのとのとり,とる,,　,神よし 大みやう
《1090》,《暦日2》,廿二／,きのえいぬ,やふる,火,　, くさかりよし
《1100》,《暦日0》,廿三／,きのとのい,あやふ,,とよう朝五時九分ニ入,●
《1110》,《暦日2》,廿四／,ひのえね,なる,水,　,きこ
《1120》,《暦日0》,廿五／,ひのとのうし,おさん,,　,十し
《1130》,《暦日1》,廿六／,つちのえとら,ひらく,土,　,天しや よろつよし
《1140》,《節中》,穀雨三月中昼九時三分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1150》,《暦日1》,廿七／,つちのとのう,とつ,土,　,神よし 大みやう 天おん ふく日
《1160》,《暦日2》,廿八／,かのえたつ,たつ,金,　,くゑ日
《1170》,《暦日0》,廿九／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1180》,《月序》,四月,小,建,乙巳,觜宿　牛　金よう
《1190》,《暦日2》,一／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1200》,《暦日0》,二／,みつのとのひつし,たいら,,　,天おん めつもん 地火 わうまう
《1210》,《暦日2》,三／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1220》,《暦日0》,四／,きのとのとり,とる,,　,神よし  くさかりよし
《1230》,《暦日2》,五／,ひのえいぬ,やふる,土,　,五む日
