《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2950》,《暦日2》,十四／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2960》,《暦日0》,十五／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2970》,《暦日2》,十六／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2980》,《暦日0》,十七／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2990》,《暦日2》,十八／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《3000》,《暦日0》,十九／,ひのとのう,やふる,,　,天おん  田かりよし
《3010》,《暦日2》,廿／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《3020》,《暦日0》,廿一／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3030》,《節中》,寒露九月せつ夕七時七分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《3040》,《暦日2》,廿二／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3050》,《暦日0》,廿三／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3060》,《暦日2》,廿四／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3070》,《暦日0》,廿五／,みつのとのとり,とつ,,　,神よし 大みやう
《3080》,《暦日2》,廿六／,きのえいぬ,たつ,火,　,くゑ日
《3090》,《暦日0》,廿七／,きのとのい,のそく,,　,ちう日  田かりよし
《3100》,《暦日2》,廿八／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《3110》,《暦日0》,廿九／,ひのとのうし,たいら,,　,十し
《3120》,《暦日1》,卅／,つちのえとら,さたん,土,　,●
《3130》,《月序》,九月,大,建,庚戌,星宿　昴　日よう
《3140》,《暦日1》,一／,つちのとのう,とる,土,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3150》,《暦日2》,二／,かのえたつ,やふる,金,　,天おん
《3160》,《暦日0》,三／,かのとのみ,あやふ,,とよう夜五時一分ニ入,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3170》,《暦日2》,四／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3180》,《暦日0》,五／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3190》,《暦日1》,六／,きのえさる,ひらく,水,十方くれニ入,きしく 大みやう
《3200》,《節中》,霜降九月中夜五時一分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《3210》,《暦日1》,七／,きのとのとり,とつ,水,　,神よし  田かりよし
《3220》,《暦日2》,八／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3230》,《暦日0》,九／,ひのとのい,のそく,,　,大みやう ちう日
《3240》,《暦日2》,十／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3250》,《暦日0》,十一／,つちのとのうし,たいら,,　,十し
《3260》,《暦日2》,十二／,かのえとら,さたん,木,　,●
《3270》,《暦日0》,十三／,かのとのう,とる,,　,くゑ日
《3280》,《暦日2》,十四／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3290》,《暦日0》,十五／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3300》,《暦日2》,十六／,きのえむま,なる,金,　,くゑ日
《3310》,《暦日0》,十七／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ わうまう
《3320》,《暦日2》,十八／,ひのえさる,ひらく,火,　,くゑ日
《3330》,《暦日0》,十九／,ひのとのとり,とつ,,　,くゑ日
《3340》,《暦日2》,廿／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3350》,《暦日0》,廿一／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3360》,《節中》,立冬十月せつ夜五時ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3370》,《暦日2》,廿二／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3380》,《暦日0》,廿三／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3390》,《暦日2》,廿四／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3400》,《暦日0》,廿五／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3410》,《暦日2》,廿六／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3420》,《暦日0》,廿七／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3430》,《暦日2》,廿八／,ひのえむま,あやふ,水,　,さい下しき 神よし 大みやう ふく日
《3440》,《暦日0》,廿九／,ひのとのひつし,なる,,　, 木こりよし
《3450》,《暦日1》,卅／,つちのえさる,おさん,土,　,●
《3460》,《月序》,十月,小,建,辛亥,張宿　觜　火よう
《3470》,《暦日1》,一／,つちのとのとり,ひらく,土,　,十し
《3480》,《暦日2》,二／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3490》,《暦日0》,三／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3500》,《暦日2》,四／,みつのえね,のそく,木,八せんのはしめ,きしく くゑ日 ふく日
《3510》,《暦日0》,五／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3520》,《暦日1》,六／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3530》,《節中》,小雪十月中夕七時六分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3540》,《暦日1》,七／,きのとのう,さたん,水,　,神よし 天火 らうしやく  けんふく ものたちよし
《3550》,《暦日2》,八／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3560》,《暦日0》,九／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3570》,《暦日2》,十／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3580》,《暦日0》,十一／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3590》,《暦日2》,十二／,かのえさる,おさん,木,　,●
《3600》,《暦日0》,十三／,かのとのとり,ひらく,,　,十し
《3610》,《暦日2》,十四／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3620》,《暦日0》,十五／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3630》,《暦日2》,十六／,きのえね,のそく,金,　,天しや よろつよし
《3640》,《暦日0》,十七／,きのとのうし,みつ,,　,くゑ日 きこ
《3650》,《暦日2》,十八／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3660》,《暦日0》,十九／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3670》,《暦日2》,廿／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3680》,《暦日0》,廿一／,つちのとのみ,とる,,　,十し
《3690》,《節中》,大雪十一月せつ昼九時ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3700》,《暦日2》,廿二／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3710》,《暦日0》,廿三／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3720》,《暦日2》,廿四／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3730》,《暦日0》,廿五／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3740》,《暦日2》,廿六／,きのえいぬ,ひらく,火,　
《3750》,《暦日0》,廿七／,きのとのい,とつ,,　,ちう日
《3760》,《暦日2》,廿八／,ひのえね,たつ,水,　, 木こりよし
《3770》,《暦日0》,廿九／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3780》,《月序》,十一月,大,建,壬子,翼宿　參　水よう
《3790》,《暦日2》,一／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3800》,《暦日0》,二／,つちのとのう,たいら,,　,●
《3810》,《暦日2》,三／,かのえたつ,さたん,金,　,きしく 天おん  たねまきよし
《3820》,《暦日0》,四／,かのとのみ,とる,,　,十し
《3830》,《暦日2》,五／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3840》,《暦日0》,六／,みつのとのひつし,あやふ,,　,天おん ふく日
《3850》,《暦日1》,七／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3860》,《節中》,冬至十一月中今暁七時五分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3870》,《暦日1》,八／,きのとのとり,おさん,水,　,神よし 母倉 大くわ  ものたちよし
《3880》,《暦日2》,九／,ひのえいぬ,ひらく,土,　,五む日
《3890》,《暦日0》,十／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3900》,《暦日2》,十一／,つちのえね,たつ,火,　,くゑ日 わうまう
《3910》,《暦日0》,十二／,つちのとのうし,のそく,,　, つめとりよし
《3920》,《暦日2》,十三／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3930》,《暦日0》,十四／,かのとのう,たいら,,　,●
《3940》,《暦日2》,十五／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3950》,《暦日0》,十六／,みつのとのみ,とる,,天一天上,十し
《3960》,《暦日2》,十七／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3970》,《暦日0》,十八／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3980》,《暦日2》,十九／,ひのえさる,なる,火,　,母倉
《3990》,《暦日0》,廿／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《4000》,《暦日1》,廿一／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4010》,《節中》,小寒十二月せつ夜四時三分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《4020》,《暦日1》,廿二／,つちのとのい,ひらく,木,　,ちう日 ふく日
《4030》,《暦日2》,廿三／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《4040》,《暦日0》,廿四／,かのとのうし,たつ,,　,十し
《4050》,《暦日2》,廿五／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4060》,《暦日0》,廿六／,みつのとのう,みつ,,　,神よし  わたましよし
《4070》,《暦日2》,廿七／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4080》,《暦日0》,廿八／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4090》,《暦日2》,廿九／,ひのえむま,とる,水,　,さい下しき 神よし 大みやう 母倉  かといてよし
《4100》,《暦日0》,卅／,ひのとのひつし,やふる,,　,くゑ日
《4110》,《月序》,十二月,大,建,癸丑,軫宿　鬼　金よう
《4120》,《暦日2》,一／,つちのえさる,あやふ,土,　,神よし きしく ふく日  みそさけつくりよし
《4130》,《暦日0》,二／,つちのとのとり,なる,,　,●
《4140》,《暦日2》,三／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4150》,《暦日0》,四／,かのとのい,ひらく,,とよう今暁八時四分ニ入,大みやう 天おん ちう日  正月ことはしめよし
《4160》,《暦日2》,五／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4170》,《暦日0》,六／,みつのとのうし,たつ,,ま日,十し
《4180》,《節中》,大寒十二月中夕七時一分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《4190》,《暦日2》,七／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4200》,《暦日0》,八／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《4210》,《暦日2》,九／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4220》,《暦日0》,十／,ひのとのみ,さたん,,　,母倉 ちう日
《4230》,《暦日2》,十一／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《4240》,《暦日0》,十二／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《4250》,《暦日2》,十三／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《4260》,《暦日0》,十四／,かのとのとり,なる,,　,●
《4270》,《暦日2》,十五／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4280》,《暦日0》,十六／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4290》,《暦日2》,十七／,きのえね,とつ,金,　,天しや よろつよし
《4300》,《暦日0》,十八／,きのとのうし,たつ,,　,十し
《4310》,《暦日2》,十九／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4320》,《暦日0》,廿／,ひのとのう,みつ,,せつふん,天おん わうまう
《4330》,《暦日1》,廿一／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《4340》,《節中》,立春正月せつ朝四時一分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4350》,《暦日1》,廿二／,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
《4360》,《暦日2》,廿三／,かのえむま,さたん,土,　,神よし ふく日
《4370》,《暦日0》,廿四／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《4380》,《暦日2》,廿五／,みつのえさる,やふる,金,　,神よし 大みやう
《4390》,《暦日0》,廿六／,みつのとのとり,あやふ,,　,十し
《4400》,《暦日2》,廿七／,きのえいぬ,なる,火,　,●
《4410》,《暦日0》,廿八／,きのとのい,おさん,,　,母倉 大くわ ちう日
《4420》,《暦日2》,廿九／,ひのえね,ひらく,水,　,きしく 母倉 月とく 天火 らうしやく
《4430》,《暦日0》,卅／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《4440》,《暦末》,安政三年出,立表測景定節氣者
