《1771-0000》,# カンマ区切りテキスト形式です。
《1771-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1771-0020》,# ・表の区画内での改行は“/”で表記します。
《1771-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1771-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1771-0050》,# 外部リンク
《1771-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/125 ～ 129
《1771-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1771g　(GitHub上データを表成型)
《1771-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1771h　(翻刻編集データを表成型 - 未実装)
《1771-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1771-0100》,《版元》,出版地○○,出版元□□□,　
《1771-2640》,《暦日2》,十四／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《1771-2650》,《暦日0》,十五／,みつのとのひつし,ひらく,,　,●
《1771-2660》,《暦日2》,十六／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1771-2670》,《暦日0》,十七／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1771-2680》,《暦日2》,十八／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1771-2690》,《暦日0》,十九／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1771-2700》,《暦日2》,廿／,つちのえね,たいら,火,　,大くわ 地火
《1771-2710》,《暦日0》,廿一／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1771-2720》,《暦日2》,廿二／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《1771-2730》,《暦日0》,廿三／,かのとのう,やふる,,　,ふく日  田かりよし
《1771-2740》,《暦日2》,廿四／,みつのえたつ,あやふ,水,　,さい下しき 大みやう 母倉 五む日
《1771-2750》,《暦日0》,廿五／,みつのとのみ,なる,,天一天上,十し
《1771-2760》,《暦日2》,廿六／,きのえむま,おさん,金,　,めつもん
《1771-2770》,《暦日0》,廿七／,きのとのひつし,ひらく,,　,●
《1771-2780》,《暦日1》,廿八／,ひのえさる,ひらく,火,　,くゑ日
《1771-2790》,《節中》,寒露九月せついの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1771-2800》,《暦日1》,廿九／,ひのとのとり,とつ,火,　,くゑ日
《1771-2810》,《月序》,九月,大,建,戊戌,角宿　室　火よう
《1771-2820》,《暦日2》,一／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1771-2830》,《暦日0》,二／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1771-2840》,《暦日2》,三／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1771-2850》,《暦日0》,四／,かのとのうし,たいら,,　,十し
《1771-2860》,《暦日2》,五／,みつのえとら,さたん,金,　,●
《1771-2870》,《暦日0》,六／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1771-2880》,《暦日2》,七／,きのえたつ,やふる,火,　,大みやう
《1771-2890》,《暦日0》,八／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1771-2900》,《暦日2》,九／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1771-2910》,《暦日0》,十／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1771-2920》,《暦日2》,十一／,つちのえさる,ひらく,土,　,天しや よろつよし
《1771-2930》,《暦日0》,十二／,つちのとのとり,とつ,,とよう今暁うしの七刻ニ入,神よし 大みやう 天おん ふく日  たねまきよし
《1771-2940》,《暦日2》,十三／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1771-2950》,《暦日0》,十四／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1771-2960》,《暦日1》,十五／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1771-2970》,《節中》,霜降九月中今暁とらの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1771-2980》,《暦日1》,十六／,みつのとのうし,たいら,木,ま日,十し
《1771-2990》,《食記》,月そく五分
《1771-3000》,《暦日2》,十七／,きのえとら,さたん,水,　,●
《1771-3010》,《暦日0》,十八／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1771-3020》,《暦日2》,十九／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《1771-3030》,《暦日0》,廿／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《1771-3040》,《暦日2》,廿一／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《1771-3050》,《暦日0》,廿二／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《1771-3060》,《暦日2》,廿三／,かのえさる,ひらく,木,　,大みやう
《1771-3070》,《暦日0》,廿四／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《1771-3080》,《暦日2》,廿五／,みつのえいぬ,たつ,水,ま日,母倉 わうまう  田かりよし
《1771-3090》,《暦日0》,廿六／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1771-3100》,《暦日2》,廿七／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《1771-3110》,《暦日0》,廿八／,きのとのうし,たいら,,　,十し
《1771-3120》,《暦日2》,廿九／,ひのえとら,さたん,火,　,●
《1771-3130》,《暦日0》,卅／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《1771-3140》,《節中》,立冬十月せつたつの八刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1771-3150》,《月序》,十月,小,建,己亥,亢宿　奎　木よう
《1771-3160》,《暦日2》,一／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《1771-3170》,《暦日0》,二／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1771-3180》,《暦日2》,三／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1771-3190》,《暦日0》,四／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1771-3200》,《暦日2》,五／,みつのえさる,おさん,金,　,●
《1771-3210》,《暦日0》,六／,みつのとのとり,ひらく,,　,十し
《1771-3220》,《暦日2》,七／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1771-3230》,《暦日0》,八／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1771-3240》,《暦日2》,九／,ひのえね,のそく,水,　,きしく ふく日 わうまう
《1771-3250》,《暦日0》,十／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1771-3260》,《暦日2》,十一／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1771-3270》,《暦日0》,十二／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1771-3280》,《暦日2》,十三／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《1771-3290》,《暦日0》,十四／,かのとのみ,やふる,,　,天おん ちう日
《1771-3300》,《暦日1》,十五／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1771-3310》,《節中》,小雪十月中ひつしの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1771-3320》,《暦日1》,十六／,みつのとのひつし,なる,木,　,天おん
《1771-3330》,《暦日2》,十七／,きのえさる,おさん,水,十方くれニ入,●
《1771-3340》,《暦日0》,十八／,きのとのとり,ひらく,,　,十し
《1771-3350》,《暦日2》,十九／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1771-3360》,《暦日0》,廿／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1771-3370》,《暦日2》,廿一／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1771-3380》,《暦日0》,廿二／,つちのとのうし,みつ,,　,くゑ日 きこ
《1771-3390》,《暦日2》,廿三／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1771-3400》,《暦日0》,廿四／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1771-3410》,《暦日2》,廿五／,みつのえたつ,とる,水,　,さい下しき 大みやう 五む日 ふく日
《1771-3420》,《暦日0》,廿六／,みつのとのみ,やふる,,天一天上,ちう日
《1771-3430》,《暦日2》,廿七／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《1771-3440》,《暦日0》,廿八／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1771-3450》,《暦日1》,廿九／,ひのえさる,おさん,火,　,●
《1771-3460》,《月序》,十一月,大,建,庚子,氐宿　婁　金よう
《1771-3470》,《暦日1》,一／,ひのとのとり,おさん,火,　,神よし 母倉 月とく 大くわ ふく日
《1771-3480》,《節中》,大雪十一月せついぬの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1771-3490》,《暦日2》,二／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1771-3500》,《暦日0》,三／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1771-3510》,《暦日2》,四／,かのえね,たつ,土,　, 井ほりよし
《1771-3520》,《暦日0》,五／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1771-3530》,《暦日2》,六／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1771-3540》,《暦日0》,七／,みつのとのう,たいら,,　,●
《1771-3550》,《暦日2》,八／,きのえたつ,さたん,火,　,きしく 大みやう
《1771-3560》,《暦日0》,九／,きのとのみ,とる,,　,十し
《1771-3570》,《暦日2》,十／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1771-3580》,《暦日0》,十一／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《1771-3590》,《暦日2》,十二／,つちのえさる,なる,土,　,母倉  入学よし
《1771-3600》,《暦日0》,十三／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《1771-3610》,《暦日2》,十四／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《1771-3620》,《暦日0》,十五／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《1771-3630》,《暦日2》,十六／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1771-3640》,《暦日0》,十七／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1771-3650》,《節中》,冬至十一月中今暁ねの七刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1771-3660》,《暦日2》,十八／,きのえとら,みつ,水,　,きこ  つめとりよし
《1771-3670》,《暦日0》,十九／,きのとのう,たいら,,　,●
《1771-3680》,《暦日2》,廿／,ひのえたつ,さたん,土,ま日,大みやう わうまう  けんふく かといてよし
《1771-3690》,《暦日0》,廿一／,ひのとのみ,とる,,　,十し
《1771-3700》,《暦日2》,廿二／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1771-3710》,《暦日0》,廿三／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1771-3720》,《暦日2》,廿四／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《1771-3730》,《暦日0》,廿五／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《1771-3740》,《暦日2》,廿六／,みつのえいぬ,ひらく,水,ま日,月とく
《1771-3750》,《暦日0》,廿七／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1771-3760》,《暦日2》,廿八／,きのえね,たつ,金,　,天しや よろつよし
《1771-3770》,《暦日0》,廿九／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《1771-3780》,《暦日1》,卅／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《1771-3790》,《月序》,十二月,大,建,辛丑,房宿　昴　日よう
《1771-3800》,《暦日1》,一／,ひのとのう,たいら,火,　,●
《1771-3810》,《暦日1》,二／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《1771-3820》,《節中》,小寒十二月せつうの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1771-3830》,《暦日1》,三／,つちのとのみ,さたん,木,　,母倉 ちう日 ふく日
《1771-3840》,《暦日2》,四／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1771-3850》,《暦日0》,五／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1771-3860》,《暦日2》,六／,みつのえさる,あやふ,金,　,神よし きしく 大みやう
《1771-3870》,《暦日0》,七／,みつのとのとり,なる,,　,●
《1771-3880》,《暦日2》,八／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1771-3890》,《暦日0》,九／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《1771-3900》,《暦日2》,十／,ひのえね,とつ,水,　,きこ ちいみ
《1771-3910》,《暦日0》,十一／,ひのとのうし,たつ,,　,十し
《1771-3920》,《暦日2》,十二／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1771-3930》,《暦日0》,十三／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《1771-3940》,《暦日2》,十四／,かのえたつ,たいら,金,とようみの五刻ニ入,天おん 月とく 大くわ 地火  よめとりよし
《1771-3950》,《暦日0》,十五／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《1771-3960》,《暦日2》,十六／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《1771-3970》,《暦日0》,十七／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《1771-3980》,《節中》,大寒十二月中むまの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1771-3990》,《暦日2》,十八／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1771-4000》,《暦日0》,十九／,きのとのとり,なる,,　,●
《1771-4010》,《暦日2》,廿／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1771-4020》,《暦日0》,廿一／,ひのとのい,ひらく,,　,大みやう ちう日
《1771-4030》,《暦日2》,廿二／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《1771-4040》,《暦日0》,廿三／,つちのとのうし,たつ,,　,十し
《1771-4050》,《暦日2》,廿四／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《1771-4060》,《暦日0》,廿五／,かのとのう,みつ,,　,神よし  よめとりよし
《1771-4070》,《暦日2》,廿六／,みつのえたつ,たいら,水,　,さい下しき 大みやう 五む日 大くわ 地火
《1771-4080》,《暦日0》,廿七／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《1771-4090》,《暦日2》,廿八／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《1771-4100》,《暦日0》,廿九／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《1771-4110》,《暦日1》,卅／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《1771-4120》,《暦末》,明和七年出,立表測景定節氣者
