《1771-0000》,# カンマ区切りテキスト形式です。
《1771-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1771-0020》,# ・表の区画内での改行は“/”で表記します。
《1771-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1771-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1771-0050》,# 外部リンク
《1771-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/125 ～ 129
《1771-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1771g　(GitHub上データを表成型)
《1771-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1771h　(翻刻編集データを表成型 - 未実装)
《1771-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1771-0100》,《版元》,出版地○○,出版元□□□,　
《1771-0650》,《暦日0》,十／,かのとのみ,みつ,,　,十し
《1771-0660》,《暦日2》,十一／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1771-0670》,《暦日0》,十二／,みつのとのひつし,さたん,,　,天おん ちいみ
《1771-0680》,《暦日2》,十三／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1771-0690》,《暦日0》,十四／,きのとのとり,やふる,,　,ふく日
《1771-0700》,《暦日2》,十五／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1771-0710》,《暦日0》,十六／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1771-0720》,《暦日2》,十七／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《1771-0730》,《暦日0》,十八／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1771-0740》,《暦日2》,十九／,かのえとら,とつ,木,　,きこ  つめとりよし
《1771-0750》,《暦日0》,廿／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1771-0760》,《暦日2》,廿一／,みつのえたつ,のそく,水,　,●
《1771-0770》,《暦日0》,廿二／,みつのとのみ,みつ,,天一天上,十し
《1771-0780》,《暦日1》,廿三／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1771-0790》,《節中》,清明三月せつたつの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1771-0800》,《暦日1》,廿四／,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
《1771-0810》,《暦日2》,廿五／,ひのえさる,さたん,火,　,くゑ日
《1771-0820》,《暦日0》,廿六／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1771-0830》,《暦日2》,廿七／,つちのえいぬ,やふる,木,　,ふく日
《1771-0840》,《暦日0》,廿八／,つちのとのい,あやふ,,　,●
《1771-0850》,《暦日2》,廿九／,かのえね,なる,土,　,神よし きこ
《1771-0860》,《暦日0》,卅／,かのとのうし,おさん,,　,十し
《1771-0870》,《月序》,三月,小,建,壬辰,鬼宿　心　月よう
《1771-0880》,《暦日2》,一／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1771-0890》,《暦日0》,二／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1771-0900》,《暦日2》,三／,きのえたつ,たつ,火,　,大みやう くゑ日
《1771-0910》,《暦日0》,四／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1771-0920》,《暦日2》,五／,ひのえむま,みつ,水,とようむまの三刻ニ入,神よし 大みやう 母倉 天火 らうしやく
《1771-0930》,《暦日0》,六／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1771-0940》,《暦日2》,七／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1771-0950》,《暦日0》,八／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1771-0960》,《節中》,穀雨三月中むまの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1771-0970》,《暦日2》,九／,かのえいぬ,やふる,金,　,大みやう 天おん
《1771-0980》,《暦日0》,十／,かのとのい,あやふ,,　,●
《1771-0990》,《暦日2》,十一／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1771-1000》,《暦日0》,十二／,みつのとのうし,おさん,,ま日,十し
《1771-1010》,《暦日2》,十三／,きのえとら,ひらく,水,　,ちいみ わうまう  やたて  つめとりよし
《1771-1020》,《暦日0》,十四／,きのとのう,とつ,,　,神よし  ものたちよし
《1771-1030》,《暦日2》,十五／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1771-1040》,《暦日0》,十六／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1771-1050》,《暦日2》,十七／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1771-1060》,《暦日0》,十八／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1771-1070》,《暦日2》,十九／,かのえさる,さたん,木,八十八や,きしく 大みやう くゑ日
《1771-1080》,《暦日0》,廿／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1771-1090》,《暦日2》,廿一／,みつのえいぬ,やふる,水,ま日,月とく
《1771-1100》,《暦日0》,廿二／,みつのとのい,あやふ,,八せんのおはり,●
《1771-1110》,《暦日1》,廿三／,きのえね,あやふ,金,　,天おん
《1771-1120》,《節中》,立夏四月せつとりの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1771-1130》,《暦日1》,廿四／,きのとのうし,なる,金,　,天おん 月とく きこ  かまぬり  つめとりよし
《1771-1140》,《暦日2》,廿五／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1771-1150》,《暦日0》,廿六／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1771-1160》,《暦日2》,廿七／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1771-1170》,《暦日0》,廿八／,つちのとのみ,たつ,,　,●
