«1823-0000»,【 カンマ区切りテキスト形式です。】
«1823-0650»,«暦日0»,十一〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1823-0660»,«節中»,春分二月中とりの一刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1823-0670»,«暦日2»,十二〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1823-0680»,«暦日0»,十三〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1823-0690»,«暦日2»,十四〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1823-0700»,«暦日0»,十五〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1823-0710»,«暦日2»,十六〳,ひのえたつ,のそく,土,ま日,●
«1823-0720»,«暦日0»,十七〳,ひのとのみ,みつ,,　,十し
«1823-0730»,«暦日2»,十八〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1823-0740»,«暦日0»,十九〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1823-0750»,«暦日2»,廿〳,かのえさる,とる,木,　,さい下しき 神よし 大みやう
«1823-0760»,«暦日0»,廿一〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1823-0770»,«暦日2»,廿二〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1823-0780»,«暦日0»,廿三〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1823-0790»,«暦日2»,廿四〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1823-0800»,«暦日0»,廿五〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1823-0810»,«暦日1»,廿六〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1823-0820»,«節中»,清明三月せついの六刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1823-0830»,«暦日1»,廿七〳,ひのとのう,とつ,火,　,くゑ日  たねまきよし
«1823-0840»,«暦日2»,廿八〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1823-0850»,«暦日0»,廿九〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1823-0860»,«月序»,三月,大,建,丙辰,氐宿　牛　金よう
«1823-0870»,«暦日2»,一〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1823-0880»,«暦日0»,二〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1823-0890»,«暦日2»,三〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1823-0900»,«暦日0»,四〳,みつのとのとり,とる,,　,神よし 大みやう
«1823-0910»,«暦日2»,五〳,きのえいぬ,やふる,火,　, くさかりよし
«1823-0920»,«暦日0»,六〳,きのとのい,あやふ,,　,●
«1823-0930»,«暦日2»,七〳,ひのえね,なる,水,　,きこ
«1823-0940»,«暦日0»,八〳,ひのとのうし,おさん,,　,十し
«1823-0950»,«暦日2»,九〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1823-0960»,«暦日0»,十〳,つちのとのう,とつ,,とよう今暁うしの七刻ニ入,神よし 大みやう 天おん ふく日
«1823-0970»,«暦日2»,十一〳,かのえたつ,たつ,金,　,くゑ日
«1823-0980»,«暦日0»,十二〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1823-0990»,«暦日1»,十三〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1823-1000»,«節中»,穀雨三月中今暁とらの三刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1823-1010»,«暦日1»,十四〳,みつのとのひつし,たいら,木,　,天おん めつもん 地火
«1823-1020»,«暦日2»,十五〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1823-1030»,«暦日0»,十六〳,きのとのとり,とる,,　,神よし  くさかりよし
«1823-1040»,«暦日2»,十七〳,ひのえいぬ,やふる,土,　,五む日 わうまう
«1823-1050»,«暦日0»,十八〳,ひのとのい,あやふ,,　,●
«1823-1060»,«暦日2»,十九〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1823-1070»,«暦日0»,廿〳,つちのとのうし,おさん,,　,十し
«1823-1080»,«暦日2»,廿一〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1823-1090»,«暦日0»,廿二〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1823-1100»,«暦日2»,廿三〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1823-1110»,«暦日0»,廿四〳,みつのとのみ,のそく,,八十八や|天一天上,母倉 ちう日  けんふくよし
«1823-1120»,«暦日2»,廿五〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1823-1130»,«暦日0»,廿六〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1823-1140»,«暦日2»,廿七〳,ひのえさる,さたん,火,　,くゑ日
«1823-1150»,«暦日0»,廿八〳,ひのとのとり,さたん,,　,十し
«1823-1160»,«節中»,立夏四月せつたつの八刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1823-1170»,«暦日2»,廿九〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1823-1180»,«暦日0»,卅〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1823-1190»,«月序»,四月,小,建,丁巳,房宿　虛　日よう
«1823-1200»,«暦日2»,一〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1823-1210»,«暦日0»,二〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1823-1220»,«暦日2»,三〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1823-1230»,«暦日0»,四〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1823-1240»,«暦日2»,五〳,きのえたつ,とつ,火,　,大みやう わうまう
«1823-1250»,«暦日0»,六〳,きのとのみ,たつ,,　,●
«1823-1260»,«暦日2»,七〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1823-1270»,«暦日0»,八〳,ひのとのひつし,みつ,,　,くゑ日
«1823-1280»,«暦日2»,九〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1823-1290»,«暦日0»,十〳,つちのとのとり,さたん,,　,十し
«1823-1300»,«暦日2»,十一〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1823-1310»,«暦日0»,十二〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1823-1320»,«暦日1»,十三〳,みつのえね,あやふ,木,八せんのはしめ,神よし きしく 天おん ふく日  くらたてよし
«1823-1330»,«節中»,小満四月中ひつしの五刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1823-1340»,«暦日1»,十四〳,みつのとのうし,なる,木,ま日,天おん きこ  つめとりよし
«1823-1350»,«暦日2»,十五〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1823-1360»,«暦日0»,十六〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1823-1370»,«暦日2»,十七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1823-1380»,«暦日0»,十八〳,ひのとのみ,たつ,,　,●
«1823-1390»,«暦日2»,十九〳,つちのえむま,のそく,火,ま日,くゑ日
«1823-1400»,«暦日0»,廿〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1823-1410»,«暦日2»,廿一〳,かのえさる,たいら,木,　,さい下しき 神よし 大みやう 月とく ちいみ 大くわ 地火
«1823-1420»,«暦日0»,廿二〳,かのとのとり,さたん,,　,十し
«1823-1430»,«暦日2»,廿三〳,みつのえいぬ,とる,水,ま日,ふく日
«1823-1440»,«暦日0»,廿四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1823-1450»,«暦日2»,廿五〳,きのえね,あやふ,金,　,天おん
«1823-1460»,«暦日0»,廿六〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1823-1470»,«暦日2»,廿七〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1823-1480»,«暦日0»,廿八〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1823-1490»,«節中»,芒種五月せついぬの二刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1823-1500»,«暦日1»,廿九〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1823-1510»,«月序»,五月,小,建,戊午,心宿　危　月よう
«1823-1520»,«暦日1»,一〳,つちのとのみ,とつ,木,　,十し
«1823-1530»,«暦日2»,二〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1823-1540»,«暦日0»,三〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1823-1550»,«暦日2»,四〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1823-1560»,«暦日0»,五〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1823-1570»,«暦日2»,六〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1823-1580»,«暦日0»,七〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1823-1590»,«暦日2»,八〳,ひのえね,やふる,水,　,●
«1823-1600»,«暦日0»,九〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1823-1610»,«暦日2»,十〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1823-1620»,«暦日0»,十一〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1823-1630»,«暦日2»,十二〳,かのえたつ,ひらく,金,　,きしく 天おん  けんふく かといてよし
«1823-1640»,«暦日0»,十三〳,かのとのみ,とつ,,　,十し
«1823-1650»,«暦日2»,十四〳,みつのえむま,たつ,木,　,大みやう 天おん わうまう 下しきうの時
«1823-1660»,«暦日0»,十五〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1823-1670»,«節中»,夏至五月中今暁ねの七刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1823-1680»,«暦日2»,十六〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1823-1690»,«暦日0»,十七〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1823-1700»,«暦日2»,十八〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1823-1710»,«暦日0»,十九〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1823-1720»,«暦日2»,廿〳,つちのえね,やふる,火,　,●
«1823-1730»,«暦日0»,廿一〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1823-1740»,«暦日2»,廿二〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1823-1750»,«暦日0»,廿三〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1823-1760»,«暦日2»,廿四〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1823-1770»,«暦日0»,廿五〳,みつのとのみ,とつ,,はんけしやう|天一天上,十し
«1823-1780»,«暦日2»,廿六〳,きのえむま,たつ,金,　,天しや よろつよし
«1823-1790»,«暦日0»,廿七〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1823-1800»,«暦日2»,廿八〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1823-1810»,«暦日0»,廿九〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1823-1820»,«月序»,六月,小,建,己未,尾宿　室　火よう
«1823-1830»,«暦日1»,一〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1823-1840»,«節中»,小暑六月せつうの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1823-1850»,«食記»,日そく一分にミたす,　
«1823-1860»,«暦日1»,二〳,つちのとのい,さたん,木,　,月とく ちう日 ふく日  ふねのりよし
«1823-1870»,«暦日2»,三〳,かのえね,とる,土,　,きこ 下しきたつの時
«1823-1880»,«暦日0»,四〳,かのとのうし,やふる,,　,十し
«1823-1890»,«暦日2»,五〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1823-1900»,«暦日0»,六〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1823-1910»,«暦日2»,七〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1823-1920»,«暦日0»,八〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1823-1930»,«暦日2»,九〳,ひのえむま,とつ,水,　,●
«1823-1940»,«暦日0»,十〳,ひのとのひつし,たつ,,　,くゑ日
«1823-1950»,«暦日2»,十一〳,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
«1823-1960»,«暦日0»,十二〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1823-1970»,«暦日2»,十三〳,かのえいぬ,たいら,金,初伏|とようみの五刻ニ入,大みやう 天おん 大くわ 地火
«1823-1980»,«暦日0»,十四〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1823-1990»,«暦日2»,十五〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1823-2000»,«暦日0»,十六〳,みつのとのうし,やふる,,ま日,十し
«1823-2010»,«節中»,大暑六月中むまの一刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1823-2020»,«暦日2»,十七〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1823-2030»,«暦日0»,十八〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1823-2040»,«暦日2»,十九〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1823-2050»,«暦日0»,廿〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1823-2060»,«暦日2»,廿一〳,つちのえむま,とつ,火,ま日,●
«1823-2070»,«暦日0»,廿二〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1823-2080»,«暦日2»,廿三〳,かのえさる,のそく,木,中伏,さい下しき 神よし 大みやう  くさかりよし
«1823-2090»,«暦日0»,廿四〳,かのとのとり,みつ,,　,大みやう ちいみ わうまう  ものたち 井ほりよし
«1823-2100»,«暦日2»,廿五〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1823-2110»,«暦日0»,廿六〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1823-2120»,«暦日2»,廿七〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1823-2130»,«暦日0»,廿八〳,きのとのうし,やふる,,　,十し
«1823-2140»,«暦日1»,廿九〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1823-2150»,«月序»,七月,大,建,庚申,箕宿　壁　水よう
«1823-2160»,«暦日1»,一〳,ひのとのう,なる,火,　,神よし 天おん 天火 らうしやく
«1823-2170»,«暦日1»,二〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1823-2180»,«節中»,立秋七月せつさるの六刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1823-2190»,«暦日1»,三〳,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
«1823-2200»,«暦日2»,四〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1823-2210»,«暦日0»,五〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1823-2220»,«暦日2»,六〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1823-2230»,«暦日0»,七〳,みつのとのとり,のそく,,　,十し
«1823-2240»,«暦日2»,八〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1823-2250»,«暦日0»,九〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1823-2260»,«暦日2»,十〳,ひのえね,さたん,水,　,きしく わうまう  田かりよし
«1823-2270»,«暦日0»,十一〳,ひのとのうし,とる,,　,●
«1823-2280»,«暦日2»,十二〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1823-2290»,«暦日0»,十三〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1823-2300»,«暦日2»,十四〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1823-2310»,«暦日0»,十五〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1823-2320»,«暦日2»,十六〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1823-2330»,«暦日0»,十七〳,みつのとのひつし,とつ,,　,天おん 母倉
