«1756-0000»,【 カンマ区切りテキスト形式です。】
«1756-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1756-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1756-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1756-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1756-0050»,【 外部リンク　】
«1756-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/53 ～ 58】
«1756-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1756h　(翻刻編集終了データを表成型して表示します)】
«1756-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1756ht (翻刻編集中データを表成型して表示します)】
«1756-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1756-0100»,«版元»,出版地○○,出版元□□□,　
«1756-0440»,«暦日0»,廿一〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1756-0450»,«節中»,雨水正月中いの二刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1756-0460»,«暦日2»,廿二〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1756-0470»,«暦日0»,廿三〳,かのとのう,のそく,,　,くゑ日
«1756-0480»,«暦日2»,廿四〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1756-0490»,«暦日0»,廿五〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1756-0500»,«暦日2»,廿六〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1756-0510»,«暦日0»,廿七〳,きのとのひつし,とる,,　,大みやう 五む日
«1756-0520»,«暦日2»,廿八〳,ひのえさる,やふる,火,　,神よし きしく 月とく
«1756-0530»,«暦日0»,廿九〳,ひのとのとり,あやふ,,　,十し
«1756-0540»,«暦日1»,卅〳,つちのえいぬ,なる,木,　,●
«1756-0550»,«月序»,二月,大,建,辛卯,女宿　張　月よう
«1756-0560»,«暦日1»,一〳,つちのとのい,おさん,木,　,神よし 母倉 大くわ ちう日
«1756-0570»,«暦日2»,二〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1756-0580»,«暦日0»,三〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1756-0590»,«暦日2»,四〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1756-0600»,«暦日0»,五〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1756-0610»,«暦日2»,六〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1756-0620»,«暦日0»,七〳,きのとのみ,みつ,,　,十し
«1756-0630»,«節中»,啓蟄二月せつ今暁うしの七刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1756-0640»,«暦日2»,八〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1756-0650»,«暦日0»,九〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1756-0660»,«暦日2»,十〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1756-0670»,«暦日0»,十一〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1756-0680»,«暦日2»,十二〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
