«1798-0000»,【 カンマ区切りテキスト形式です。】
«1798-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1798-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1798-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1798-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1798-0050»,【 外部リンク　】
«1798-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/252 ～ 256】
«1798-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1798h　(翻刻編集終了データを表成型して表示します)】
«1798-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1798ht (翻刻編集中データを表成型して表示します)】
«1798-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1798-0100»,«版元»,出版地○○,出版元□□□,　
«1798-0640»,«暦日0»,九〳,みつのとのう,たつ,,　,天火 らうしやく
«1798-0650»,«暦日2»,十〳,きのえたつ,のそく,火,　,●
«1798-0660»,«暦日0»,十一〳,きのとのみ,みつ,,　,十し
«1798-0670»,«暦日2»,十二〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1798-0680»,«暦日0»,十三〳,ひのとのひつし,さたん,,　,さい下しき 神よし ちいみ
«1798-0690»,«暦日2»,十四〳,つちのえさる,とる,土,　,神よし きしく  たねまきよし
«1798-0700»,«暦日0»,十五〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1798-0710»,«暦日2»,十六〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1798-0720»,«暦日0»,十七〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1798-0730»,«暦日2»,十八〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1798-0740»,«暦日0»,十九〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1798-0750»,«暦日2»,廿〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1798-0760»,«暦日0»,廿一〳,きのとのう,とつ,,　,神よし  ものたちよし
«1798-0770»,«節中»,清明三月せついの初刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1798-0780»,«暦日2»,廿二〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1798-0790»,«暦日0»,廿三〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1798-0800»,«暦日2»,廿四〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1798-0810»,«暦日0»,廿五〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1798-0820»,«暦日2»,廿六〳,かのえさる,さたん,木,　,大みやう くゑ日
