«1725-0000»,【 カンマ区切りテキスト形式です。】
«1725-0410»,«暦日0»,廿〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1725-0420»,«暦日2»,廿一〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1725-0430»,«暦日0»,廿二〳,かのとのとり,あやふ,,　,十し
«1725-0440»,«暦日2»,廿三〳,みつのえいぬ,あやふ,水,二月せつさるの六刻ニ入|ま日, あさまきよし
«1725-0450»,«暦日0»,廿四〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1725-0460»,«暦日2»,廿五〳,きのえね,おさん,金,　,きしく めつもん
«1725-0470»,«暦日0»,廿六〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1725-0480»,«暦日2»,廿七〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1725-0490»,«暦日0»,廿八〳,ひのとのう,たつ,,　,天火 らうしやく
«1725-0500»,«暦日2»,廿九〳,つちのえたつ,のそく,木,　,●
«1725-0510»,«暦日0»,卅〳,つちのとのみ,みつ,,　,十し
«1725-0520»,«月序»,二月,小,建,己卯,亢宿　角　木よう
«1725-0530»,«暦日2»,一〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1725-0540»,«暦日0»,二〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1725-0550»,«暦日2»,三〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1725-0560»,«暦日0»,四〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1725-0570»,«暦日2»,五〳,きのえいぬ,あやふ,火,　, かといてよし
«1725-0580»,«暦日0»,六〳,きのとのい,なる,,　,ちう日 ふく日 わうまう  みそすつくりよし
«1725-0590»,«暦日2»,七〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1725-0600»,«暦日0»,八〳,ひのとのうし,ひらく,,春分二月中いの三刻,大みやう  ものたち  つめとりよし
«1725-0610»,«暦日2»,九〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1725-0620»,«暦日0»,十〳,つちのとのう,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく
«1725-0630»,«暦日2»,十一〳,かのえたつ,のそく,金,　,●
«1725-0640»,«暦日0»,十二〳,かのとのみ,みつ,,　,十し
«1725-0650»,«暦日2»,十三〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1725-0660»,«暦日0»,十四〳,みつのとのひつし,さたん,,　,ちいみ
«1725-0670»,«暦日2»,十五〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1725-0680»,«暦日0»,十六〳,きのとのとり,やふる,,　,ふく日
«1725-0690»,«暦日2»,十七〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1725-0700»,«暦日0»,十八〳,ひのとのい,なる,,　,大みやう ちう日
«1725-0710»,«暦日2»,十九〳,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
«1725-0720»,«暦日0»,廿〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1725-0730»,«暦日2»,廿一〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1725-0740»,«暦日0»,廿二〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1725-0750»,«暦日2»,廿三〳,みつのえたつ,のそく,水,　,●
«1725-0760»,«暦日0»,廿四〳,みつのとのみ,のそく,,三月せつとらの初刻ニ入|天一天上,ちう日  けんふくよし
«1725-0770»,«暦日2»,廿五〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1725-0780»,«暦日0»,廿六〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1725-0790»,«暦日2»,廿七〳,ひのえさる,さたん,火,　,くゑ日
«1725-0800»,«暦日0»,廿八〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1725-0810»,«暦日1»,廿九〳,つちのえいぬ,やふる,木,　,ふく日
«1725-0820»,«月序»,三月,小,建,庚辰,氐宿　亢　金よう
«1725-0830»,«暦日1»,一〳,つちのとのい,あやふ,木,　,●
«1725-0840»,«暦日2»,二〳,かのえね,なる,土,　,神よし きこ
«1725-0850»,«暦日0»,三〳,かのとのうし,おさん,,　,十し
«1725-0860»,«暦日2»,四〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1725-0870»,«暦日0»,五〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1725-0880»,«暦日2»,六〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1725-0890»,«暦日0»,七〳,きのとのみ,のそく,,とようたつの初刻ニ入,神よし 大みやう ちう日  ふねのりよし
«1725-0900»,«暦日2»,八〳,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 天火 らうしやく
«1725-0910»,«暦日0»,九〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1725-0920»,«暦日2»,十〳,つちのえさる,さたん,土,三月中たつの五刻,くゑ日 ふく日
«1725-0930»,«暦日0»,十一〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1725-0940»,«暦日2»,十二〳,かのえいぬ,やふる,金,　,大みやう
«1725-0950»,«暦日0»,十三〳,かのとのい,あやふ,,　,●
«1725-0960»,«暦日2»,十四〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1725-0970»,«暦日0»,十五〳,みつのとのうし,おさん,,ま日,十し
«1725-0980»,«食記»,月帯そく
«1725-0990»,«暦日2»,十六〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1725-1000»,«暦日0»,十七〳,きのとのう,とつ,,　,神よし  ものたちよし
«1725-1010»,«暦日2»,十八〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1725-1020»,«暦日0»,十九〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1725-1030»,«暦日2»,廿〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1725-1040»,«暦日0»,廿一〳,つちのとのひつし,たいら,,八十八や,神よし 大みやう ふく日 めつもん 地火
«1725-1050»,«暦日2»,廿二〳,かのえさる,さたん,木,　,きしく 大みやう くゑ日
«1725-1060»,«暦日0»,廿三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1725-1070»,«暦日2»,廿四〳,みつのえいぬ,やふる,水,ま日
