《1720-0000》,# カンマ区切りテキスト形式です。
《1720-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1720-0680》,《暦日0》,十六／,みつのとのうし,ひらく,,ま日/ひかんニなる, つめとりよし
《1720-0690》,《暦日2》,十七／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1720-0700》,《暦日0》,十八／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1720-0710》,《暦日2》,十九／,ひのえたつ,のそく,土,ま日,●
《1720-0720》,《暦日0》,廿／,ひのとのみ,みつ,,　,十し
《1720-0730》,《暦日2》,廿一／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1720-0740》,《暦日0》,廿二／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1720-0750》,《暦日2》,廿三／,かのえさる,とる,木,　,神よし 大みやう
《1720-0760》,《暦日0》,廿四／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1720-0770》,《暦日2》,廿五／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1720-0780》,《暦日0》,廿六／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1720-0790》,《暦日2》,廿七／,きのえね,おさん,金,　,めつもん
《1720-0800》,《暦日0》,廿八／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1720-0810》,《暦日2》,廿九／,ひのえとら,ひらく,火,三月せついの四刻ニ入,くゑ日 ちいみ
《1720-0820》,《暦日0》,卅／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1720-0830》,《月序》,三月,小,建,庚辰,翼宿　畢　月よう
《1720-0840》,《暦日2》,一／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1720-0850》,《暦日0》,二／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1720-0860》,《暦日2》,三／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1720-0870》,《暦日0》,四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1720-0880》,《暦日2》,五／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《1720-0890》,《暦日0》,六／,みつのとのとり,とる,,　,神よし 大みやう
《1720-0900》,《暦日2》,七／,きのえいぬ,やふる,火,　, くさかりよし
《1720-0910》,《暦日0》,八／,きのとのい,あやふ,,　,●
《1720-0920》,《暦日2》,九／,ひのえね,なる,水,　,きこ
《1720-0930》,《暦日0》,十／,ひのとのうし,おさん,,　,十し
《1720-0940》,《暦日2》,十一／,つちのえとら,ひらく,土,　,天しや よろつよし
《1720-0950》,《暦日0》,十二／,つちのとのう,とつ,,とよううしの五刻ニ入,神よし 大みやう ふく日
《1720-0960》,《暦日2》,十三／,かのえたつ,たつ,金,　,くゑ日
《1720-0970》,《暦日0》,十四／,かのとのみ,のそく,,　,ちう日
《1720-0980》,《暦日2》,十五／,みつのえむま,みつ,木,三月中とらの一刻,神よし 大みやう 天火 らうしやく
《1720-0990》,《暦日0》,十六／,みつのとのひつし,たいら,,　,めつもん 地火
《1720-1000》,《暦日2》,十七／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1720-1010》,《暦日0》,十八／,きのとのとり,とる,,　,神よし  くさかりよし
《1720-1020》,《暦日2》,十九／,ひのえいぬ,やふる,土,　,五む日 わうまう
《1720-1030》,《暦日0》,廿／,ひのとのい,あやふ,,　,●
《1720-1040》,《暦日2》,廿一／,つちのえね,なる,火,　,きこ ふく日
《1720-1050》,《暦日0》,廿二／,つちのとのうし,おさん,,　,十し
《1720-1060》,《暦日2》,廿三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1720-1070》,《暦日0》,廿四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1720-1080》,《暦日2》,廿五／,みつのえたつ,たつ,水,　,大みやう 五む日
《1720-1090》,《暦日0》,廿六／,みつのとのみ,のそく,,八十八や/天一天上,ちう日  けんふくよし
《1720-1100》,《暦日2》,廿七／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1720-1110》,《暦日0》,廿八／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1720-1120》,《暦日1》,廿九／,ひのえさる,さたん,火,　,くゑ日
《1720-1130》,《月序》,四月,大,建,辛巳,軫宿　觜　火よう
《1720-1140》,《暦日1》,一／,ひのとのとり,さたん,火,立夏四月せつたつの六刻ニ入,十し
《1720-1150》,《暦日2》,二／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1720-1160》,《暦日0》,三／,つちのとのい,やふる,,　,くゑ日 ちう日
《1720-1170》,《暦日2》,四／,かのえね,あやふ,土,　,神よし きしく  わたまし たねまきよし
《1720-1180》,《暦日0》,五／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1720-1190》,《暦日2》,六／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1720-1200》,《暦日0》,七／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1720-1210》,《暦日2》,八／,きのえたつ,とつ,火,　,大みやう わうまう
《1720-1220》,《暦日0》,九／,きのとのみ,たつ,,　,●
《1720-1230》,《暦日2》,十／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1720-1240》,《暦日0》,十一／,ひのとのひつし,みつ,,　,くゑ日
《1720-1250》,《暦日2》,十二／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1720-1260》,《暦日0》,十三／,つちのとのとり,さたん,,　,十し
《1720-1270》,《暦日2》,十四／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1720-1280》,《暦日0》,十五／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1720-1290》,《暦日2》,十六／,みつのえね,あやふ,木,四月中ひつしの三刻/八せんのはしめ,神よし ふく日  くらたてよし
《1720-1300》,《暦日0》,十七／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1720-1310》,《暦日2》,十八／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1720-1320》,《暦日0》,十九／,きのとのう,ひらく,,　,神よし  さひらきよし
《1720-1330》,《暦日2》,廿／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1720-1340》,《暦日0》,廿一／,ひのとのみ,たつ,,　,●
《1720-1350》,《暦日2》,廿二／,つちのえむま,のそく,火,ま日,くゑ日
《1720-1360》,《暦日0》,廿三／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1720-1370》,《暦日2》,廿四／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1720-1380》,《暦日0》,廿五／,かのとのとり,さたん,,　,十し
《1720-1390》,《暦日2》,廿六／,みつのえいぬ,とる,水,ま日,ふく日
《1720-1400》,《暦日0》,廿七／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1720-1410》,《暦日2》,廿八／,きのえね,あやふ,金,　
《1720-1420》,《暦日0》,廿九／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1720-1430》,《暦日1》,卅／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1720-1440》,《月序》,五月,大,建,壬午,角宿　井　木よう
《1720-1450》,《暦日1》,一／,ひのとのう,おさん,火,五月せついぬの初刻ニ入,ちいみ 大くわ ふく日
《1720-1460》,《暦日2》,二／,つちのえたつ,ひらく,木,　,きしく 五む日  かまぬり 田うへよし
《1720-1470》,《暦日0》,三／,つちのとのみ,とつ,,　,十し
《1720-1480》,《暦日2》,四／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1720-1490》,《暦日0》,五／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1720-1500》,《暦日2》,六／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1720-1510》,《暦日0》,七／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1720-1520》,《暦日2》,八／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1720-1530》,《暦日0》,九／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1720-1540》,《暦日2》,十／,ひのえね,やふる,水,　,●
《1720-1550》,《暦日0》,十一／,ひのとのうし,あやふ,,　,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
《1720-1560》,《暦日2》,十二／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1720-1570》,《暦日0》,十三／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1720-1580》,《暦日2》,十四／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1720-1590》,《暦日0》,十五／,かのとのみ,とつ,,　,十し
《1720-1600》,《暦日2》,十六／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1720-1610》,《暦日0》,十七／,みつのとのひつし,のそく,,夏至五月中ねの五刻,ふく日  田うへよし
《1720-1620》,《暦日2》,十八／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1720-1630》,《暦日0》,十九／,きのとのとり,たいら,,　,神よし めつもん 地火
《1720-1640》,《暦日2》,廿／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1720-1650》,《暦日0》,廿一／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1720-1660》,《暦日2》,廿二／,つちのえね,やふる,火,　,●
《1720-1670》,《暦日0》,廿三／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1720-1680》,《暦日2》,廿四／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1720-1690》,《暦日0》,廿五／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1720-1700》,《暦日2》,廿六／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1720-1710》,《暦日0》,廿七／,みつのとのみ,とつ,,はんけしやう/天一天上,十し
《1720-1720》,《暦日2》,廿八／,きのえむま,たつ,金,　,天しや よろつよし
《1720-1730》,《暦日0》,廿九／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1720-1740》,《暦日1》,卅／,ひのえさる,みつ,火,　,神よし きしく  入学 いちたちよし
《1720-1750》,《月序》,六月,小,建,癸未,亢宿　柳　土よう
《1720-1760》,《暦日1》,一／,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
《1720-1770》,《暦日2》,二／,つちのえいぬ,たいら,木,六月せつうの二刻ニ入,大くわ ふく日 地火
《1720-1780》,《暦日0》,三／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1720-1790》,《暦日2》,四／,かのえね,とる,土,　,きこ 下しきたつの時
《1720-1800》,《暦日0》,五／,かのとのうし,やふる,,　,十し
《1720-1810》,《暦日2》,六／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1720-1820》,《暦日0》,七／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1720-1830》,《暦日2》,八／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1720-1840》,《暦日0》,九／,きのとのみ,ひらく,,　,大みやう ちう日
《1720-1850》,《暦日2》,十／,ひのえむま,とつ,水,　,●
《1720-1860》,《暦日0》,十一／,ひのとのひつし,たつ,,　,くゑ日
《1720-1870》,《暦日2》,十二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1720-1880》,《暦日0》,十三／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1720-1890》,《暦日2》,十四／,かのえいぬ,たいら,金,初伏/とようみの二刻ニ入,大みやう 大くわ 地火
《1720-1900》,《暦日0》,十五／,かのとのい,さたん,,　,大みやう ちう日
《1720-1910》,《暦日2》,十六／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1720-1920》,《暦日0》,十七／,みつのとのうし,やふる,,六月中みの七刻/ま日,十し
《1720-1930》,《暦日2》,十八／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1720-1940》,《暦日0》,十九／,きのとのう,なる,,　,神よし 天火 らうしやく
《1720-1950》,《暦日2》,廿／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1720-1960》,《暦日0》,廿一／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1720-1970》,《暦日2》,廿二／,つちのえむま,とつ,火,ま日,●
《1720-1980》,《暦日0》,廿三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1720-1990》,《暦日2》,廿四／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1720-2000》,《暦日0》,廿五／,かのとのとり,みつ,,　,大みやう ちいみ わうまう  ものたち 井ほりよし
《1720-2010》,《暦日2》,廿六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1720-2020》,《暦日0》,廿七／,みつのとのい,さたん,,八せんのおはり,ちう日
《1720-2030》,《暦日2》,廿八／,きのえね,とる,金,　,きしく きこ 下しきたつの時
《1720-2040》,《暦日0》,廿九／,きのとのうし,やふる,,　,十し
《1720-2050》,《月序》,七月,大,建,甲申,氐宿　星　日よう
《1720-2060》,《暦日1》,一／,ひのえとら,あやふ,火,　, つめとりよし
《1720-2070》,《食記》,日そく七分
《1720-2080》,《暦日1》,二／,ひのとのう,なる,火,　,神よし 天火 らうしやく
《1720-2090》,《暦日2》,三／,つちのえたつ,なる,木,立秋七月せつさるの四刻ニ入,五む日 ちいみ  いちたちよし
《1720-2100》,《暦日0》,四／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
