«1733-0000»,【 カンマ区切りテキスト形式です。】
«1733-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1733-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1733-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1733-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1733-0050»,【 外部リンク　】
«1733-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/144 ～ 150】
«1733-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1733h　(翻刻編集終了データを表成型して表示します)】
«1733-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1733ht (翻刻編集中データを表成型して表示します)】
«1733-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1733-0100»,«版元»,出版地○○,出版元□□□,　
«1733-0660»,«暦日0»,十一〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1733-0670»,«暦日2»,十二〳,きのえね,おさん,金,　,きしく めつもん
«1733-0680»,«暦日0»,十三〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1733-0690»,«暦日2»,十四〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1733-0700»,«暦日0»,十五〳,ひのとのう,たつ,,　,天火 らうしやく
«1733-0710»,«暦日2»,十六〳,つちのえたつ,のそく,木,　,●
«1733-0720»,«暦日0»,十七〳,つちのとのみ,みつ,,　,十し
«1733-0730»,«暦日2»,十八〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1733-0740»,«暦日0»,十九〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1733-0750»,«暦日2»,廿〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1733-0760»,«暦日0»,廿一〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1733-0770»,«暦日2»,廿二〳,きのえいぬ,あやふ,火,　, かといてよし
«1733-0780»,«暦日0»,廿三〳,きのとのい,あやふ,,　,●
«1733-0790»,«節中»,清明三月せつうしの一刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1733-0800»,«暦日2»,廿四〳,ひのえね,なる,水,　,きこ
«1733-0810»,«暦日0»,廿五〳,ひのとのうし,おさん,,　,十し
«1733-0820»,«暦日2»,廿六〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1733-0830»,«暦日0»,廿七〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1733-0840»,«暦日2»,廿八〳,かのえたつ,たつ,金,　,くゑ日
«1733-0850»,«暦日0»,廿九〳,かのとのみ,のそく,,　,ちう日
«1733-0860»,«月序»,三月,大,建,丙辰,奎宿　室　火よう
«1733-0870»,«暦日2»,一〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1733-0880»,«暦日0»,二〳,みつのとのひつし,たいら,,　,めつもん 地火
«1733-0890»,«暦日2»,三〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1733-0900»,«暦日0»,四〳,きのとのとり,とる,,　,神よし  くさかりよし
«1733-0910»,«暦日2»,五〳,ひのえいぬ,やふる,土,　,五む日
«1733-0920»,«暦日0»,六〳,ひのとのい,あやふ,,とよううの二刻ニ入,●
«1733-0930»,«暦日2»,七〳,つちのえね,なる,火,　,きこ ふく日
«1733-0940»,«暦日0»,八〳,つちのとのうし,おさん,,　,十し
«1733-0950»,«暦日1»,九〳,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
«1733-0960»,«節中»,穀雨三月中うの六刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1733-0970»,«暦日1»,十〳,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
«1733-0980»,«暦日2»,十一〳,みつのえたつ,たつ,水,　,きしく 大みやう 五む日
«1733-0990»,«暦日0»,十二〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1733-1000»,«暦日2»,十三〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1733-1010»,«暦日0»,十四〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火 わうまう  ものたちよし
«1733-1020»,«暦日2»,十五〳,ひのえさる,さたん,火,　,くゑ日
«1733-1030»,«暦日0»,十六〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1733-1040»,«暦日2»,十七〳,つちのえいぬ,やふる,木,　,ふく日
«1733-1050»,«暦日0»,十八〳,つちのとのい,あやふ,,　,●
«1733-1060»,«暦日2»,十九〳,かのえね,なる,土,　,神よし きこ
«1733-1070»,«暦日0»,廿〳,かのとのうし,おさん,,八十八や,十し
«1733-1080»,«暦日2»,廿一〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1733-1090»,«暦日0»,廿二〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1733-1100»,«暦日2»,廿三〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1733-1110»,«暦日0»,廿四〳,きのとのみ,たつ,,　,●
«1733-1120»,«節中»,立夏四月せつむまの三刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1733-1130»,«暦日2»,廿五〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1733-1140»,«暦日0»,廿六〳,ひのとのひつし,みつ,,　,くゑ日
«1733-1150»,«暦日2»,廿七〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1733-1160»,«暦日0»,廿八〳,つちのとのとり,さたん,,　,十し
«1733-1170»,«暦日2»,廿九〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1733-1180»,«暦日0»,卅〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1733-1190»,«月序»,四月,小,建,丁巳,婁宿　奎　木よう
«1733-1200»,«暦日2»,一〳,みつのえね,あやふ,木,八せんのはしめ,ふく日 わうまう  くらたてよし
«1733-1210»,«暦日0»,二〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1733-1220»,«暦日2»,三〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1733-1230»,«暦日0»,四〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1733-1240»,«暦日2»,五〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1733-1250»,«暦日0»,六〳,ひのとのみ,たつ,,　,●
«1733-1260»,«暦日2»,七〳,つちのえむま,のそく,火,ま日,くゑ日
«1733-1270»,«暦日0»,八〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1733-1280»,«暦日1»,九〳,かのえさる,たいら,木,　,神よし きしく 大みやう ちいみ 大くわ 地火
«1733-1290»,«節中»,小満四月中とりの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1733-1300»,«暦日1»,十〳,かのとのとり,さたん,木,　,十し
«1733-1310»,«暦日2»,十一〳,みつのえいぬ,とる,水,ま日,ふく日
«1733-1320»,«暦日0»,十二〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1733-1330»,«暦日2»,十三〳,きのえね,あやふ,金,　
«1733-1340»,«暦日0»,十四〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1733-1350»,«暦日1»,十五〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1733-1360»,«食記»,月そく八分
«1733-1370»,«暦日1»,十六〳,ひのとのう,ひらく,火,　,神よし  わたましよし
«1733-1380»,«暦日2»,十七〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1733-1390»,«暦日0»,十八〳,つちのとのみ,たつ,,　,●
«1733-1400»,«暦日2»,十九〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1733-1410»,«暦日0»,廿〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1733-1420»,«暦日2»,廿一〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1733-1430»,«暦日0»,廿二〳,みつのとのとり,さたん,,　,十し
«1733-1440»,«暦日2»,廿三〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1733-1450»,«暦日0»,廿四〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1733-1460»,«節中»,芒種五月せついの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1733-1470»,«暦日2»,廿五〳,ひのえね,やふる,水,　,●
«1733-1480»,«暦日0»,廿六〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1733-1490»,«暦日2»,廿七〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1733-1500»,«暦日0»,廿八〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1733-1510»,«暦日1»,廿九〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1733-1520»,«月序»,五月,小,建,戊午,胃宿　婁　金よう
«1733-1530»,«暦日1»,一〳,かのとのみ,とつ,金,　,十し
«1733-1540»,«暦日2»,二〳,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
«1733-1550»,«暦日0»,三〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1733-1560»,«暦日2»,四〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1733-1570»,«暦日0»,五〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1733-1580»,«暦日2»,六〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1733-1590»,«暦日0»,七〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1733-1600»,«暦日2»,八〳,つちのえね,やふる,火,　,●
«1733-1610»,«暦日0»,九〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1733-1620»,«暦日2»,十〳,かのえとら,なる,木,　,さい下しき きこ わうまう  井ほり  つめとりよし
«1733-1630»,«暦日0»,十一〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1733-1640»,«節中»,夏至五月中とらの二刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1733-1650»,«暦日2»,十二〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1733-1660»,«暦日0»,十三〳,みつのとのみ,とつ,,天一天上,十し
«1733-1670»,«暦日2»,十四〳,きのえむま,たつ,金,　,天しや よろつよし
«1733-1680»,«暦日0»,十五〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1733-1690»,«暦日2»,十六〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1733-1700»,«暦日0»,十七〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1733-1710»,«暦日2»,十八〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1733-1720»,«暦日0»,十九〳,つちのとのい,とる,,　,神よし ちう日
«1733-1730»,«暦日2»,廿〳,かのえね,やふる,土,　,●
«1733-1740»,«暦日0»,廿一〳,かのとのうし,あやふ,,はんけしやう,神よし 五む日  つめとりよし
«1733-1750»,«暦日2»,廿二〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1733-1760»,«暦日0»,廿三〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1733-1770»,«暦日2»,廿四〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1733-1780»,«暦日0»,廿五〳,きのとのみ,とつ,,　,十し
«1733-1790»,«暦日1»,廿六〳,ひのえむま,とつ,水,　,●
«1733-1800»,«節中»,小暑六月せつたつの七刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1733-1810»,«暦日1»,廿七〳,ひのとのひつし,たつ,水,　,くゑ日
«1733-1820»,«暦日2»,廿八〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1733-1830»,«暦日0»,廿九〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1733-1840»,«月序»,六月,大,建,己未,昴宿　胃　土よう
«1733-1850»,«暦日2»,一〳,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
«1733-1860»,«暦日0»,二〳,かのとのい,さたん,,　,大みやう ちう日
«1733-1870»,«暦日2»,三〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1733-1880»,«暦日0»,四〳,みつのとのうし,やふる,,ま日,十し
«1733-1890»,«暦日2»,五〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1733-1900»,«暦日0»,六〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1733-1910»,«暦日2»,七〳,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
«1733-1920»,«暦日0»,八〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1733-1930»,«暦日2»,九〳,つちのえむま,とつ,火,ま日|とようひつしの初刻ニ入,●
«1733-1940»,«暦日0»,十〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1733-1950»,«暦日2»,十一〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1733-1960»,«暦日0»,十二〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1733-1970»,«節中»,大暑六月中ひつしの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1733-1980»,«暦日2»,十三〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1733-1990»,«暦日0»,十四〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1733-2000»,«暦日2»,十五〳,きのえね,とる,金,　,きこ 下しきたつの時
«1733-2010»,«暦日0»,十六〳,きのとのうし,やふる,,　,十し
«1733-2020»,«暦日2»,十七〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1733-2030»,«暦日0»,十八〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1733-2040»,«暦日2»,十九〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1733-2050»,«暦日0»,廿〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日 わうまう
«1733-2060»,«暦日2»,廿一〳,かのえむま,とつ,土,中伏,●
«1733-2070»,«暦日0»,廿二〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1733-2080»,«暦日2»,廿三〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1733-2090»,«暦日0»,廿四〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1733-2100»,«暦日2»,廿五〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1733-2110»,«暦日0»,廿六〳,きのとのい,さたん,,　,ちう日
«1733-2120»,«暦日1»,廿七〳,ひのえね,さたん,水,　, 田かりよし
«1733-2130»,«節中»,立秋七月せついぬの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1733-2140»,«暦日1»,廿八〳,ひのとのうし,とる,水,　,●
«1733-2150»,«暦日2»,廿九〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1733-2160»,«暦日0»,卅〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1733-2170»,«月序»,七月,小,建,庚申,畢宿　畢　月よう
«1733-2180»,«暦日2»,一〳,かのえたつ,なる,金,末伏,ちいみ ふく日  かといてよし
«1733-2190»,«暦日0»,二〳,かのとのみ,おさん,,　,大くわ ちう日
