«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-0640»,«暦日2»,九〳,きのえね,おさん,金,　,きしく 天おん 母倉 月とく めつもん
«1779-0650»,«暦日0»,十〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1779-0660»,«暦日2»,十一〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1779-0670»,«暦日0»,十二〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1779-0680»,«暦日2»,十三〳,つちのえたつ,のそく,木,　,●
«1779-0690»,«暦日0»,十四〳,つちのとのみ,みつ,,　,十し
«1779-0700»,«暦日2»,十五〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1779-0710»,«暦日0»,十六〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1779-0720»,«暦日2»,十七〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1779-0730»,«暦日0»,十八〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1779-0740»,«暦日2»,十九〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1779-0750»,«暦日0»,廿〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1779-0760»,«暦日1»,廿一〳,ひのえね,なる,水,　,きこ
«1779-0770»,«節中»,清明三月せつうの四刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1779-0780»,«暦日1»,廿二〳,ひのとのうし,おさん,水,　,十し
«1779-0790»,«暦日2»,廿三〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1779-0800»,«暦日0»,廿四〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1779-0810»,«暦日2»,廿五〳,かのえたつ,たつ,金,　,くゑ日
«1779-0820»,«暦日0»,廿六〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1779-0830»,«暦日2»,廿七〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1779-0840»,«暦日0»,廿八〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1779-0850»,«暦日2»,廿九〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1779-0860»,«暦日0»,卅〳,きのとのとり,とる,,　,神よし  くさかりよし
«1779-0870»,«月序»,三月,小,建,戊辰,箕宿　胃　土よう
«1779-0880»,«暦日2»,一〳,ひのえいぬ,やふる,土,　,五む日
«1779-0890»,«暦日0»,二〳,ひのとのい,あやふ,,　,●
«1779-0900»,«暦日2»,三〳,つちのえね,なる,火,とようみの五刻ニ入,母倉 きこ ふく日
«1779-0910»,«暦日0»,四〳,つちのとのうし,おさん,,　,十し
«1779-0920»,«暦日2»,五〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1779-0930»,«暦日0»,六〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1779-0940»,«節中»,穀雨三月中むまの一刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1779-0950»,«暦日2»,七〳,みつのえたつ,たつ,水,　,きしく 大みやう 月とく 五む日
«1779-0960»,«暦日0»,八〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1779-0970»,«暦日2»,九〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1779-0980»,«暦日0»,十〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1779-0990»,«暦日2»,十一〳,ひのえさる,さたん,火,　,くゑ日 わうまう
«1779-1000»,«暦日0»,十二〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1779-1010»,«暦日2»,十三〳,つちのえいぬ,やふる,木,　,ふく日
«1779-1020»,«暦日0»,十四〳,つちのとのい,あやふ,,　,●
«1779-1030»,«暦日2»,十五〳,かのえね,なる,土,　,さい下しき 神よし きこ
«1779-1040»,«暦日0»,十六〳,かのとのうし,おさん,,　,十し
«1779-1050»,«暦日2»,十七〳,みつのえとら,ひらく,金,八十八や,大みやう 月とく ちいみ  つめとりよし
«1779-1060»,«暦日0»,十八〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1779-1070»,«暦日2»,十九〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1779-1080»,«暦日0»,廿〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
