«1816-0000»,【 カンマ区切りテキスト形式です。】
«1816-0640»,«節中»,啓蟄二月せついぬの一刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1816-0650»,«暦日2»,十〳,かのえさる,とる,木,　,神よし きしく 大みやう
«1816-0660»,«暦日0»,十一〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1816-0670»,«暦日2»,十二〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1816-0680»,«暦日0»,十三〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1816-0690»,«暦日2»,十四〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1816-0700»,«暦日0»,十五〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1816-0710»,«暦日2»,十六〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1816-0720»,«暦日0»,十七〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1816-0730»,«暦日2»,十八〳,つちのえたつ,のそく,木,　,●
«1816-0740»,«暦日0»,十九〳,つちのとのみ,みつ,,　,十し
«1816-0750»,«暦日2»,廿〳,かのえむま,たいら,土,ひかんニなる,神よし 大くわ 地火
«1816-0760»,«暦日0»,廿一〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1816-0770»,«暦日2»,廿二〳,みつのえさる,とる,金,　,大みやう わうまう  入学よし
«1816-0780»,«暦日0»,廿三〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1816-0790»,«暦日2»,廿四〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1816-0800»,«暦日0»,廿五〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1816-0810»,«節中»,春分二月中今暁ねの六刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1816-0820»,«暦日2»,廿六〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1816-0830»,«暦日0»,廿七〳,ひのとのうし,ひらく,,　,さい下しき 大みやう  ものたち  つめとりよし
«1816-0840»,«暦日2»,廿八〳,つちのえとら,とつ,土,社日,天しや よろつよし
