《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0820》,《暦日2》,廿六／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《0830》,《暦日0》,廿七／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《0840》,《暦日2》,廿八／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0850》,《暦日0》,廿九／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0860》,《暦日1》,卅／,みつのえさる,さたん,金,　,大みやう くゑ日
《0870》,《月序》,三月,大,建,戊辰,鬼宿　危　月よう
《0880》,《暦日1》,一／,みつのとのとり,とる,金,　,神よし 大みやう
《0890》,《暦日2》,二／,きのえいぬ,やふる,火,　, くさかりよし
《0900》,《暦日0》,三／,きのとのい,あやふ,,　,●
《0910》,《暦日2》,四／,ひのえね,なる,水,　,きこ
《0920》,《暦日0》,五／,ひのとのうし,おさん,,　,十し
《0930》,《暦日2》,六／,つちのえとら,ひらく,土,とよう朝五時四分ニ入,天しや よろつよし
《0940》,《暦日0》,七／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0950》,《暦日2》,八／,かのえたつ,たつ,金,　,くゑ日
《0960》,《暦日0》,九／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0970》,《節中》,穀雨三月中朝四時三分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《0980》,《暦日2》,十／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0990》,《暦日0》,十一／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1000》,《暦日2》,十二／,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
《1010》,《暦日0》,十三／,きのとのとり,とる,,　,神よし  くさかりよし
《1020》,《暦日2》,十四／,ひのえいぬ,やふる,土,　,五む日 わうまう
《1030》,《暦日0》,十五／,ひのとのい,あやふ,,　,●
《1040》,《暦日2》,十六／,つちのえね,なる,火,　,母倉 きこ ふく日
《1050》,《暦日0》,十七／,つちのとのうし,おさん,,　,十し
《1060》,《暦日2》,十八／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1070》,《暦日0》,十九／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1080》,《暦日2》,廿／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1090》,《暦日0》,廿一／,みつのとのみ,のそく,,八十八や/天一天上,母倉 ちう日  けんふくよし
《1100》,《暦日2》,廿二／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1110》,《暦日0》,廿三／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1120》,《暦日1》,廿四／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
