《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2940》,《暦日0》,十一／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《2950》,《暦日2》,十二／,かのえたつ,やふる,金,　,天おん
《2960》,《暦日0》,十三／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《2970》,《暦日2》,十四／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《2980》,《暦日0》,十五／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《2990》,《暦日2》,十六／,きのえさる,ひらく,水,とよう夕七時二分ニ入/十方くれニ入,大みやう
《3000》,《暦日0》,十七／,きのとのとり,とつ,,　,神よし  田かりよし
《3010》,《暦日2》,十八／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3020》,《暦日0》,十九／,ひのとのい,のそく,,　,大みやう ちう日
《3030》,《節中》,霜降九月中暮六時一分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《3040》,《暦日2》,廿／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3050》,《暦日0》,廿一／,つちのとのうし,たいら,,　,十し
《3060》,《暦日2》,廿二／,かのえとら,さたん,木,　,●
《3070》,《暦日0》,廿三／,かのとのう,とる,,　,くゑ日
《3080》,《暦日2》,廿四／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3090》,《暦日0》,廿五／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3100》,《暦日2》,廿六／,きのえむま,なる,金,　,くゑ日
《3110》,《暦日0》,廿七／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3120》,《暦日2》,廿八／,ひのえさる,ひらく,火,　,くゑ日
《3130》,《暦日0》,廿九／,ひのとのとり,とつ,,　,くゑ日
《3140》,《暦日1》,卅／,つちのえいぬ,たつ,木,　,くゑ日 ふく日 わうまう  田かりよし
《3150》,《月序》,十月,小,建,乙亥,亢宿　井　木よう
《3160》,《暦日1》,一／,つちのとのい,のそく,木,　,神よし ちう日 ふく日  むきまきよし
《3170》,《暦日2》,二／,かのえね,みつ,土,　,神よし きしく きこ 天火 らうしやく
《3180》,《暦日0》,三／,かのとのうし,たいら,,　,十し
《3190》,《暦日1》,四／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3200》,《節中》,立冬十月せつ暮六時ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3210》,《暦日1》,五／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《3220》,《暦日2》,六／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3230》,《暦日0》,七／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3240》,《暦日2》,八／,ひのえむま,あやふ,水,　,さい下しき 神よし 大みやう ふく日
《3250》,《暦日0》,九／,ひのとのひつし,なる,,　, 木こりよし
《3260》,《暦日2》,十／,つちのえさる,おさん,土,　,●
《3270》,《暦日0》,十一／,つちのとのとり,ひらく,,　,十し
《3280》,《暦日2》,十二／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3290》,《暦日0》,十三／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 わうまう 下しきさるの時
《3300》,《暦日2》,十四／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3310》,《暦日0》,十五／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3320》,《暦日2》,十六／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3330》,《暦日0》,十七／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3340》,《暦日2》,十八／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3350》,《暦日0》,十九／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3360》,《節中》,小雪十月中昼八時六分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3370》,《暦日2》,廿／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3380》,《暦日0》,廿一／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3390》,《暦日2》,廿二／,かのえさる,おさん,木,　,●
《3400》,《暦日0》,廿三／,かのとのとり,ひらく,,　,十し
《3410》,《暦日2》,廿四／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3420》,《暦日0》,廿五／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3430》,《暦日2》,廿六／,きのえね,のそく,金,　,天しや よろつよし
《3440》,《暦日0》,廿七／,きのとのうし,みつ,,　,くゑ日 きこ
《3450》,《暦日2》,廿八／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3460》,《暦日0》,廿九／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3470》,《月序》,十一月,大,建,丙子,氐宿　鬼　金よう
《3480》,《暦日2》,一／,つちのえたつ,とる,木,　,きしく 天おん 五む日  ふねのりよし
《3490》,《暦日0》,二／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3500》,《暦日2》,三／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3510》,《暦日0》,四／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3520》,《暦日1》,五／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3530》,《節中》,大雪十一月せつ朝五時九分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3540》,《暦日1》,六／,みつのとのとり,おさん,金,　,神よし 大みやう 母倉 大くわ ふく日
《3550》,《暦日2》,七／,きのえいぬ,ひらく,火,　
《3560》,《暦日0》,八／,きのとのい,とつ,,　,ちう日
《3570》,《暦日2》,九／,ひのえね,たつ,水,　, 木こりよし
《3580》,《暦日0》,十／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3590》,《暦日2》,十一／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3600》,《暦日0》,十二／,つちのとのう,たいら,,　,●
《3610》,《暦日2》,十三／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3620》,《暦日0》,十四／,かのとのみ,とる,,　,十し
《3630》,《暦日2》,十五／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3640》,《暦日0》,十六／,みつのとのひつし,あやふ,,　,天おん ふく日
《3650》,《暦日2》,十七／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3660》,《暦日0》,十八／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3670》,《暦日2》,十九／,ひのえいぬ,ひらく,土,　,五む日
《3680》,《暦日0》,廿／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3690》,《節中》,冬至十一月中今暁八時七分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3700》,《暦日2》,廿一／,つちのえね,たつ,火,　,くゑ日
《3710》,《暦日0》,廿二／,つちのとのうし,のそく,,　, つめとりよし
《3720》,《暦日2》,廿三／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3730》,《暦日0》,廿四／,かのとのう,たいら,,　,●
《3740》,《暦日2》,廿五／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3750》,《暦日0》,廿六／,みつのとのみ,とる,,天一天上,十し
《3760》,《暦日2》,廿七／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3770》,《暦日0》,廿八／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3780》,《暦日2》,廿九／,ひのえさる,なる,火,　,きしく 母倉
《3790》,《暦日0》,卅／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3800》,《月序》,十二月,大,建,丁丑,房宿　星　日よう
《3810》,《暦日2》,一／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3820》,《暦日0》,二／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3830》,《暦日2》,三／,かのえね,たつ,土,　, 井ほりよし
《3840》,《暦日0》,四／,かのとのうし,たつ,,　,十し
《3850》,《節中》,小寒十二月せつ夜五時四分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3860》,《暦日2》,五／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《3870》,《暦日0》,六／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3880》,《暦日2》,七／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3890》,《暦日0》,八／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《3900》,《暦日2》,九／,ひのえむま,とる,水,　,さい下しき 神よし 大みやう 母倉  かといてよし
《3910》,《暦日0》,十／,ひのとのひつし,やふる,,　,くゑ日
《3920》,《暦日2》,十一／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《3930》,《暦日0》,十二／,つちのとのとり,なる,,　,●
《3940》,《暦日2》,十三／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《3950》,《暦日0》,十四／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《3960》,《暦日2》,十五／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《3970》,《暦日0》,十六／,みつのとのうし,たつ,,ま日/とよう昼八時三分ニ入,十し
《3980》,《食記》,月そく皆既
《3990》,《暦日2》,十七／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4000》,《暦日0》,十八／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《4010》,《暦日1》,十九／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4020》,《節中》,大寒十二月中昼八時日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《4030》,《暦日1》,廿／,ひのとのみ,さたん,土,　,母倉 ちう日
《4040》,《暦日2》,廿一／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《4050》,《暦日0》,廿二／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《4060》,《暦日2》,廿三／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《4070》,《暦日0》,廿四／,かのとのとり,なる,,　,●
《4080》,《暦日2》,廿五／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4090》,《暦日0》,廿六／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4100》,《暦日2》,廿七／,きのえね,とつ,金,　,天しや よろつよし
《4110》,《暦日0》,廿八／,きのとのうし,たつ,,　,十し
《4120》,《暦日2》,廿九／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4130》,《暦日0》,卅／,ひのとのう,みつ,,　,神よし 天おん
《4140》,《暦末》,明治元年出,立表測景定節氣者
