«1762-0000»,【 カンマ区切りテキスト形式です。】
«1762-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1762-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1762-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1762-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1762-0050»,【 外部リンク　】
«1762-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/82 ～ 86】
«1762-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1762h　(翻刻編集終了データを表成型して表示します)】
«1762-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1762ht (翻刻編集中データを表成型して表示します)】
«1762-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1762-0100»,«版元»,出版地○○,出版元□□□,　
«1762-0410»,«暦日0»,十九〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1762-0420»,«暦日2»,廿〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1762-0430»,«暦日0»,廿一〳,きのとのう,のそく,,　,神よし  ものたちよし
«1762-0440»,«暦日2»,廿二〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1762-0450»,«暦日0»,廿三〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1762-0460»,«暦日2»,廿四〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1762-0470»,«暦日0»,廿五〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1762-0480»,«暦日2»,廿六〳,かのえさる,やふる,木,　,神よし きしく 大みやう ふく日
«1762-0490»,«暦日0»,廿七〳,かのとのとり,あやふ,,　,十し
«1762-0500»,«節中»,雨水正月中たつの五刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1762-0510»,«暦日2»,廿八〳,みつのえいぬ,なる,水,ま日,●
«1762-0520»,«暦日0»,廿九〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1762-0530»,«暦日1»,卅〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1762-0540»,«月序»,二月,大,建,癸卯,張宿　軫　水よう
«1762-0550»,«暦日1»,一〳,きのとのうし,とつ,金,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1762-0560»,«暦日2»,二〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1762-0570»,«暦日0»,三〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1762-0580»,«暦日2»,四〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
