«1842-0000»,【 カンマ区切りテキスト形式です。】
«1842-0650»,«暦日2»,十一〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1842-0660»,«暦日0»,十二〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1842-0670»,«節中»,春分二月中たつの三刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1842-0680»,«暦日2»,十三〳,みつのえたつ,のそく,水,　,●
«1842-0690»,«暦日0»,十四〳,みつのとのみ,みつ,,天一天上,十し
«1842-0700»,«暦日2»,十五〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1842-0710»,«暦日0»,十六〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1842-0720»,«暦日2»,十七〳,ひのえさる,とる,火,　,神よし
«1842-0730»,«暦日0»,十八〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1842-0740»,«暦日2»,十九〳,つちのえいぬ,あやふ,木,　, かといてよし
«1842-0750»,«暦日0»,廿〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1842-0760»,«暦日2»,廿一〳,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
«1842-0770»,«暦日0»,廿二〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1842-0780»,«暦日2»,廿三〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1842-0790»,«暦日0»,廿四〳,みつのとのう,たつ,,　,天火 らうしやく
«1842-0800»,«暦日2»,廿五〳,きのえたつ,のそく,火,　,●
«1842-0810»,«暦日0»,廿六〳,きのとのみ,みつ,,　,十し
«1842-0820»,«暦日1»,廿七〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1842-0830»,«節中»,清明三月せつひつしの初刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1842-0840»,«暦日1»,廿八〳,ひのとのひつし,たいら,水,　,神よし 月とく めつもん 地火
«1842-0850»,«暦日2»,廿九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1842-0860»,«暦日0»,卅〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1842-0870»,«月序»,三月,小,建,甲辰,箕宿　心　月よう
«1842-0880»,«暦日2»,一〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1842-0890»,«暦日0»,二〳,かのとのい,あやふ,,　,●
«1842-0900»,«暦日2»,三〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1842-0910»,«暦日0»,四〳,みつのとのうし,おさん,,ま日,十し
«1842-0920»,«暦日2»,五〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1842-0930»,«暦日0»,六〳,きのとのう,とつ,,　,神よし  ものたちよし
«1842-0940»,«暦日2»,七〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1842-0950»,«暦日0»,八〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1842-0960»,«暦日2»,九〳,つちのえむま,みつ,火,ま日|とようとりの一刻ニ入,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1842-0970»,«暦日0»,十〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1842-0980»,«暦日2»,十一〳,かのえさる,さたん,木,　,大みやう くゑ日
«1842-0990»,«暦日0»,十二〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1842-1000»,«節中»,穀雨三月中とりの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1842-1010»,«暦日2»,十三〳,みつのえいぬ,やふる,水,ま日,月とく
«1842-1020»,«暦日0»,十四〳,みつのとのい,あやふ,,八せんのおはり,●
«1842-1030»,«暦日2»,十五〳,きのえね,なる,金,　,くゑ日 きこ
«1842-1040»,«暦日0»,十六〳,きのとのうし,おさん,,　,十し
«1842-1050»,«暦日2»,十七〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ わうまう
«1842-1060»,«暦日0»,十八〳,ひのとのう,とつ,,　,さい下しき くゑ日  たねまきよし
«1842-1070»,«暦日2»,十九〳,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
«1842-1080»,«暦日0»,廿〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1842-1090»,«暦日2»,廿一〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1842-1100»,«暦日0»,廿二〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1842-1110»,«暦日2»,廿三〳,みつのえさる,さたん,金,八十八や,大みやう くゑ日
«1842-1120»,«暦日0»,廿四〳,みつのとのとり,とる,,　,神よし 大みやう
«1842-1130»,«暦日2»,廿五〳,きのえいぬ,やふる,火,　, くさかりよし
«1842-1140»,«暦日0»,廿六〳,きのとのい,あやふ,,　,●
«1842-1150»,«暦日1»,廿七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1842-1160»,«節中»,立夏四月せつ今夜ねの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1842-1170»,«暦日1»,廿八〳,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
«1842-1180»,«暦日1»,廿九〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1842-1190»,«月序»,四月,大,建,乙巳,斗宿　尾　火よう
«1842-1200»,«暦日1»,一〳,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
«1842-1210»,«暦日2»,二〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1842-1220»,«暦日0»,三〳,かのとのみ,たつ,,　,●
«1842-1230»,«暦日2»,四〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1842-1240»,«暦日0»,五〳,みつのとのひつし,みつ,,　,くゑ日 わうまう
«1842-1250»,«暦日2»,六〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1842-1260»,«暦日0»,七〳,きのとのとり,さたん,,　,十し
«1842-1270»,«暦日2»,八〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1842-1280»,«暦日0»,九〳,ひのとのい,やふる,,　,大みやう ちう日
«1842-1290»,«暦日2»,十〳,つちのえね,あやふ,火,　, けんふくよし
«1842-1300»,«暦日0»,十一〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1842-1310»,«暦日2»,十二〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1842-1320»,«暦日0»,十三〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1842-1330»,«暦日1»,十四〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1842-1340»,«節中»,小満四月中今暁とらの七刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1842-1350»,«暦日1»,十五〳,みつのとのみ,たつ,水,天一天上,●
«1842-1360»,«暦日2»,十六〳,きのえむま,のそく,金,　,天しや よろつよし
«1842-1370»,«暦日0»,十七〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1842-1380»,«暦日2»,十八〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1842-1390»,«暦日0»,十九〳,ひのとのとり,さたん,,　,十し
«1842-1400»,«暦日2»,廿〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1842-1410»,«暦日0»,廿一〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1842-1420»,«暦日2»,廿二〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1842-1430»,«暦日0»,廿三〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1842-1440»,«暦日2»,廿四〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1842-1450»,«暦日0»,廿五〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1842-1460»,«暦日2»,廿六〳,きのえたつ,とつ,火,　,大みやう
«1842-1470»,«暦日0»,廿七〳,きのとのみ,たつ,,　,●
«1842-1480»,«暦日2»,廿八〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1842-1490»,«暦日0»,廿九〳,ひのとのひつし,のそく,,　,神よし ふく日
«1842-1500»,«節中»,芒種五月せつみの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1842-1510»,«暦日1»,卅〳,つちのえさる,みつ,土,　,神よし  入学よし
«1842-1520»,«月序»,五月,小,建,丙午,牛宿　斗　木よう
«1842-1530»,«暦日1»,一〳,つちのとのとり,たいら,土,　,神よし 大みやう 天おん めつもん 地火
«1842-1540»,«暦日2»,二〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1842-1550»,«暦日0»,三〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1842-1560»,«暦日2»,四〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1842-1570»,«暦日0»,五〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1842-1580»,«暦日2»,六〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1842-1590»,«暦日0»,七〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1842-1600»,«暦日2»,八〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1842-1610»,«暦日0»,九〳,ひのとのみ,とつ,,　,十し
«1842-1620»,«暦日2»,十〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1842-1630»,«暦日0»,十一〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1842-1640»,«暦日2»,十二〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1842-1650»,«暦日0»,十三〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1842-1660»,«暦日1»,十四〳,みつのえいぬ,さたん,水,ま日,わうまう  むきかりよし
«1842-1670»,«節中»,夏至五月中さるの一刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1842-1680»,«暦日1»,十五〳,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
«1842-1690»,«暦日2»,十六〳,きのえね,やふる,金,　,●
«1842-1700»,«暦日0»,十七〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1842-1710»,«暦日2»,十八〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1842-1720»,«暦日0»,十九〳,ひのとのう,おさん,,　,さい下しき 天おん 母倉 ちいみ 大くわ ふく日
«1842-1730»,«暦日2»,廿〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1842-1740»,«暦日0»,廿一〳,つちのとのみ,とつ,,　,十し
«1842-1750»,«暦日2»,廿二〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1842-1760»,«暦日0»,廿三〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1842-1770»,«暦日2»,廿四〳,みつのえさる,みつ,金,はんけしやう,神よし 大みやう  くさかりよし
«1842-1780»,«暦日0»,廿五〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1842-1790»,«暦日2»,廿六〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1842-1800»,«暦日0»,廿七〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1842-1810»,«暦日2»,廿八〳,ひのえね,やふる,水,　,●
«1842-1820»,«暦日0»,廿九〳,ひのとのうし,やふる,,　,十し
«1842-1830»,«節中»,小暑六月せついぬの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1842-1840»,«月序»,六月,小,建,丁未,女宿　牛　金よう
«1842-1850»,«暦日1»,一〳,つちのえとら,あやふ,土,　,ふく日  つめとりよし
«1842-1860»,«食記»,日蝕七分半
«1842-1870»,«暦日1»,二〳,つちのとのう,なる,土,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1842-1880»,«暦日2»,三〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1842-1890»,«暦日0»,四〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1842-1900»,«暦日2»,五〳,みつのえむま,とつ,木,　,●
«1842-1910»,«暦日0»,六〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1842-1920»,«暦日2»,七〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1842-1930»,«暦日0»,八〳,きのとのとり,みつ,,　,神よし ちいみ
«1842-1940»,«暦日2»,九〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1842-1950»,«暦日0»,十〳,ひのとのい,さたん,,　,大みやう ちう日
«1842-1960»,«暦日2»,十一〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1842-1970»,«暦日0»,十二〳,つちのとのうし,やふる,,　,十し
«1842-1980»,«暦日2»,十三〳,かのえとら,あやふ,木,初伏|とよう今暁ねの七刻ニ入,母倉  やたて  つめとりよし
«1842-1990»,«暦日0»,十四〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1842-2000»,«暦日1»,十五〳,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
«1842-2010»,«食記»,月帯食三分
«1842-2020»,«暦日1»,十六〳,みつのとのみ,ひらく,水,天一天上,母倉 ちう日  いちたちよし
«1842-2030»,«節中»,大暑六月中今暁うしの三刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1842-2040»,«暦日2»,十七〳,きのえむま,とつ,金,　,●
«1842-2050»,«暦日0»,十八〳,きのとのひつし,たつ,,　,大みやう 五む日
«1842-2060»,«暦日2»,十九〳,ひのえさる,のそく,火,　,神よし
«1842-2070»,«暦日0»,廿〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1842-2080»,«暦日2»,廿一〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1842-2090»,«暦日0»,廿二〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1842-2100»,«暦日2»,廿三〳,かのえね,とる,土,中伏,きこ わうまう 下しきたつの時
«1842-2110»,«暦日0»,廿四〳,かのとのうし,やふる,,　,十し
«1842-2120»,«暦日2»,廿五〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1842-2130»,«暦日0»,廿六〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1842-2140»,«暦日2»,廿七〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1842-2150»,«暦日0»,廿八〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1842-2160»,«暦日1»,廿九〳,ひのえむま,とつ,水,　,●
«1842-2170»,«月序»,七月,大,建,戊申,虛宿　女　土よう
«1842-2180»,«暦日1»,一〳,ひのとのひつし,たつ,水,　,くゑ日
«1842-2190»,«暦日1»,二〳,つちのえさる,たつ,土,　,天しや よろつよし
«1842-2200»,«節中»,立秋七月せつうの八刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1842-2210»,«暦日1»,三〳,つちのとのとり,のそく,土,　,十し
«1842-2220»,«暦日2»,四〳,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
«1842-2230»,«暦日0»,五〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1842-2240»,«暦日2»,六〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1842-2250»,«暦日0»,七〳,みつのとのうし,とる,,ま日,●
«1842-2260»,«暦日2»,八〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1842-2270»,«暦日0»,九〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1842-2280»,«暦日2»,十〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ わうまう  くさかりよし
«1842-2290»,«暦日0»,十一〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1842-2300»,«暦日2»,十二〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1842-2310»,«暦日0»,十三〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1842-2320»,«暦日2»,十四〳,かのえさる,たつ,木,　,きしく 大みやう くゑ日 ふく日 下しきみの時
«1842-2330»,«暦日0»,十五〳,かのとのとり,のそく,,　,十し
«1842-2340»,«暦日2»,十六〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1842-2350»,«暦日0»,十七〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1842-2360»,«節中»,処暑七月中むまの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1842-2370»,«暦日2»,十八〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1842-2380»,«暦日0»,十九〳,きのとのうし,とる,,　,●
«1842-2390»,«暦日2»,廿〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1842-2400»,«暦日0»,廿一〳,ひのとのう,あやふ,,　,さい下しき 神よし 天おん 月とく  わたましよし
«1842-2410»,«暦日2»,廿二〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1842-2420»,«暦日0»,廿三〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1842-2430»,«暦日2»,廿四〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1842-2440»,«暦日0»,廿五〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1842-2450»,«暦日2»,廿六〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1842-2460»,«暦日0»,廿七〳,みつのとのとり,のそく,,　,十し
