《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/115 ～ 124
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1729g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1729h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0660》,《暦日2》,九／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0670》,《暦日0》,十／,きのとのとり,やふる,,　,ふく日
《0680》,《暦日2》,十一／,ひのえいぬ,あやふ,土,　,さい下しき 五む日  あさまきよし
《0690》,《暦日0》,十二／,ひのとのい,なる,,　,大みやう ちう日
《0700》,《暦日2》,十三／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0710》,《暦日0》,十四／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0720》,《暦日2》,十五／,かのえとら,とつ,木,　,きこ  つめとりよし
《0730》,《暦日0》,十六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0740》,《暦日2》,十七／,みつのえたつ,のそく,水,　,●
《0750》,《暦日0》,十八／,みつのとのみ,みつ,,天一天上,十し
《0760》,《暦日2》,十九／,きのえむま,たいら,金,　,神よし 大くわ 地火
《0770》,《暦日0》,廿／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0780》,《暦日2》,廿一／,ひのえさる,とる,火,　,わうまう
《0790》,《暦日0》,廿二／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0800》,《暦日1》,廿三／,つちのえいぬ,あやふ,木,社日, かといてよし
《0810》,《節中》,春分二月中いぬの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0820》,《暦日1》,廿四／,つちのとのい,なる,木,　,神よし ちう日  みそすつくりよし
《0830》,《暦日2》,廿五／,かのえね,おさん,土,ひかんニなる,神よし めつもん  よめとり たねかしよし
《0840》,《暦日0》,廿六／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0850》,《暦日2》,廿七／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0860》,《暦日0》,廿八／,みつのとのう,たつ,,　,天火 らうしやく
《0870》,《暦日1》,廿九／,きのえたつ,のそく,火,　,●
《0880》,《月序》,三月,大,建,戊辰,鬼宿　觜　火よう
《0890》,《暦日1》,一／,きのとのみ,みつ,火,　,十し
《0900》,《暦日2》,二／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0910》,《暦日0》,三／,ひのとのひつし,さたん,,　,神よし ちいみ
《0920》,《暦日2》,四／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《0930》,《暦日0》,五／,つちのとのとり,やふる,,　,大みやう
《0940》,《暦日2》,六／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0950》,《暦日0》,七／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《0960》,《暦日2》,八／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《0970》,《暦日0》,九／,みつのとのうし,ひらく,,ま日, つめとりよし
《0980》,《暦日1》,十／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0990》,《節中》,清明三月せつうしの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1000》,《暦日1》,十一／,きのとのう,とつ,水,　,神よし  ものたちよし
《1010》,《暦日2》,十二／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1020》,《暦日0》,十三／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1030》,《暦日2》,十四／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1040》,《暦日0》,十五／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1050》,《暦日2》,十六／,かのえさる,さたん,木,　,大みやう くゑ日
《1060》,《暦日0》,十七／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1070》,《暦日2》,十八／,みつのえいぬ,やふる,水,ま日
《1080》,《暦日0》,十九／,みつのとのい,あやふ,,八せんのおはり,●
《1090》,《暦日2》,廿／,きのえね,なる,金,　,くゑ日 きこ
《1100》,《暦日0》,廿一／,きのとのうし,おさん,,　,十し
《1110》,《暦日2》,廿二／,ひのえとら,ひらく,火,とよううの五刻ニ入,くゑ日 ちいみ
《1120》,《暦日0》,廿三／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1130》,《暦日2》,廿四／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1140》,《暦日0》,廿五／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1150》,《節中》,穀雨三月中たつの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1160》,《暦日2》,廿六／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1170》,《暦日0》,廿七／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1180》,《暦日2》,廿八／,みつのえさる,さたん,金,　,大みやう くゑ日
《1190》,《暦日0》,廿九／,みつのとのとり,とる,,　,神よし 大みやう
《1200》,《暦日1》,卅／,きのえいぬ,やふる,火,　,わうまう  くさかりよし
