《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/115 ～ 124
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1729g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1729h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2690》,《暦日0》,十七／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《2700》,《暦日2》,十八／,かのえとら,とる,木,　,きこ  つめとりよし
《2710》,《暦日0》,十九／,かのとのう,やふる,,　,ふく日  田かりよし
《2720》,《暦日2》,廿／,みつのえたつ,あやふ,水,二百廿日,大みやう 五む日
《2730》,《暦日0》,廿一／,みつのとのみ,なる,,天一天上,十し
《2740》,《暦日2》,廿二／,きのえむま,おさん,金,　,めつもん
《2750》,《暦日0》,廿三／,きのとのひつし,ひらく,,　,●
《2760》,《暦日2》,廿四／,ひのえさる,とつ,火,　,神よし きしく
《2770》,《暦日0》,廿五／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2780》,《暦日2》,廿六／,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
《2790》,《暦日0》,廿七／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2800》,《暦日2》,廿八／,かのえね,たいら,土,　,神よし 大くわ 地火
《2810》,《暦日0》,廿九／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2820》,《節中》,秋分八月中むまの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2830》,《暦日1》,卅／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2840》,《月序》,九月,小,建,甲戌,角宿　亢　金よう
《2850》,《暦日1》,一／,みつのとのう,やふる,金,ひかんニなる,わうまう  くらたて 田かりよし
《2860》,《暦日2》,二／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2870》,《暦日0》,三／,きのとのみ,なる,,　,十し
《2880》,《暦日2》,四／,ひのえむま,おさん,水,　,大みやう めつもん
《2890》,《暦日0》,五／,ひのとのひつし,ひらく,,　,●
《2900》,《暦日2》,六／,つちのえさる,とつ,土,　,天しや よろつよし
《2910》,《暦日0》,七／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2920》,《暦日2》,八／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2930》,《暦日0》,九／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2940》,《暦日2》,十／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《2950》,《暦日0》,十一／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2960》,《暦日2》,十二／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2970》,《暦日0》,十三／,きのとのう,やふる,,　,くゑ日 ふく日
《2980》,《暦日1》,十四／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《2990》,《節中》,寒露九月せつとりの初刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《3000》,《暦日1》,十五／,ひのとのみ,あやふ,土,　,ちいみ ちう日 下しきひつしの時
《3010》,《暦日2》,十六／,つちのえむま,なる,火,ま日,神よし ふく日
《3020》,《暦日0》,十七／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《3030》,《暦日2》,十八／,かのえさる,ひらく,木,　,大みやう
《3040》,《暦日0》,十九／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《3050》,《暦日2》,廿／,みつのえいぬ,たつ,水,ま日, 田かりよし
《3060》,《暦日0》,廿一／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3070》,《暦日2》,廿二／,きのえね,みつ,金,　,きしく きこ 天火 らうしやく
《3080》,《暦日0》,廿三／,きのとのうし,たいら,,　,十し
《3090》,《暦日2》,廿四／,ひのえとら,さたん,火,　,●
《3100》,《暦日0》,廿五／,ひのとのう,とる,,　,神よし  田かりよし
《3110》,《暦日2》,廿六／,つちのえたつ,やふる,木,とよういの一刻ニ入,五む日 ふく日
《3120》,《暦日0》,廿七／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《3130》,《暦日2》,廿八／,かのえむま,なる,土,　,神よし  みそすつくりよし
《3140》,《暦日0》,廿九／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《3150》,《節中》,霜降九月中いの五刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3160》,《月序》,閏九月,大,隨節用之,氐　土よう
《3170》,《暦日2》,一／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3180》,《暦日0》,二／,みつのとのとり,とつ,,　,神よし 大みやう
《3190》,《暦日2》,三／,きのえいぬ,たつ,火,　,くゑ日
《3200》,《暦日0》,四／,きのとのい,のそく,,　,ちう日  田かりよし
《3210》,《暦日2》,五／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《3220》,《暦日0》,六／,ひのとのうし,たいら,,　,十し
《3230》,《暦日2》,七／,つちのえとら,さたん,土,　,●
《3240》,《暦日0》,八／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《3250》,《暦日2》,九／,かのえたつ,やふる,金,　
《3260》,《暦日0》,十／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3270》,《暦日2》,十一／,みつのえむま,なる,木,　,大みやう わうまう  けんふくよし
《3280》,《暦日0》,十二／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《3290》,《暦日2》,十三／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3300》,《暦日0》,十四／,きのとのとり,とつ,,　,神よし  田かりよし
《3310》,《暦日2》,十五／,ひのえいぬ,たつ,土,　,さい下しき 五む日  竹木こりよし
《3320》,《暦日0》,十六／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3330》,《節中》,立冬十月せつとらの二刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3340》,《暦日2》,十七／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3350》,《暦日0》,十八／,つちのとのうし,みつ,,　,くゑ日 きこ
《3360》,《暦日2》,十九／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3370》,《暦日0》,廿／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3380》,《暦日2》,廿一／,みつのえたつ,とる,水,　,きしく 大みやう 五む日 ふく日
《3390》,《暦日0》,廿二／,みつのとのみ,やふる,,天一天上,ちう日
《3400》,《暦日2》,廿三／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《3410》,《暦日0》,廿四／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3420》,《暦日2》,廿五／,ひのえさる,おさん,火,　,●
《3430》,《暦日0》,廿六／,ひのとのとり,ひらく,,　,十し
《3440》,《暦日2》,廿七／,つちのえいぬ,とつ,木,　,くゑ日
《3450》,《暦日0》,廿八／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3460》,《暦日2》,廿九／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3470》,《暦日0》,卅／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3480》,《月序》,十月,小,建,乙亥,亢宿　心　月よう
《3490》,《暦日1》,一／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3500》,《節中》,小雪十月中たつの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3510》,《暦日1》,二／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《3520》,《暦日2》,三／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《3530》,《暦日0》,四／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3540》,《暦日2》,五／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3550》,《暦日0》,六／,ひのとのひつし,なる,,　, 木こりよし
《3560》,《暦日2》,七／,つちのえさる,おさん,土,　,●
《3570》,《暦日0》,八／,つちのとのとり,ひらく,,　,十し
《3580》,《暦日2》,九／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3590》,《暦日0》,十／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3600》,《暦日2》,十一／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3610》,《暦日0》,十二／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3620》,《暦日2》,十三／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《3630》,《暦日0》,十四／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3640》,《暦日2》,十五／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3650》,《暦日0》,十六／,ひのとのみ,とる,,　,十し
《3660》,《節中》,大雪十一月せつひつしの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3670》,《暦日2》,十七／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3680》,《暦日0》,十八／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3690》,《暦日2》,十九／,かのえさる,なる,木,　,きしく 大みやう  入学 みそさけつくりよし
《3700》,《暦日0》,廿／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《3710》,《暦日2》,廿一／,みつのえいぬ,ひらく,水,ま日
《3720》,《暦日0》,廿二／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3730》,《暦日2》,廿三／,きのえね,たつ,金,　,天しや よろつよし
《3740》,《暦日0》,廿四／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3750》,《暦日2》,廿五／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3760》,《暦日0》,廿六／,ひのとのう,たいら,,　,●
《3770》,《暦日2》,廿七／,つちのえたつ,さたん,木,　,五む日
《3780》,《暦日0》,廿八／,つちのとのみ,とる,,　,十し
《3790》,《暦日1》,廿九／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3800》,《月序》,十一月,大,建,丙子,氐宿　尾　火よう
《3810》,《暦日1》,一／,かのとのひつし,あやふ,土,　,大みやう  かとたてよし
《3820》,《暦日1》,二／,みつのえさる,なる,金,　,大みやう  いちたちよし
《3830》,《節中》,冬至十一月中いぬの一刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3840》,《暦日1》,三／,みつのとのとり,おさん,金,　,神よし 大みやう 大くわ ふく日
《3850》,《暦日2》,四／,きのえいぬ,ひらく,火,　
《3860》,《暦日0》,五／,きのとのい,とつ,,　,ちう日
《3870》,《暦日2》,六／,ひのえね,たつ,水,　,わうまう  木こりよし
《3880》,《暦日0》,七／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3890》,《暦日2》,八／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3900》,《暦日0》,九／,つちのとのう,たいら,,　,●
《3910》,《暦日2》,十／,かのえたつ,さたん,金,　, たねまきよし
《3920》,《暦日0》,十一／,かのとのみ,とる,,　,十し
《3930》,《暦日2》,十二／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3940》,《暦日0》,十三／,みつのとのひつし,あやふ,,　,ふく日
《3950》,《暦日2》,十四／,きのえさる,なる,水,十方くれニ入,大みやう
《3960》,《暦日0》,十五／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《3970》,《暦日2》,十六／,ひのえいぬ,ひらく,土,　,さい下しき 五む日
《3980》,《暦日0》,十七／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《3990》,《暦日1》,十八／,つちのえね,とつ,火,　,きしく くゑ日 きこ ちいみ ふく日
《4000》,《節中》,小寒十二月せつねの六刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《4010》,《暦日1》,十九／,つちのとのうし,たつ,火,　,十し
《4020》,《暦日2》,廿／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《4030》,《暦日0》,廿一／,かのとのう,みつ,,　,神よし  よめとりよし
《4040》,《暦日2》,廿二／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4050》,《暦日0》,廿三／,みつのとのみ,さたん,,天一天上,ちう日
《4060》,《暦日2》,廿四／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《4070》,《暦日0》,廿五／,きのとのひつし,やふる,,　,大みやう 五む日
《4080》,《暦日2》,廿六／,ひのえさる,あやふ,火,　,神よし  木こりよし
《4090》,《暦日0》,廿七／,ひのとのとり,なる,,　,●
《4100》,《暦日2》,廿八／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4110》,《暦日0》,廿九／,つちのとのい,ひらく,,　,ちう日 ふく日
《4120》,《暦日1》,卅／,かのえね,とつ,土,とようとらの七刻ニ入,神よし きこ ちいみ
《4130》,《月序》,十二月,小,建,丁丑,房宿　斗　木よう
《4140》,《暦日1》,一／,かのとのうし,たつ,土,　,十し
《4150》,《暦日2》,二／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4160》,《暦日0》,三／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4170》,《節中》,大寒十二月中うの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4180》,《暦日2》,四／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4190》,《暦日0》,五／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《4200》,《暦日2》,六／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《4210》,《暦日0》,七／,ひのとのひつし,やふる,,　,くゑ日
《4220》,《暦日2》,八／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4230》,《暦日0》,九／,つちのとのとり,なる,,　,●
《4240》,《暦日2》,十／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《4250》,《暦日0》,十一／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《4260》,《暦日2》,十二／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4270》,《暦日0》,十三／,みつのとのうし,たつ,,ま日,十し
《4280》,《暦日2》,十四／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4290》,《暦日0》,十五／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《4300》,《暦日2》,十六／,ひのえたつ,たいら,土,ま日,きしく 大みやう 大くわ 地火
《4310》,《暦日0》,十七／,ひのとのみ,さたん,,せつふん,ちう日 わうまう
《4320》,《暦日1》,十八／,つちのえむま,さたん,火,ま日,神よし  ふねのり 正月ことはしめよし
《4330》,《節中》,立春正月せつむまの初刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4340》,《暦日1》,十九／,つちのとのひつし,とる,火,　,神よし 大みやう  かといて たねまき すゝはらひよし
《4350》,《暦日2》,廿／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《4360》,《暦日0》,廿一／,かのとのとり,あやふ,,　,十し
《4370》,《暦日2》,廿二／,みつのえいぬ,なる,水,ま日,●
《4380》,《暦日0》,廿三／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《4390》,《暦日2》,廿四／,きのえね,ひらく,金,　,ふく日 天火 らうしやく わうまう
《4400》,《暦日0》,廿五／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《4410》,《暦日2》,廿六／,ひのえとら,たつ,火,　, つめとりよし
《4420》,《暦日0》,廿七／,ひのとのう,のそく,,　,神よし  あさまきよし
《4430》,《暦日2》,廿八／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《4440》,《暦日0》,廿九／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《4450》,《暦末》,享保十三年出,立表測景定節氣者
