《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/97 ～ 101
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1710g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1710h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0740》,《暦日2》,廿三／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0750》,《暦日0》,廿四／,つちのとのひつし,さたん,,春分二月中うの七刻,神よし 大みやう ちいみ  たねかしよし
《0760》,《暦日2》,廿五／,かのえさる,とる,木,　,神よし 大みやう
《0770》,《暦日0》,廿六／,かのとのとり,やふる,,ひかんニなる,大みやう くゑ日 ふく日
《0780》,《暦日2》,廿七／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0790》,《暦日0》,廿八／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《0800》,《暦日2》,廿九／,きのえね,おさん,金,　,きしく めつもん
《0810》,《暦日0》,卅／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《0820》,《月序》,三月,大,建,庚辰,畢宿　星　日よう
《0830》,《暦日2》,一／,ひのえとら,とつ,火,　,きこ  つめとりよし
《0840》,《暦日0》,二／,ひのとのう,たつ,,　,さい下しき 天火 らうしやく
《0850》,《暦日2》,三／,つちのえたつ,のそく,木,　,●
《0860》,《暦日0》,四／,つちのとのみ,みつ,,　,十し
《0870》,《暦日2》,五／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0880》,《暦日0》,六／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0890》,《暦日2》,七／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0900》,《暦日0》,八／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0910》,《暦日2》,九／,きのえいぬ,やふる,火,三月せつむまの四刻ニ入, くさかりよし
《0920》,《暦日0》,十／,きのとのい,あやふ,,　,●
《0930》,《暦日2》,十一／,ひのえね,なる,水,　,きこ
《0940》,《暦日0》,十二／,ひのとのうし,おさん,,　,十し
《0950》,《暦日2》,十三／,つちのえとら,ひらく,土,　,天しや よろつよし
《0960》,《暦日0》,十四／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《0970》,《暦日2》,十五／,かのえたつ,たつ,金,　,くゑ日
《0980》,《暦日0》,十六／,かのとのみ,のそく,,　,ちう日
《0990》,《暦日2》,十七／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1000》,《暦日0》,十八／,みつのとのひつし,たいら,,　,めつもん 地火
《1010》,《暦日2》,十九／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1020》,《暦日0》,廿／,きのとのとり,とる,,　,神よし  くさかりよし
《1030》,《暦日2》,廿一／,ひのえいぬ,やふる,土,とようさるの五刻ニ入,五む日
《1040》,《暦日0》,廿二／,ひのとのい,あやふ,,　,●
《1050》,《暦日2》,廿三／,つちのえね,なる,火,　,きこ ふく日
