«1754-0000»,【 カンマ区切りテキスト形式です。】
«1754-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1754-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1754-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1754-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1754-0050»,【 外部リンク　】
«1754-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/43 ～ 48】
«1754-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1754h　(翻刻編集終了データを表成型して表示します)】
«1754-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1754ht (翻刻編集中データを表成型して表示します)】
«1754-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1754-0100»,«版元»,出版地○○,出版元□□□,　
«1754-0650»,«暦日0»,十一〳,かのとのう,のそく,,　,くゑ日
«1754-0660»,«暦日2»,十二〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1754-0670»,«暦日0»,十三〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1754-0680»,«暦日1»,十四〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1754-0690»,«節中»,啓蟄二月せつさるの初刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1754-0700»,«暦日1»,十五〳,きのとのひつし,さたん,金,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1754-0710»,«暦日2»,十六〳,ひのえさる,とる,火,　,神よし
«1754-0720»,«暦日0»,十七〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1754-0730»,«暦日2»,十八〳,つちのえいぬ,あやふ,木,　, かといてよし
«1754-0740»,«暦日0»,十九〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1754-0750»,«暦日2»,廿〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1754-0760»,«暦日0»,廿一〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1754-0770»,«暦日2»,廿二〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1754-0780»,«暦日0»,廿三〳,みつのとのう,たつ,,　,天火 らうしやく
«1754-0790»,«暦日2»,廿四〳,きのえたつ,のそく,火,　,●
«1754-0800»,«暦日0»,廿五〳,きのとのみ,みつ,,　,十し
«1754-0810»,«暦日2»,廿六〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1754-0820»,«暦日0»,廿七〳,ひのとのひつし,さたん,,　,ちいみ わうまう
«1754-0830»,«暦日2»,廿八〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1754-0840»,«暦日0»,廿九〳,つちのとのとり,やふる,,　,大みやう
«1754-0850»,«節中»,春分二月中いぬの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1754-0860»,«暦日1»,卅〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1754-0870»,«月序»,閏二月,小,隨節用之,昴　日よう
«1754-0880»,«暦日1»,一〳,かのとのい,なる,金,ひかんニなる,さい下しき 神よし 大みやう ちう日 ふく日
«1754-0890»,«暦日2»,二〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1754-0900»,«暦日0»,三〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1754-0910»,«暦日2»,四〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1754-0920»,«暦日0»,五〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1754-0930»,«暦日2»,六〳,ひのえたつ,のそく,土,ま日,●
«1754-0940»,«暦日0»,七〳,ひのとのみ,みつ,,　,十し
«1754-0950»,«暦日2»,八〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1754-0960»,«暦日0»,九〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1754-0970»,«暦日2»,十〳,かのえさる,とる,木,　,神よし 大みやう
«1754-0980»,«暦日0»,十一〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1754-0990»,«暦日2»,十二〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1754-1000»,«暦日0»,十三〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1754-1010»,«暦日2»,十四〳,きのえね,おさん,金,　,めつもん
