«1714-0000»,【 カンマ区切りテキスト形式です。】
«1714-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1714-0540»,«暦日0»,三〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1714-0550»,«暦日2»,四〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1714-0560»,«暦日0»,五〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1714-0570»,«暦日2»,六〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1714-0580»,«暦日0»,七〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1714-0590»,«暦日2»,八〳,かのえたつ,のそく,金,春分二月中うの四刻,●
«1714-0600»,«暦日0»,九〳,かのとのみ,みつ,,　,十し
«1714-0610»,«暦日2»,十〳,みつのえむま,たいら,木,ひかんニなる,神よし 大みやう 大くわ 地火
«1714-0620»,«暦日0»,十一〳,みつのとのひつし,さたん,,　,ちいみ
«1714-0630»,«暦日2»,十二〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1714-0640»,«暦日0»,十三〳,きのとのとり,やふる,,　,ふく日
«1714-0650»,«暦日2»,十四〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1714-0660»,«暦日0»,十五〳,ひのとのい,なる,,　,大みやう ちう日
«1714-0670»,«暦日2»,十六〳,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
«1714-0680»,«暦日0»,十七〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1714-0690»,«暦日2»,十八〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1714-0700»,«暦日0»,十九〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1714-0710»,«暦日2»,廿〳,みつのえたつ,のそく,水,　,●
«1714-0720»,«暦日0»,廿一〳,みつのとのみ,みつ,,天一天上,十し
«1714-0730»,«暦日2»,廿二〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1714-0740»,«暦日0»,廿三〳,きのとのひつし,たいら,,三月せつむまの一刻ニ入,大みやう 五む日 めつもん 地火  ものたちよし
«1714-0750»,«暦日2»,廿四〳,ひのえさる,さたん,火,　,くゑ日
«1714-0760»,«暦日0»,廿五〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1714-0770»,«暦日2»,廿六〳,つちのえいぬ,やふる,木,　,ふく日
«1714-0780»,«暦日0»,廿七〳,つちのとのい,あやふ,,　,●
«1714-0790»,«暦日2»,廿八〳,かのえね,なる,土,　,神よし きこ
«1714-0800»,«暦日0»,廿九〳,かのとのうし,おさん,,　,十し
«1714-0810»,«月序»,三月,大,建,戊辰,虛宿　胃　土よう
«1714-0820»,«暦日2»,一〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1714-0830»,«暦日0»,二〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1714-0840»,«暦日2»,三〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1714-0850»,«暦日0»,四〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1714-0860»,«暦日2»,五〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1714-0870»,«暦日0»,六〳,ひのとのひつし,たいら,,とようさるの一刻ニ入,さい下しき 神よし めつもん 地火
«1714-0880»,«暦日2»,七〳,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
«1714-0890»,«暦日0»,八〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1714-0900»,«暦日2»,九〳,かのえいぬ,やふる,金,三月中さるの六刻,大みやう
«1714-0910»,«暦日0»,十〳,かのとのい,あやふ,,　,●
«1714-0920»,«暦日2»,十一〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1714-0930»,«暦日0»,十二〳,みつのとのうし,おさん,,ま日,十し
«1714-0940»,«暦日2»,十三〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
