《1748-0000》,# カンマ区切りテキスト形式です。
《1748-0670》,《暦日2》,十二／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1748-0680》,《暦日0》,十三／,ひのとのう,たつ,,　,天火 らうしやく
《1748-0690》,《暦日2》,十四／,つちのえたつ,のそく,木,　,●
《1748-0700》,《暦日0》,十五／,つちのとのみ,みつ,,　,十し
《1748-0710》,《暦日2》,十六／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1748-0720》,《暦日0》,十七／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1748-0730》,《暦日2》,十八／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1748-0740》,《暦日0》,十九／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1748-0750》,《暦日2》,廿／,きのえいぬ,あやふ,火,　, かといてよし
《1748-0760》,《暦日0》,廿一／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1748-0770》,《暦日2》,廿二／,ひのえね,おさん,水,　,めつもん わうまう  たねかしよし
《1748-0780》,《暦日0》,廿三／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1748-0790》,《暦日1》,廿四／,つちのえとら,とつ,土,社日,天しや よろつよし
《1748-0800》,《節中》,春分二月中むまの初刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1748-0810》,《暦日1》,廿五／,つちのとのう,たつ,土,　,大みやう くゑ日 天火 らうしやく
《1748-0820》,《暦日2》,廿六／,かのえたつ,のそく,金,ひかんニなる,●
《1748-0830》,《暦日0》,廿七／,かのとのみ,みつ,,　,十し
《1748-0840》,《暦日2》,廿八／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1748-0850》,《暦日0》,廿九／,みつのとのひつし,さたん,,　,ちいみ
《1748-0860》,《暦日1》,卅／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《1748-0870》,《月序》,三月,大,建,丙辰,翼宿　婁　金よう
《1748-0880》,《暦日1》,一／,きのとのとり,やふる,水,　,ふく日
《1748-0890》,《暦日2》,二／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1748-0900》,《暦日0》,三／,ひのとのい,なる,,　,大みやう ちう日
《1748-0910》,《暦日2》,四／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《1748-0920》,《暦日0》,五／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1748-0930》,《暦日2》,六／,かのえとら,とつ,木,　,きこ  つめとりよし
《1748-0940》,《暦日0》,七／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1748-0950》,《暦日2》,八／,みつのえたつ,のそく,水,　,●
《1748-0960》,《暦日0》,九／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1748-0970》,《節中》,清明三月せつさるの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1748-0980》,《暦日2》,十／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1748-0990》,《暦日0》,十一／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1748-1000》,《暦日2》,十二／,ひのえさる,さたん,火,　,くゑ日
《1748-1010》,《暦日0》,十三／,ひのとのとり,とる,,　,神よし  いちたちよし
《1748-1020》,《暦日2》,十四／,つちのえいぬ,やふる,木,　,ふく日
《1748-1030》,《暦日0》,十五／,つちのとのい,あやふ,,　,●
《1748-1040》,《暦日2》,十六／,かのえね,なる,土,　,神よし きこ
《1748-1050》,《暦日0》,十七／,かのとのうし,おさん,,　,十し
《1748-1060》,《暦日2》,十八／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1748-1070》,《暦日0》,十九／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1748-1080》,《暦日2》,廿／,きのえたつ,たつ,火,　,大みやう くゑ日
《1748-1090》,《暦日0》,廿一／,きのとのみ,のそく,,とよういぬの六刻ニ入,神よし 大みやう ちう日  ふねのりよし
《1748-1100》,《暦日2》,廿二／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1748-1110》,《暦日0》,廿三／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1748-1120》,《暦日1》,廿四／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1748-1130》,《節中》,穀雨三月中いの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1748-1140》,《暦日1》,廿五／,つちのとのとり,とる,土,　,神よし 大みやう ふく日
《1748-1150》,《暦日2》,廿六／,かのえいぬ,やふる,金,　,大みやう
《1748-1160》,《暦日0》,廿七／,かのとのい,あやふ,,　,●
《1748-1170》,《暦日2》,廿八／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1748-1180》,《暦日0》,廿九／,みつのとのうし,おさん,,ま日,十し
《1748-1190》,《暦日1》,卅／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1748-1200》,《月序》,四月,小,建,丁巳,軫宿　昴　日よう
《1748-1210》,《暦日1》,一／,きのとのう,とつ,水,　,神よし  ものたちよし
《1748-1220》,《暦日2》,二／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1748-1230》,《暦日0》,三／,ひのとのみ,のそく,,　,さい下しき ちう日  いちたちよし
《1748-1240》,《暦日2》,四／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1748-1250》,《暦日0》,五／,つちのとのひつし,たいら,,八十八や,神よし 大みやう ふく日 めつもん 地火
《1748-1260》,《暦日2》,六／,かのえさる,さたん,木,　,きしく 大みやう くゑ日
《1748-1270》,《暦日0》,七／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1748-1280》,《暦日2》,八／,みつのえいぬ,やふる,水,ま日
《1748-1290》,《暦日0》,九／,みつのとのい,あやふ,,八せんのおはり,●
《1748-1300》,《節中》,立夏四月せつ翌うしの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1748-1310》,《暦日2》,十／,きのえね,あやふ,金,　
《1748-1320》,《暦日0》,十一／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1748-1330》,《暦日2》,十二／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1748-1340》,《暦日0》,十三／,ひのとのう,ひらく,,　,神よし  わたましよし
《1748-1350》,《暦日2》,十四／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1748-1360》,《暦日0》,十五／,つちのとのみ,たつ,,　,●
《1748-1370》,《暦日2》,十六／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1748-1380》,《暦日0》,十七／,かのとのひつし,みつ,,　,大みやう くゑ日 わうまう
《1748-1390》,《暦日2》,十八／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1748-1400》,《暦日0》,十九／,みつのとのとり,さたん,,　,十し
《1748-1410》,《暦日2》,廿／,きのえいぬ,とる,火,　, やたて くらたてよし
《1748-1420》,《暦日0》,廿一／,きのとのい,やふる,,　,ちう日
《1748-1430》,《暦日2》,廿二／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1748-1440》,《暦日0》,廿三／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1748-1450》,《暦日2》,廿四／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1748-1460》,《暦日0》,廿五／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1748-1470》,《節中》,小満四月中たつの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1748-1480》,《暦日2》,廿六／,かのえたつ,とつ,金,　, けんふくよし
《1748-1490》,《暦日0》,廿七／,かのとのみ,たつ,,　,●
《1748-1500》,《暦日2》,廿八／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1748-1510》,《暦日0》,廿九／,みつのとのひつし,みつ,,　,くゑ日
《1748-1520》,《月序》,五月,大,建,戊午,角宿　畢　月よう
《1748-1530》,《暦日2》,一／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1748-1540》,《暦日0》,二／,きのとのとり,さたん,,　,十し
《1748-1550》,《暦日2》,三／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1748-1560》,《暦日0》,四／,ひのとのい,やふる,,　,大みやう ちう日
《1748-1570》,《暦日2》,五／,つちのえね,あやふ,火,　,きしく  けんふくよし
《1748-1580》,《暦日0》,六／,つちのとのうし,なる,,　,きこ  つめとりよし
《1748-1590》,《暦日2》,七／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1748-1600》,《暦日0》,八／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1748-1610》,《暦日2》,九／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1748-1620》,《暦日0》,十／,みつのとのみ,たつ,,天一天上,●
《1748-1630》,《暦日1》,十一／,きのえむま,たつ,金,　,天しや よろつよし
《1748-1640》,《節中》,芒種五月せつひつしの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1748-1650》,《暦日1》,十二／,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
《1748-1660》,《暦日2》,十三／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1748-1670》,《暦日0》,十四／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1748-1680》,《暦日2》,十五／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1748-1690》,《暦日0》,十六／,つちのとのい,とる,,　,神よし ちう日
《1748-1700》,《暦日2》,十七／,かのえね,やふる,土,　,●
《1748-1710》,《暦日0》,十八／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1748-1720》,《暦日2》,十九／,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
《1748-1730》,《暦日0》,廿／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1748-1740》,《暦日2》,廿一／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1748-1750》,《暦日0》,廿二／,きのとのみ,とつ,,　,十し
《1748-1760》,《暦日2》,廿三／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1748-1770》,《暦日0》,廿四／,ひのとのひつし,のそく,,　,神よし ふく日
《1748-1780》,《暦日2》,廿五／,つちのえさる,みつ,土,　,神よし  入学よし
《1748-1790》,《暦日0》,廿六／,つちのとのとり,たいら,,　,大みやう めつもん 地火 わうまう
《1748-1800》,《節中》,夏至五月中とりの六刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1748-1810》,《暦日2》,廿七／,かのえいぬ,さたん,金,　,大みやう  かといてよし
