《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0700》,《節中》,春分二月中今暁とらの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0710》,《暦日1》,十六／,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
《0720》,《暦日2》,十七／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0730》,《暦日0》,十八／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0740》,《暦日2》,十九／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《0750》,《暦日0》,廿／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0760》,《暦日2》,廿一／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0770》,《暦日0》,廿二／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0780》,《暦日2》,廿三／,ひのえたつ,のそく,土,ま日,●
《0790》,《暦日0》,廿四／,ひのとのみ,みつ,,　,十し
《0800》,《暦日2》,廿五／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0810》,《暦日0》,廿六／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0820》,《暦日2》,廿七／,かのえさる,とる,木,　,神よし 大みやう
《0830》,《暦日0》,廿八／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0840》,《暦日1》,廿九／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0850》,《月序》,三月,大,建,丙辰,氐宿　昴　日よう
《0860》,《暦日1》,一／,みつのとのい,あやふ,水,八せんのおはり,●
《0870》,《節中》,清明三月せつみの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0880》,《暦日2》,二／,きのえね,なる,金,　,くゑ日 きこ
《0890》,《暦日0》,三／,きのとのうし,おさん,,　,十し
《0900》,《暦日2》,四／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0910》,《暦日0》,五／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0920》,《暦日2》,六／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《0930》,《暦日0》,七／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《0940》,《暦日2》,八／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0950》,《暦日0》,九／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0960》,《暦日2》,十／,みつのえさる,さたん,金,　,大みやう くゑ日
《0970》,《暦日0》,十一／,みつのとのとり,とる,,　,神よし 大みやう
《0980》,《暦日2》,十二／,きのえいぬ,やふる,火,　, くさかりよし
《0990》,《暦日0》,十三／,きのとのい,あやふ,,とようひつしの六刻ニ入,●
《1000》,《暦日2》,十四／,ひのえね,なる,水,　,きこ
《1010》,《暦日0》,十五／,ひのとのうし,おさん,,　,十し
《1020》,《暦日1》,十六／,つちのえとら,ひらく,土,　,天しや よろつよし
《1030》,《節中》,穀雨三月中さるの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1040》,《暦日1》,十七／,つちのとのう,とつ,土,　,神よし 大みやう 天おん ふく日
《1050》,《暦日2》,十八／,かのえたつ,たつ,金,　,くゑ日
《1060》,《暦日0》,十九／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1070》,《暦日2》,廿／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1080》,《暦日0》,廿一／,みつのとのひつし,たいら,,　,天おん めつもん 地火 わうまう
《1090》,《暦日2》,廿二／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1100》,《暦日0》,廿三／,きのとのとり,とる,,　,神よし  くさかりよし
《1110》,《暦日2》,廿四／,ひのえいぬ,やふる,土,　,五む日
