《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日2》,十五／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0700》,《暦日0》,十六／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0710》,《暦日2》,十七／,かのえさる,とる,木,　,神よし 大みやう
《0720》,《暦日0》,十八／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0730》,《暦日2》,十九／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0740》,《暦日0》,廿／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0750》,《暦日2》,廿一／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0760》,《暦日0》,廿二／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0770》,《暦日2》,廿三／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0780》,《暦日0》,廿四／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0790》,《暦日2》,廿五／,つちのえたつ,のそく,木,　,●
《0800》,《暦日0》,廿六／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《0810》,《節中》,清明三月せつうの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0820》,《暦日2》,廿七／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0830》,《暦日0》,廿八／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0840》,《暦日2》,廿九／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《0850》,《暦日0》,卅／,みつのとのとり,とる,,　,神よし 大みやう
《0860》,《月序》,三月,小,建,甲辰,虛宿　星　日よう
《0870》,《暦日2》,一／,きのえいぬ,やふる,火,　, くさかりよし
《0880》,《暦日0》,二／,きのとのい,あやふ,,　,●
《0890》,《暦日2》,三／,ひのえね,なる,水,　,きこ
《0900》,《暦日0》,四／,ひのとのうし,おさん,,　,十し
《0910》,《暦日2》,五／,つちのえとら,ひらく,土,　,天しや よろつよし
《0920》,《暦日0》,六／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0930》,《暦日2》,七／,かのえたつ,たつ,金,　,くゑ日
《0940》,《暦日0》,八／,かのとのみ,のそく,,とようみの七刻ニ入,天おん 母倉 ちう日
《0950》,《暦日2》,九／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0960》,《暦日0》,十／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0970》,《暦日1》,十一／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0980》,《節中》,穀雨三月中むまの三刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《0990》,《暦日1》,十二／,きのとのとり,とる,水,　,神よし  くさかりよし
《1000》,《暦日2》,十三／,ひのえいぬ,やふる,土,　,五む日
《1010》,《暦日0》,十四／,ひのとのい,あやふ,,　,●
《1020》,《暦日2》,十五／,つちのえね,なる,火,　,母倉 きこ ふく日
《1030》,《暦日0》,十六／,つちのとのうし,おさん,,　,十し
《1040》,《暦日2》,十七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1050》,《暦日0》,十八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1060》,《暦日2》,十九／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1070》,《暦日0》,廿／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1080》,《暦日2》,廿一／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1090》,《暦日0》,廿二／,きのとのひつし,たいら,,八十八や,大みやう 五む日 めつもん 地火  ものたちよし
《1100》,《暦日2》,廿三／,ひのえさる,さたん,火,　,くゑ日
《1110》,《暦日0》,廿四／,ひのとのとり,とる,,　,さい下しき 神よし 月とく  いちたちよし
《1120》,《暦日2》,廿五／,つちのえいぬ,やふる,木,　,ふく日
《1130》,《暦日0》,廿六／,つちのとのい,やふる,,　,くゑ日 ちう日
《1140》,《節中》,立夏四月せつさるの八刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1150》,《暦日2》,廿七／,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
《1160》,《暦日0》,廿八／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1170》,《暦日1》,廿九／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1180》,《月序》,四月,小,建,乙巳,危宿　張　月よう
《1190》,《暦日1》,一／,みつのとのう,ひらく,金,　,神よし 母倉  かといて さひらきよし
《1200》,《暦日2》,二／,きのえたつ,とつ,火,　,大みやう
《1210》,《暦日0》,三／,きのとのみ,たつ,,　,●
《1220》,《暦日2》,四／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日 わうまう
《1230》,《暦日0》,五／,ひのとのひつし,みつ,,　,くゑ日
《1240》,《暦日2》,六／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1250》,《暦日0》,七／,つちのとのとり,さたん,,　,十し
《1260》,《暦日2》,八／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1270》,《暦日0》,九／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1280》,《暦日2》,十／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1290》,《暦日0》,十一／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1300》,《暦日1》,十二／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1310》,《節中》,小満四月中いの五刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1320》,《暦日1》,十三／,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
《1330》,《暦日2》,十四／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1340》,《暦日0》,十五／,ひのとのみ,たつ,,　,●
《1350》,《暦日2》,十六／,つちのえむま,のそく,火,ま日,くゑ日
《1360》,《暦日0》,十七／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1370》,《暦日2》,十八／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1380》,《暦日0》,十九／,かのとのとり,さたん,,　,十し
《1390》,《暦日2》,廿／,みつのえいぬ,とる,水,ま日,ふく日
《1400》,《暦日0》,廿一／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1410》,《暦日2》,廿二／,きのえね,あやふ,金,　,天おん
《1420》,《暦日0》,廿三／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1430》,《暦日2》,廿四／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1440》,《暦日0》,廿五／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1450》,《暦日2》,廿六／,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
《1460》,《暦日0》,廿七／,つちのとのみ,たつ,,　,●
《1470》,《暦日1》,廿八／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1480》,《節中》,芒種五月せつ今暁とらの二刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1490》,《暦日1》,廿九／,かのとのひつし,のそく,土,　,大みやう 月とく  ふねのり 井ほりよし
《1500》,《月序》,五月,大,建,丙午,室宿　翼　火よう
《1510》,《暦日2》,一／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1520》,《暦日0》,二／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1530》,《暦日2》,三／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1540》,《暦日0》,四／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1550》,《暦日2》,五／,ひのえね,やふる,水,　,●
《1560》,《暦日0》,六／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1570》,《暦日2》,七／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1580》,《暦日0》,八／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1590》,《暦日2》,九／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1600》,《暦日0》,十／,かのとのみ,とつ,,　,十し
《1610》,《暦日2》,十一／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1620》,《暦日0》,十二／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1630》,《暦日2》,十三／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1640》,《暦日0》,十四／,きのとのとり,たいら,,　,めつもん 地火 わうまう
《1650》,《節中》,夏至五月中たつの七刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1660》,《暦日2》,十五／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1670》,《暦日0》,十六／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1680》,《暦日2》,十七／,つちのえね,やふる,火,　,●
《1690》,《暦日0》,十八／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1700》,《暦日2》,十九／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1710》,《暦日0》,廿／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1720》,《暦日2》,廿一／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1730》,《暦日0》,廿二／,みつのとのみ,とつ,,天一天上,十し
《1740》,《暦日2》,廿三／,きのえむま,たつ,金,　,天しや よろつよし
《1750》,《暦日0》,廿四／,きのとのひつし,のそく,,はんけしやう,大みやう 五む日  むきかりよし
《1760》,《暦日2》,廿五／,ひのえさる,みつ,火,　,神よし きしく 月とく  入学 いちたちよし
《1770》,《暦日0》,廿六／,ひのとのとり,たいら,,　,さい下しき 神よし ふく日 めつもん 地火
《1780》,《暦日2》,廿七／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1790》,《暦日0》,廿八／,つちのとのい,とる,,　,神よし ちう日
《1800》,《暦日1》,廿九／,かのえね,とる,土,　,きこ 下しきたつの時
《1810》,《節中》,小暑六月せつひつしの四刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1820》,《暦日1》,卅／,かのとのうし,やふる,土,　,十し
《1830》,《月序》,六月,小,建,丁未,壁宿　角　木よう
《1840》,《暦日2》,一／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1850》,《暦日0》,二／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1860》,《暦日2》,三／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1870》,《暦日0》,四／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1880》,《暦日2》,五／,ひのえむま,とつ,水,　,●
《1890》,《暦日0》,六／,ひのとのひつし,たつ,,　,くゑ日
《1900》,《暦日2》,七／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1910》,《暦日0》,八／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1920》,《暦日2》,九／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1930》,《暦日0》,十／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1940》,《暦日2》,十一／,みつのえね,とる,木,八せんのはしめ/とようとりの五刻ニ入,天おん きこ 下しきたつの時
《1950》,《暦日0》,十二／,みつのとのうし,やふる,,ま日,十し
《1960》,《暦日2》,十三／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1970》,《暦日0》,十四／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1980》,《節中》,大暑六月中いぬの一刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1990》,《暦日2》,十五／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2000》,《暦日0》,十六／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2010》,《暦日2》,十七／,つちのえむま,とつ,火,ま日,●
《2020》,《暦日0》,十八／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2030》,《暦日2》,十九／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《2040》,《暦日0》,廿／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2050》,《暦日2》,廿一／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2060》,《暦日0》,廿二／,みつのとのい,さたん,,八せんのおはり,ちう日 わうまう
《2070》,《暦日2》,廿三／,きのえね,とる,金,　,きしく 天おん 月とく きこ 下しきたつの時
《2080》,《暦日0》,廿四／,きのとのうし,やふる,,　,十し
