《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2870》,《暦日0》,六／,きのとのい,のそく,,　,ちう日  田かりよし
《2880》,《暦日2》,七／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《2890》,《暦日0》,八／,ひのとのうし,たいら,,　,十し
《2900》,《暦日2》,九／,つちのえとら,さたん,土,　,●
《2910》,《暦日0》,十／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《2920》,《暦日2》,十一／,かのえたつ,やふる,金,　,天おん
《2930》,《暦日0》,十二／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《2940》,《暦日2》,十三／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《2950》,《暦日0》,十四／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《2960》,《暦日2》,十五／,きのえさる,ひらく,水,とよう今暁うしの三刻ニ入/十方くれニ入,大みやう
《2970》,《暦日0》,十六／,きのとのとり,とつ,,　,神よし  田かりよし
《2980》,《暦日2》,十七／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《2990》,《暦日0》,十八／,ひのとのい,のそく,,　,大みやう ちう日
《3000》,《節中》,霜降九月中今暁うしの七刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3010》,《暦日2》,十九／,つちのえね,みつ,火,　,きしく きこ ふく日 天火 らうしやく
《3020》,《暦日0》,廿／,つちのとのうし,たいら,,　,十し
《3030》,《暦日2》,廿一／,かのえとら,さたん,木,　,●
《3040》,《暦日0》,廿二／,かのとのう,とる,,　,くゑ日
《3050》,《暦日2》,廿三／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3060》,《暦日0》,廿四／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3070》,《暦日2》,廿五／,きのえむま,なる,金,　,くゑ日
《3080》,《暦日0》,廿六／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3090》,《暦日2》,廿七／,ひのえさる,ひらく,火,　,くゑ日
《3100》,《暦日0》,廿八／,ひのとのとり,とつ,,　,さい下しき くゑ日 わうまう
《3110》,《暦日2》,廿九／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3120》,《暦日0》,卅／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3130》,《月序》,十月,大,建,辛亥,昴宿　箕　水よう
《3140》,《暦日2》,一／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3150》,《暦日0》,二／,かのとのうし,たいら,,　,十し
《3160》,《暦日1》,三／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3170》,《節中》,立冬十月せつたつの四刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3180》,《暦日1》,四／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《3190》,《暦日2》,五／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3200》,《暦日0》,六／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3210》,《暦日2》,七／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3220》,《暦日0》,八／,ひのとのひつし,なる,,　, 木こりよし
《3230》,《暦日2》,九／,つちのえさる,おさん,土,　,●
《3240》,《暦日0》,十／,つちのとのとり,ひらく,,　,十し
《3250》,《暦日2》,十一／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3260》,《暦日0》,十二／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 わうまう 下しきさるの時
《3270》,《暦日2》,十三／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3280》,《暦日0》,十四／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3290》,《暦日2》,十五／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3300》,《暦日0》,十六／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3310》,《暦日2》,十七／,ひのえたつ,とる,土,ま日,きしく 大みやう ふく日  かといてよし
《3320》,《暦日0》,十八／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3330》,《節中》,小雪十月中ひつしの一刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3340》,《暦日2》,十九／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3350》,《暦日0》,廿／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3360》,《暦日2》,廿一／,かのえさる,おさん,木,　,●
《3370》,《暦日0》,廿二／,かのとのとり,ひらく,,　,十し
《3380》,《暦日2》,廿三／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3390》,《暦日0》,廿四／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3400》,《暦日2》,廿五／,きのえね,のそく,金,　,天しや よろつよし
《3410》,《暦日0》,廿六／,きのとのうし,みつ,,　,くゑ日 きこ
《3420》,《暦日2》,廿七／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3430》,《暦日0》,廿八／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3440》,《暦日2》,廿九／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3450》,《暦日0》,卅／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3460》,《月序》,十一月,大,建,壬子,畢宿　牛　金よう
《3470》,《暦日2》,一／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3480》,《暦日0》,二／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3490》,《暦日1》,三／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3500》,《節中》,大雪十一月せつとりの六刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3510》,《暦日1》,四／,みつのとのとり,おさん,金,　,神よし 大みやう 母倉 大くわ ふく日
《3520》,《暦日2》,五／,きのえいぬ,ひらく,火,　
《3530》,《暦日0》,六／,きのとのい,とつ,,　,ちう日
《3540》,《暦日2》,七／,ひのえね,たつ,水,　, 木こりよし
《3550》,《暦日0》,八／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3560》,《暦日2》,九／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3570》,《暦日0》,十／,つちのとのう,たいら,,　,●
《3580》,《暦日2》,十一／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3590》,《暦日0》,十二／,かのとのみ,とる,,　,十し
《3600》,《暦日2》,十三／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3610》,《暦日0》,十四／,みつのとのひつし,あやふ,,　,天おん ふく日
《3620》,《暦日2》,十五／,きのえさる,なる,水,十方くれニ入,きしく 大みやう 母倉
《3630》,《暦日0》,十六／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3640》,《暦日2》,十七／,ひのえいぬ,ひらく,土,　,五む日
《3650》,《暦日0》,十八／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3660》,《節中》,冬至十一月中今夜ねの三刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3670》,《暦日2》,十九／,つちのえね,たつ,火,　,くゑ日
《3680》,《暦日0》,廿／,つちのとのうし,のそく,,　, つめとりよし
《3690》,《暦日2》,廿一／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3700》,《暦日0》,廿二／,かのとのう,たいら,,　,●
《3710》,《暦日2》,廿三／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3720》,《暦日0》,廿四／,みつのとのみ,とる,,天一天上,十し
《3730》,《暦日2》,廿五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3740》,《暦日0》,廿六／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3750》,《暦日2》,廿七／,ひのえさる,なる,火,　,母倉
《3760》,《暦日0》,廿八／,ひのとのとり,おさん,,　,さい下しき 神よし 母倉 月とく 大くわ ふく日
《3770》,《暦日2》,廿九／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3780》,《暦日0》,卅／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3790》,《月序》,十二月,小,建,癸丑,觜宿　虛　日よう
《3800》,《暦日2》,一／,かのえね,たつ,土,　, 井ほりよし
《3810》,《暦日0》,二／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3820》,《暦日2》,三／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3830》,《暦日0》,四／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3840》,《節中》,小寒十二月せつ今暁とらの八刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3850》,《暦日2》,五／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3860》,《暦日0》,六／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《3870》,《暦日2》,七／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《3880》,《暦日0》,八／,ひのとのひつし,やふる,,　,くゑ日
《3890》,《暦日2》,九／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《3900》,《暦日0》,十／,つちのとのとり,なる,,　,●
《3910》,《暦日2》,十一／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《3920》,《暦日0》,十二／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《3930》,《暦日2》,十三／,みつのえね,とつ,木,八せんのはしめ,きしく くゑ日 きこ ちいみ
《3940》,《暦日0》,十四／,みつのとのうし,たつ,,ま日,十し
《3950》,《暦日2》,十五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《3960》,《暦日0》,十六／,きのとのう,みつ,,とようみの初刻ニ入,神よし 月とく  ものたち 正月ことはしめよし
《3970》,《暦日2》,十七／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《3980》,《暦日0》,十八／,ひのとのみ,さたん,,　,母倉 ちう日
《3990》,《暦日1》,十九／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《4000》,《節中》,大寒十二月中みの五刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4010》,《暦日1》,廿／,つちのとのひつし,やふる,火,　,神よし 大みやう ふく日  かといてよし
《4020》,《暦日2》,廿一／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《4030》,《暦日0》,廿二／,かのとのとり,なる,,　,●
《4040》,《暦日2》,廿三／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4050》,《暦日0》,廿四／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4060》,《暦日2》,廿五／,きのえね,とつ,金,　,天しや よろつよし
《4070》,《暦日0》,廿六／,きのとのうし,たつ,,　,十し
《4080》,《暦日2》,廿七／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4090》,《暦日0》,廿八／,ひのとのう,みつ,,　,神よし 天おん
《4100》,《暦日1》,廿九／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《4110》,《暦末》,文化八年出,立表測景定節氣者
