«1803-0000»,【 カンマ区切りテキスト形式です。】
«1803-0430»,«暦日0»,廿一〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日 わうまう
«1803-0440»,«暦日2»,廿二〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1803-0450»,«暦日0»,廿三〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1803-0460»,«暦日2»,廿四〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1803-0470»,«暦日0»,廿五〳,かのとのう,のそく,,　,くゑ日
«1803-0480»,«暦日2»,廿六〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1803-0490»,«暦日0»,廿七〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1803-0500»,«暦日2»,廿八〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1803-0510»,«暦日0»,廿九〳,きのとのひつし,とる,,　,大みやう 五む日
«1803-0520»,«暦日1»,卅〳,ひのえさる,やふる,火,　,神よし 月とく
«1803-0530»,«節中»,雨水正月中みの六刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1803-0540»,«月序»,閏正月,小,隨節用之,觜　火よう
«1803-0550»,«暦日1»,一〳,ひのとのとり,あやふ,火,　,十し
«1803-0560»,«暦日2»,二〳,つちのえいぬ,なる,木,　,●
«1803-0570»,«暦日0»,三〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1803-0580»,«暦日2»,四〳,かのえね,ひらく,土,　,さい下しき 神よし きしく 母倉 ふく日 天火 らうしやく
«1803-0590»,«暦日0»,五〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1803-0600»,«暦日2»,六〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1803-0610»,«暦日0»,七〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1803-0620»,«暦日2»,八〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1803-0630»,«暦日0»,九〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1803-0640»,«暦日2»,十〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1803-0650»,«暦日0»,十一〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1803-0660»,«暦日2»,十二〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1803-0670»,«暦日0»,十三〳,つちのとのとり,あやふ,,　,十し
«1803-0680»,«暦日2»,十四〳,かのえいぬ,なる,金,　,●
«1803-0690»,«暦日0»,十五〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1803-0700»,«節中»,啓蟄二月せつさるの三刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1803-0710»,«暦日2»,十六〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1803-0720»,«暦日0»,十七〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1803-0730»,«暦日2»,十八〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1803-0740»,«暦日0»,十九〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1803-0750»,«暦日2»,廿〳,ひのえたつ,のそく,土,ま日,●
«1803-0760»,«暦日0»,廿一〳,ひのとのみ,みつ,,　,十し
