«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-0630»,«暦日2»,九〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1783-0640»,«暦日0»,十〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1783-0650»,«暦日2»,十一〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1783-0660»,«暦日0»,十二〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1783-0670»,«暦日2»,十三〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1783-0680»,«暦日0»,十四〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1783-0690»,«暦日2»,十五〳,ひのえね,おさん,水,ひかんニなる,母倉 めつもん  たねかしよし
«1783-0700»,«暦日0»,十六〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1783-0710»,«暦日2»,十七〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1783-0720»,«暦日0»,十八〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく わうまう
«1783-0730»,«暦日2»,十九〳,かのえたつ,のそく,金,　,●
«1783-0740»,«暦日0»,廿〳,かのとのみ,みつ,,　,十し
«1783-0750»,«節中»,春分二月中今夜ねの四刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1783-0760»,«暦日2»,廿一〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1783-0770»,«暦日0»,廿二〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1783-0780»,«暦日2»,廿三〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1783-0790»,«暦日0»,廿四〳,きのとのとり,やふる,,　,ふく日
«1783-0800»,«暦日2»,廿五〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1783-0810»,«暦日0»,廿六〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1783-0820»,«暦日2»,廿七〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1783-0830»,«暦日0»,廿八〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1783-0840»,«暦日2»,廿九〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1783-0850»,«暦日0»,卅〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1783-0860»,«月序»,三月,小,建,丙辰,翼宿　箕　水よう
«1783-0870»,«暦日2»,一〳,みつのえたつ,のそく,水,　,●
«1783-0880»,«暦日0»,二〳,みつのとのみ,みつ,,天一天上,十し
«1783-0890»,«暦日2»,三〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1783-0900»,«暦日0»,四〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1783-0910»,«暦日2»,五〳,ひのえさる,とる,火,　,神よし
«1783-0920»,«暦日0»,六〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1783-0930»,«節中»,清明三月せつうの一刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1783-0940»,«暦日2»,七〳,つちのえいぬ,やふる,木,　,ふく日
«1783-0950»,«暦日0»,八〳,つちのとのい,あやふ,,　,●
«1783-0960»,«暦日2»,九〳,かのえね,なる,土,　,神よし きこ
«1783-0970»,«暦日0»,十〳,かのとのうし,おさん,,　,十し
«1783-0980»,«暦日2»,十一〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1783-0990»,«暦日0»,十二〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1783-1000»,«暦日2»,十三〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1783-1010»,«暦日0»,十四〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1783-1020»,«暦日2»,十五〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1783-1030»,«暦日0»,十六〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1783-1040»,«暦日2»,十七〳,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
«1783-1050»,«暦日0»,十八〳,つちのとのとり,とる,,とようみの二刻ニ入,神よし 大みやう 天おん ふく日
«1783-1060»,«暦日2»,十九〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1783-1070»,«暦日0»,廿〳,かのとのい,あやふ,,　,●
«1783-1080»,«暦日1»,廿一〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1783-1090»,«節中»,穀雨三月中みの六刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1783-1100»,«暦日1»,廿二〳,みつのとのうし,おさん,木,ま日,十し
«1783-1110»,«暦日2»,廿三〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1783-1120»,«暦日0»,廿四〳,きのとのう,とつ,,　,神よし  ものたちよし
«1783-1130»,«暦日2»,廿五〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1783-1140»,«暦日0»,廿六〳,ひのとのみ,のそく,,　,母倉 月とく ちう日 わうまう  いちたちよし
«1783-1150»,«暦日2»,廿七〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1783-1160»,«暦日0»,廿八〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1783-1170»,«暦日1»,廿九〳,かのえさる,さたん,木,　,大みやう くゑ日
«1783-1180»,«月序»,四月,大,建,丁巳,軫宿　斗　木よう
«1783-1190»,«暦日1»,一〳,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
«1783-1200»,«暦日2»,二〳,みつのえいぬ,やふる,水,ま日,月とく
«1783-1210»,«暦日0»,三〳,みつのとのい,あやふ,,八十八や|八せんのおはり,●
«1783-1220»,«暦日2»,四〳,きのえね,なる,金,　,くゑ日 きこ
«1783-1230»,«暦日0»,五〳,きのとのうし,おさん,,　,十し
«1783-1240»,«暦日2»,六〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1783-1250»,«暦日0»,七〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1783-1260»,«節中»,立夏四月せつさるの三刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1783-1270»,«暦日2»,八〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1783-1280»,«暦日0»,九〳,つちのとのみ,たつ,,　,●
«1783-1290»,«暦日2»,十〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1783-1300»,«暦日0»,十一〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1783-1310»,«暦日2»,十二〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1783-1320»,«暦日0»,十三〳,みつのとのとり,さたん,,　,十し
«1783-1330»,«暦日2»,十四〳,きのえいぬ,とる,火,　,わうまう  やたて くらたてよし
«1783-1340»,«暦日0»,十五〳,きのとのい,やふる,,　,月とく ちう日
«1783-1350»,«暦日2»,十六〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1783-1360»,«暦日0»,十七〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1783-1370»,«暦日2»,十八〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1783-1380»,«暦日0»,十九〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1783-1390»,«暦日2»,廿〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1783-1400»,«暦日0»,廿一〳,かのとのみ,たつ,,　,●
«1783-1410»,«暦日1»,廿二〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1783-1420»,«節中»,小満四月中いぬの八刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1783-1430»,«暦日1»,廿三〳,みつのとのひつし,みつ,木,　,くゑ日
«1783-1440»,«暦日2»,廿四〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1783-1450»,«暦日0»,廿五〳,きのとのとり,さたん,,　,十し
«1783-1460»,«暦日2»,廿六〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1783-1470»,«暦日0»,廿七〳,ひのとのい,やふる,,　,大みやう ちう日
