«1707-0000»,【 カンマ区切りテキスト形式です。】
«1707-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1707-0670»,«暦日0»,十六〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1707-0680»,«暦日2»,十七〳,かのえね,おさん,土,　,さい下しき 神よし めつもん  よめとり たねかしよし
«1707-0690»,«暦日0»,十八〳,かのとのうし,ひらく,,　,五む日 ふく日 わうまう  ものたち  つめとりよし
«1707-0700»,«暦日2»,十九〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1707-0710»,«暦日0»,廿〳,みつのとのう,たつ,,春分二月中ひつしの一刻,天火 らうしやく
«1707-0720»,«暦日2»,廿一〳,きのえたつ,のそく,火,　,●
«1707-0730»,«暦日0»,廿二〳,きのとのみ,みつ,,ひかんニなる,十し
«1707-0740»,«暦日2»,廿三〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1707-0750»,«暦日0»,廿四〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1707-0760»,«暦日2»,廿五〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1707-0770»,«暦日0»,廿六〳,つちのとのとり,やふる,,　,大みやう
«1707-0780»,«暦日2»,廿七〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1707-0790»,«暦日0»,廿八〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1707-0800»,«暦日2»,廿九〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく めつもん  あさまきよし
«1707-0810»,«暦日0»,卅〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1707-0820»,«月序»,三月,小,建,甲辰,虛宿　星　日よう
«1707-0830»,«暦日2»,一〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1707-0840»,«暦日0»,二〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1707-0850»,«暦日2»,三〳,ひのえたつ,のそく,土,ま日,●
«1707-0860»,«暦日0»,四〳,ひのとのみ,みつ,,　,十し
«1707-0870»,«暦日2»,五〳,つちのえむま,みつ,火,三月せつとりの六刻ニ入|ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1707-0880»,«暦日0»,六〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1707-0890»,«暦日2»,七〳,かのえさる,さたん,木,　,大みやう くゑ日
«1707-0900»,«暦日0»,八〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1707-0910»,«暦日2»,九〳,みつのえいぬ,やふる,水,ま日
«1707-0920»,«暦日0»,十〳,みつのとのい,あやふ,,八せんのおはり,●
«1707-0930»,«暦日2»,十一〳,きのえね,なる,金,　,くゑ日 きこ
«1707-0940»,«暦日0»,十二〳,きのとのうし,おさん,,　,十し
