«1746-0660»,«暦日0»,九〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1746-0670»,«暦日2»,十〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1746-0680»,«暦日0»,十一〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1746-0690»,«暦日2»,十二〳,つちのえとら,とつ,土,　,天しや よろつよし
«1746-0700»,«暦日0»,十三〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1746-0710»,«暦日2»,十四〳,かのえたつ,のそく,金,　,●
«1746-0720»,«暦日0»,十五〳,かのとのみ,みつ,,　,十し
«1746-0730»,«暦日1»,十六〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1746-0740»,«節中»,清明三月せつ翌とらの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1746-0750»,«暦日1»,十七〳,みつのとのひつし,たいら,木,　,めつもん 地火
«1746-0760»,«暦日2»,十八〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1746-0770»,«暦日0»,十九〳,きのとのとり,とる,,　,神よし  くさかりよし
«1746-0780»,«暦日2»,廿〳,ひのえいぬ,やふる,土,　,五む日
«1746-0790»,«暦日0»,廿一〳,ひのとのい,あやふ,,　,●
«1746-0800»,«暦日2»,廿二〳,つちのえね,なる,火,　,きこ ふく日
«1746-0810»,«暦日0»,廿三〳,つちのとのうし,おさん,,　,十し
«1746-0820»,«暦日2»,廿四〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1746-0830»,«暦日0»,廿五〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1746-0840»,«暦日2»,廿六〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1746-0850»,«暦日0»,廿七〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1746-0860»,«暦日2»,廿八〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1746-0870»,«暦日0»,廿九〳,きのとのひつし,たいら,,とようたつの八刻ニ入,大みやう 五む日 めつもん 地火  ものたちよし
«1746-0880»,«暦日1»,卅〳,ひのえさる,さたん,火,　,くゑ日
«1746-0890»,«月序»,三月,小,建,壬辰,氐宿　斗　木よう
«1746-0900»,«暦日1»,一〳,ひのとのとり,とる,火,　,神よし  いちたちよし
«1746-0910»,«暦日1»,二〳,つちのえいぬ,やふる,木,　,ふく日
«1746-0920»,«節中»,穀雨三月中みの四刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1746-0930»,«暦日1»,三〳,つちのとのい,あやふ,木,　,●
«1746-0940»,«暦日2»,四〳,かのえね,なる,土,　,神よし きこ
«1746-0950»,«暦日0»,五〳,かのとのうし,おさん,,　,十し
«1746-0960»,«暦日2»,六〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1746-0970»,«暦日0»,七〳,みつのとのう,とつ,,　,わうまう  けんふく かといてよし
«1746-0980»,«暦日2»,八〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1746-0990»,«暦日0»,九〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1746-1000»,«暦日2»,十〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1746-1010»,«暦日0»,十一〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1746-1020»,«暦日2»,十二〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1746-1030»,«暦日0»,十三〳,つちのとのとり,とる,,八十八や,神よし 大みやう ふく日
«1746-1040»,«暦日2»,十四〳,かのえいぬ,やふる,金,　,大みやう
«1746-1050»,«暦日0»,十五〳,かのとのい,あやふ,,　,●
«1746-1060»,«暦日2»,十六〳,みつのえね,なる,木,八せんのはしめ,神よし きしく きこ
«1746-1070»,«暦日0»,十七〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1746-1080»,«節中»,立夏四月せつさるの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1746-1090»,«暦日2»,十八〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1746-1100»,«暦日0»,十九〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1746-1110»,«暦日2»,廿〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1746-1120»,«暦日0»,廿一〳,ひのとのみ,たつ,,　,●
«1746-1130»,«暦日2»,廿二〳,つちのえむま,のそく,火,ま日,くゑ日
«1746-1140»,«暦日0»,廿三〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1746-1150»,«暦日2»,廿四〳,かのえさる,たいら,木,　,大みやう ちいみ 大くわ 地火 わうまう
«1746-1160»,«暦日0»,廿五〳,かのとのとり,さたん,,　,十し
«1746-1170»,«暦日2»,廿六〳,みつのえいぬ,とる,水,ま日,ふく日
«1746-1180»,«暦日0»,廿七〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1746-1190»,«暦日2»,廿八〳,きのえね,あやふ,金,　
«1746-1200»,«暦日0»,廿九〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1746-1210»,«月序»,四月,大,建,癸巳,房宿　牛　金よう
«1746-1220»,«暦日2»,一〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1746-1230»,«暦日0»,二〳,ひのとのう,ひらく,,　,さい下しき 神よし  わたましよし
«1746-1240»,«暦日1»,三〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1746-1250»,«節中»,小満四月中いぬの六刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1746-1260»,«暦日1»,四〳,つちのとのみ,たつ,木,　,●
«1746-1270»,«暦日2»,五〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1746-1280»,«暦日0»,六〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1746-1290»,«暦日2»,七〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1746-1300»,«暦日0»,八〳,みつのとのとり,さたん,,　,十し
«1746-1310»,«暦日2»,九〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1746-1320»,«暦日0»,十〳,きのとのい,やふる,,　,ちう日
«1746-1330»,«暦日2»,十一〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1746-1340»,«暦日0»,十二〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1746-1350»,«暦日2»,十三〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1746-1360»,«暦日0»,十四〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1746-1370»,«暦日2»,十五〳,かのえたつ,とつ,金,　,きしく  けんふくよし
«1746-1380»,«暦日0»,十六〳,かのとのみ,たつ,,　,●
«1746-1390»,«暦日2»,十七〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1746-1400»,«暦日0»,十八〳,みつのとのひつし,みつ,,　,くゑ日
«1746-1410»,«節中»,芒種五月せつ翌うしの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1746-1420»,«暦日2»,十九〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1746-1430»,«暦日0»,廿〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1746-1440»,«暦日2»,廿一〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1746-1450»,«暦日0»,廿二〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1746-1460»,«暦日2»,廿三〳,つちのえね,やふる,火,　,●
«1746-1470»,«暦日0»,廿四〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1746-1480»,«暦日2»,廿五〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1746-1490»,«暦日0»,廿六〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
