«1797-0000»,【 カンマ区切りテキスト形式です。】
«1797-0640»,«節中»,啓蟄二月せつ今暁とらの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1797-0650»,«暦日1»,十〳,かのとのみ,みつ,金,　,十し
«1797-0660»,«暦日2»,十一〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1797-0670»,«暦日0»,十二〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1797-0680»,«暦日2»,十三〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1797-0690»,«暦日0»,十四〳,きのとのとり,やふる,,　,ふく日
«1797-0700»,«暦日2»,十五〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1797-0710»,«暦日0»,十六〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1797-0720»,«暦日2»,十七〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1797-0730»,«暦日0»,十八〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1797-0740»,«暦日2»,十九〳,かのえとら,とつ,木,ひかんニなる,きこ  つめとりよし
«1797-0750»,«暦日0»,廿〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1797-0760»,«暦日2»,廿一〳,みつのえたつ,のそく,水,　,●
«1797-0770»,«暦日0»,廿二〳,みつのとのみ,みつ,,天一天上,十し
«1797-0780»,«暦日2»,廿三〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1797-0790»,«暦日0»,廿四〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1797-0800»,«節中»,春分二月中みの初刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1797-0810»,«暦日2»,廿五〳,ひのえさる,とる,火,　,神よし
«1797-0820»,«暦日0»,廿六〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1797-0830»,«暦日2»,廿七〳,つちのえいぬ,あやふ,木,社日, かといてよし
«1797-0840»,«暦日0»,廿八〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1797-0850»,«暦日1»,廿九〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1797-0860»,«月序»,三月,大,建,甲辰,翼宿　觜　火よう
«1797-0870»,«暦日1»,一〳,かのとのうし,ひらく,土,　,五む日 ふく日  ものたち  つめとりよし
«1797-0880»,«暦日2»,二〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1797-0890»,«暦日0»,三〳,みつのとのう,たつ,,　,天火 らうしやく
«1797-0900»,«暦日2»,四〳,きのえたつ,のそく,火,　,●
«1797-0910»,«暦日0»,五〳,きのとのみ,みつ,,　,十し
«1797-0920»,«暦日2»,六〳,ひのえむま,たいら,水,　,さい下しき 神よし 大みやう 大くわ 地火
«1797-0930»,«暦日0»,七〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1797-0940»,«暦日2»,八〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1797-0950»,«暦日0»,九〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1797-0960»,«暦日1»,十〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1797-0970»,«節中»,清明三月せつひつしの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1797-0980»,«暦日1»,十一〳,かのとのい,あやふ,金,　,●
«1797-0990»,«暦日2»,十二〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1797-1000»,«暦日0»,十三〳,みつのとのうし,おさん,,ま日,十し
«1797-1010»,«暦日2»,十四〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1797-1020»,«暦日0»,十五〳,きのとのう,とつ,,　,神よし  ものたちよし
«1797-1030»,«暦日2»,十六〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1797-1040»,«暦日0»,十七〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1797-1050»,«暦日2»,十八〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1797-1060»,«暦日0»,十九〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1797-1070»,«暦日2»,廿〳,かのえさる,さたん,木,　,大みやう くゑ日
«1797-1080»,«暦日0»,廿一〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1797-1090»,«暦日2»,廿二〳,みつのえいぬ,やふる,水,ま日|とようとりの六刻ニ入,月とく
«1797-1100»,«暦日0»,廿三〳,みつのとのい,あやふ,,八せんのおはり,●
«1797-1110»,«暦日2»,廿四〳,きのえね,なる,金,　,くゑ日 きこ
«1797-1120»,«暦日0»,廿五〳,きのとのうし,おさん,,　,十し
«1797-1130»,«節中»,穀雨三月中いぬの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1797-1140»,«暦日2»,廿六〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1797-1150»,«暦日0»,廿七〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1797-1160»,«暦日2»,廿八〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1797-1170»,«暦日0»,廿九〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1797-1180»,«暦日1»,卅〳,かのえむま,みつ,土,　,母倉 天火 らうしやく わうまう  みそすつくりよし
«1797-1190»,«月序»,四月,小,建,乙巳,軫宿　井　木よう
«1797-1200»,«暦日1»,一〳,かのとのひつし,たいら,土,　,大みやう めつもん 地火
«1797-1210»,«暦日2»,二〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1797-1220»,«暦日0»,三〳,みつのとのとり,とる,,　,神よし 大みやう
«1797-1230»,«暦日2»,四〳,きのえいぬ,やふる,火,　, くさかりよし
«1797-1240»,«暦日0»,五〳,きのとのい,あやふ,,　,●
«1797-1250»,«暦日2»,六〳,ひのえね,なる,水,八十八や,きこ
«1797-1260»,«暦日0»,七〳,ひのとのうし,おさん,,　,十し
«1797-1270»,«暦日2»,八〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1797-1280»,«暦日0»,九〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1797-1290»,«暦日2»,十〳,かのえたつ,たつ,金,　,くゑ日
«1797-1300»,«暦日0»,十一〳,かのとのみ,たつ,,　,●
«1797-1310»,«節中»,立夏四月せつ今暁ねの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1797-1320»,«暦日2»,十二〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1797-1330»,«暦日0»,十三〳,みつのとのひつし,みつ,,　,くゑ日
«1797-1340»,«暦日2»,十四〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1797-1350»,«暦日0»,十五〳,きのとのとり,さたん,,　,十し
