«1805-0000»,【 カンマ区切りテキスト形式です。】
«1805-2030»,«暦日2»,十八〳,かのえむま,とつ,土,初伏,●
«1805-2040»,«暦日0»,十九〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1805-2050»,«暦日2»,廿〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1805-2060»,«暦日0»,廿一〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1805-2070»,«暦日2»,廿二〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1805-2080»,«暦日0»,廿三〳,きのとのい,さたん,,　,ちう日
«1805-2090»,«暦日2»,廿四〳,ひのえね,とる,水,とよう今暁うしの二刻ニ入,きこ 下しきたつの時
«1805-2100»,«暦日0»,廿五〳,ひのとのうし,やふる,,　,十し
«1805-2110»,«暦日2»,廿六〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1805-2120»,«暦日0»,廿七〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1805-2130»,«節中»,大暑六月中今暁うしの六刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1805-2140»,«暦日2»,廿八〳,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
«1805-2150»,«暦日0»,廿九〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1805-2160»,«月序»,七月,小,建,甲申,奎宿　牛　金よう
«1805-2170»,«暦日2»,一〳,みつのえむま,とつ,木,　,●
«1805-2180»,«暦日0»,二〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1805-2190»,«暦日2»,三〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1805-2200»,«暦日0»,四〳,きのとのとり,みつ,,　,神よし ちいみ
«1805-2210»,«暦日2»,五〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火 わうまう
«1805-2220»,«暦日0»,六〳,ひのとのい,さたん,,　,大みやう ちう日
«1805-2230»,«暦日2»,七〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1805-2240»,«暦日0»,八〳,つちのとのうし,やふる,,　,十し
«1805-2250»,«暦日2»,九〳,かのえとら,あやふ,木,　,さい下しき 母倉  やたて  つめとりよし
«1805-2260»,«暦日0»,十〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1805-2270»,«暦日2»,十一〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1805-2280»,«暦日0»,十二〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1805-2290»,«暦日1»,十三〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1805-2300»,«節中»,立秋七月せつたつの三刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1805-2310»,«暦日1»,十四〳,きのとのひつし,とつ,金,　,大みやう 母倉 五む日
«1805-2320»,«暦日2»,十五〳,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
«1805-2330»,«暦日0»,十六〳,ひのとのとり,のそく,,　,十し
«1805-2340»,«暦日2»,十七〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1805-2350»,«暦日0»,十八〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1805-2360»,«暦日2»,十九〳,かのえね,さたん,土,末伏,神よし ふく日
«1805-2370»,«暦日0»,廿〳,かのとのうし,とる,,　,●
«1805-2380»,«暦日2»,廿一〳,みつのえとら,やふる,金,　,大みやう 月とく わうまう  やたて  つめとりよし
«1805-2390»,«暦日0»,廿二〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1805-2400»,«暦日2»,廿三〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1805-2410»,«暦日0»,廿四〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1805-2420»,«暦日2»,廿五〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1805-2430»,«暦日0»,廿六〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1805-2440»,«暦日2»,廿七〳,つちのえさる,たつ,土,　,天しや よろつよし
«1805-2450»,«暦日0»,廿八〳,つちのとのとり,のそく,,　,十し
«1805-2460»,«節中»,処暑七月中むまの八刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1805-2470»,«暦日1»,廿九〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1805-2480»,«月序»,八月,大,建,乙酉,婁宿　女　土よう
«1805-2490»,«暦日1»,一〳,かのとのい,たいら,金,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1805-2500»,«暦日2»,二〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1805-2510»,«暦日0»,三〳,みつのとのうし,とる,,ま日,●
«1805-2520»,«暦日2»,四〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1805-2530»,«暦日0»,五〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1805-2540»,«暦日2»,六〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1805-2550»,«暦日0»,七〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1805-2560»,«暦日2»,八〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1805-2570»,«暦日0»,九〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1805-2580»,«暦日2»,十〳,かのえさる,たつ,木,二百十日,大みやう くゑ日 ふく日 下しきみの時
«1805-2590»,«暦日0»,十一〳,かのとのとり,のそく,,　,十し
«1805-2600»,«暦日2»,十二〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1805-2610»,«暦日0»,十三〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1805-2620»,«暦日1»,十四〳,きのえね,たいら,金,　,きしく 天おん 大くわ 地火  わたましよし
«1805-2630»,«節中»,白露八月せつとりの五刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1805-2640»,«暦日1»,十五〳,きのとのうし,さたん,金,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1805-2650»,«暦日2»,十六〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1805-2660»,«暦日0»,十七〳,ひのとのう,やふる,,　,天おん  田かりよし
«1805-2670»,«暦日2»,十八〳,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
«1805-2680»,«暦日0»,十九〳,つちのとのみ,なる,,　,十し
«1805-2690»,«暦日2»,廿〳,かのえむま,おさん,土,二百廿日,月とく めつもん  竹木こりよし
«1805-2700»,«暦日0»,廿一〳,かのとのひつし,ひらく,,　,●
«1805-2710»,«暦日2»,廿二〳,みつのえさる,とつ,金,　,神よし 大みやう
«1805-2720»,«暦日0»,廿三〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1805-2730»,«暦日2»,廿四〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1805-2740»,«暦日0»,廿五〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1805-2750»,«暦日2»,廿六〳,ひのえね,たいら,水,　,大くわ 地火
