《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2910》,《暦日2》,十一／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2920》,《暦日0》,十二／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2930》,《暦日2》,十三／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2940》,《暦日0》,十四／,きのとのう,やふる,,　,くゑ日 ふく日
《2950》,《暦日2》,十五／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2960》,《暦日0》,十六／,ひのとのみ,なる,,　,十し
《2970》,《暦日2》,十七／,つちのえむま,おさん,火,ま日,めつもん
《2980》,《暦日0》,十八／,つちのとのひつし,ひらく,,　,●
《2990》,《暦日2》,十九／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《3000》,《暦日0》,廿／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《3010》,《暦日2》,廿一／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《3020》,《暦日0》,廿二／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《3030》,《暦日1》,廿三／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3040》,《節中》,寒露九月せつたつの二刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《3050》,《暦日1》,廿四／,きのとのうし,たいら,金,　,十し
《3060》,《暦日2》,廿五／,ひのえとら,さたん,火,　,●
《3070》,《暦日0》,廿六／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3080》,《暦日2》,廿七／,つちのえたつ,やふる,木,　,きしく 天おん 五む日 ふく日
《3090》,《暦日0》,廿八／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3100》,《暦日2》,廿九／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3110》,《暦日0》,卅／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3120》,《月序》,九月,大,建,庚戌,星宿　翼　火よう
《3130》,《暦日2》,一／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3140》,《暦日0》,二／,みつのとのとり,とつ,,　,神よし 大みやう
《3150》,《暦日2》,三／,きのえいぬ,たつ,火,　,くゑ日
《3160》,《暦日0》,四／,きのとのい,のそく,,　,ちう日  田かりよし
《3170》,《暦日2》,五／,ひのえね,みつ,水,とようむまの三刻ニ入,月とく きこ 天火 らうしやく
《3180》,《暦日0》,六／,ひのとのうし,たいら,,　,十し
《3190》,《暦日2》,七／,つちのえとら,さたん,土,　,●
《3200》,《暦日0》,八／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3210》,《節中》,霜降九月中むまの八刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3220》,《暦日2》,九／,かのえたつ,やふる,金,　,天おん
《3230》,《暦日0》,十／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3240》,《暦日2》,十一／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3250》,《暦日0》,十二／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3260》,《暦日2》,十三／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3270》,《暦日0》,十四／,きのとのとり,とつ,,　,神よし  田かりよし
《3280》,《暦日2》,十五／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3290》,《暦日0》,十六／,ひのとのい,のそく,,　,大みやう ちう日
《3300》,《暦日2》,十七／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3310》,《暦日0》,十八／,つちのとのうし,たいら,,　,十し
《3320》,《暦日2》,十九／,かのえとら,さたん,木,　,●
《3330》,《暦日0》,廿／,かのとのう,とる,,　,くゑ日
《3340》,《暦日2》,廿一／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3350》,《暦日0》,廿二／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3360》,《暦日1》,廿三／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3370》,《節中》,立冬十月せつとりの四刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3380》,《暦日1》,廿四／,きのとのひつし,なる,金,　,大みやう 五む日  みそさけつくり 木こりよし
《3390》,《暦日2》,廿五／,ひのえさる,おさん,火,　,●
《3400》,《暦日0》,廿六／,ひのとのとり,ひらく,,　,十し
《3410》,《暦日2》,廿七／,つちのえいぬ,とつ,木,　,くゑ日
《3420》,《暦日0》,廿八／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3430》,《暦日2》,廿九／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3440》,《暦日0》,卅／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3450》,《月序》,十月,小,建,辛亥,張宿　角　木よう
《3460》,《暦日2》,一／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3470》,《暦日0》,二／,みつのとのう,さたん,,　,天火 らうしやく わうまう
《3480》,《暦日2》,三／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3490》,《暦日0》,四／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3500》,《暦日2》,五／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3510》,《暦日0》,六／,ひのとのひつし,なる,,　,さい下しき  木こりよし
《3520》,《暦日2》,七／,つちのえさる,おさん,土,　,●
《3530》,《暦日0》,八／,つちのとのとり,ひらく,,　,十し
《3540》,《節中》,小雪十月中今夜ねの一刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3550》,《暦日2》,九／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3560》,《暦日0》,十／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3570》,《暦日2》,十一／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3580》,《暦日0》,十二／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3590》,《暦日2》,十三／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3600》,《暦日0》,十四／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3610》,《暦日2》,十五／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3620》,《暦日0》,十六／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3630》,《暦日2》,十七／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3640》,《暦日0》,十八／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3650》,《暦日2》,十九／,かのえさる,おさん,木,　,●
《3660》,《暦日0》,廿／,かのとのとり,ひらく,,　,十し
《3670》,《暦日2》,廿一／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3680》,《暦日0》,廿二／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3690》,《暦日2》,廿三／,きのえね,のそく,金,　,天しや よろつよし
《3700》,《暦日0》,廿四／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3710》,《節中》,大雪十一月せつ今暁とらの六刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3720》,《暦日2》,廿五／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3730》,《暦日0》,廿六／,ひのとのう,たいら,,　,●
《3740》,《暦日2》,廿七／,つちのえたつ,さたん,木,　,天おん 五む日
《3750》,《暦日0》,廿八／,つちのとのみ,とる,,　,十し
《3760》,《暦日1》,廿九／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3770》,《月序》,十一月,大,建,壬子,翼宿　亢　金よう
《3780》,《暦日1》,一／,かのとのひつし,あやふ,土,　,大みやう  かとたてよし
《3790》,《暦日2》,二／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3800》,《暦日0》,三／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3810》,《暦日2》,四／,きのえいぬ,ひらく,火,　
《3820》,《暦日0》,五／,きのとのい,とつ,,　,ちう日
《3830》,《暦日2》,六／,ひのえね,たつ,水,　, 木こりよし
《3840》,《暦日0》,七／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3850》,《暦日2》,八／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3860》,《暦日0》,九／,つちのとのう,たいら,,　,●
《3870》,《暦日1》,十／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3880》,《節中》,冬至十一月中みの三刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3890》,《暦日1》,十一／,かのとのみ,とる,金,　,十し
《3900》,《暦日2》,十二／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3910》,《暦日0》,十三／,みつのとのひつし,あやふ,,　,天おん ふく日
《3920》,《暦日2》,十四／,きのえさる,なる,水,十方くれニ入,大みやう 母倉 わうまう
《3930》,《暦日0》,十五／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3940》,《暦日2》,十六／,ひのえいぬ,ひらく,土,　,五む日
《3950》,《暦日0》,十七／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3960》,《暦日2》,十八／,つちのえね,たつ,火,　,くゑ日
《3970》,《暦日0》,十九／,つちのとのうし,のそく,,　, つめとりよし
《3980》,《暦日2》,廿／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3990》,《暦日0》,廿一／,かのとのう,たいら,,　,●
《4000》,《暦日2》,廿二／,みつのえたつ,さたん,水,　,きしく 大みやう 月とく 五む日  木こりよし
《4010》,《暦日0》,廿三／,みつのとのみ,とる,,天一天上,十し
《4020》,《暦日2》,廿四／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《4030》,《暦日0》,廿五／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4040》,《節中》,小寒十二月せつさるの初刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《4050》,《暦日2》,廿六／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4060》,《暦日0》,廿七／,ひのとのとり,なる,,　,●
《4070》,《暦日2》,廿八／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4080》,《暦日0》,廿九／,つちのとのい,ひらく,,　,ちう日 ふく日
《4090》,《暦日1》,卅／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《4100》,《月序》,十二月,大,建,癸丑,軫宿　房　日よう
《4110》,《暦日1》,一／,かのとのうし,たつ,土,　,十し
《4120》,《暦日2》,二／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4130》,《暦日0》,三／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4140》,《暦日2》,四／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4150》,《暦日0》,五／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4160》,《暦日2》,六／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《4170》,《暦日0》,七／,ひのとのひつし,やふる,,とよういぬの一刻ニ入,さい下しき くゑ日
《4180》,《暦日2》,八／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4190》,《暦日0》,九／,つちのとのとり,なる,,　,●
《4200》,《暦日1》,十／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4210》,《節中》,大寒十二月中いぬの五刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4220》,《暦日1》,十一／,かのとのい,ひらく,金,　,大みやう 天おん ちう日  正月ことはしめよし
《4230》,《暦日2》,十二／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4240》,《暦日0》,十三／,みつのとのうし,たつ,,ま日,十し
《4250》,《暦日2》,十四／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4260》,《暦日0》,十五／,きのとのう,みつ,,　,月とく
《4270》,《食記》,月そく皆既
《4280》,《暦日2》,十六／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4290》,《暦日0》,十七／,ひのとのみ,さたん,,　,母倉 ちう日
《4300》,《暦日2》,十八／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《4310》,《暦日0》,十九／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《4320》,《暦日2》,廿／,かのえさる,あやふ,木,　,神よし きしく 大みやう 月とく  みそさけつくりよし
《4330》,《暦日0》,廿一／,かのとのとり,なる,,　,●
《4340》,《暦日2》,廿二／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4350》,《暦日0》,廿三／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4360》,《暦日2》,廿四／,きのえね,とつ,金,　,天しや よろつよし
《4370》,《暦日0》,廿五／,きのとのうし,たつ,,せつふん,十し
《4380》,《暦日1》,廿六／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《4390》,《節中》,立春正月せつ今暁うしの二刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4400》,《暦日1》,廿七／,ひのとのう,のそく,火,　,神よし 天おん  あさまきよし
《4410》,《暦日2》,廿八／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《4420》,《暦日0》,廿九／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《4430》,《暦日1》,卅／,かのえむま,さたん,土,　,神よし ふく日
《4440》,《暦末》,文政四年出,立表測景定節氣者
