《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0690》,《暦日0》,十五／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0700》,《節中》,啓蟄二月せつうの五刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0710》,《暦日2》,十六／,みつのえたつ,のそく,水,　,●
《0720》,《暦日0》,十七／,みつのとのみ,みつ,,天一天上,十し
《0730》,《暦日2》,十八／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0740》,《暦日0》,十九／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0750》,《暦日2》,廿／,ひのえさる,とる,火,　,神よし
《0760》,《暦日0》,廿一／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0770》,《暦日2》,廿二／,つちのえいぬ,あやふ,木,　, かといてよし
《0780》,《暦日0》,廿三／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0790》,《暦日2》,廿四／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0800》,《暦日0》,廿五／,かのとのうし,ひらく,,ひかんニなる,五む日 ふく日  ものたち  つめとりよし
《0810》,《暦日2》,廿六／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0820》,《暦日0》,廿七／,みつのとのう,たつ,,　,天火 らうしやく
《0830》,《暦日2》,廿八／,きのえたつ,のそく,火,　,●
《0840》,《暦日0》,廿九／,きのとのみ,みつ,,　,十し
《0850》,《月序》,二月,大,建,癸卯,昴宿　胃　土よう
《0860》,《暦日1》,一／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0870》,《節中》,春分二月中むまの二刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0880》,《暦日1》,二／,ひのとのひつし,さたん,水,　,さい下しき 神よし ちいみ
《0890》,《暦日2》,三／,つちのえさる,とる,土,社日,神よし  たねまきよし
《0900》,《暦日0》,四／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
