《1685-0000》,# カンマ区切りテキスト形式です。
《1685-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1685-0680》,《暦日2》,十六／,ひのえむま,たいら,水,　,大みやう 大くわ 地火 わうまう
《1685-0690》,《暦日0》,十七／,ひのとのひつし,さたん,,　,神よし ちいみ
《1685-0700》,《暦日2》,十八／,つちのえさる,とる,土,春分二月中うの一刻/社日,神よし  たねまきよし
《1685-0710》,《暦日0》,十九／,つちのとのとり,やふる,,　,大みやう
《1685-0720》,《暦日2》,廿／,かのえいぬ,あやふ,金,ひかんニなる,大みやう  けんふくよし
《1685-0730》,《暦日0》,廿一／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《1685-0740》,《暦日2》,廿二／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1685-0750》,《暦日0》,廿三／,みつのとのうし,ひらく,,ま日, つめとりよし
《1685-0760》,《暦日2》,廿四／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1685-0770》,《暦日0》,廿五／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1685-0780》,《暦日2》,廿六／,ひのえたつ,のそく,土,ま日,●
《1685-0790》,《暦日0》,廿七／,ひのとのみ,みつ,,　,十し
《1685-0800》,《暦日2》,廿八／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1685-0810》,《暦日0》,廿九／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1685-0820》,《暦日1》,卅／,かのえさる,とる,木,　,神よし 大みやう
《1685-0830》,《月序》,三月,小,建,庚辰,翼宿　軫　水よう
《1685-0840》,《暦日1》,一／,かのとのとり,やふる,木,　,大みやう くゑ日 ふく日
《1685-0850》,《暦日2》,二／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1685-0860》,《暦日0》,三／,みつのとのい,あやふ,,三月せつみの七刻ニ入/八せんのおはり,●
《1685-0870》,《暦日2》,四／,きのえね,なる,金,　,くゑ日 きこ
《1685-0880》,《暦日0》,五／,きのとのうし,おさん,,　,十し
《1685-0890》,《暦日2》,六／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1685-0900》,《暦日0》,七／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1685-0910》,《暦日2》,八／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1685-0920》,《暦日0》,九／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1685-0930》,《暦日2》,十／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1685-0940》,《暦日0》,十一／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1685-0950》,《暦日2》,十二／,みつのえさる,さたん,金,　,大みやう くゑ日
《1685-0960》,《暦日0》,十三／,みつのとのとり,とる,,　,神よし 大みやう
《1685-0970》,《暦日2》,十四／,きのえいぬ,やふる,火,　, くさかりよし
《1685-0980》,《暦日0》,十五／,きのとのい,あやふ,,とようひつしの七刻ニ入,●
《1685-0990》,《暦日2》,十六／,ひのえね,なる,水,　,きこ
《1685-1000》,《暦日0》,十七／,ひのとのうし,おさん,,　,十し
《1685-1010》,《暦日2》,十八／,つちのえとら,ひらく,土,三月中さるの三刻,天しや よろつよし
《1685-1020》,《暦日0》,十九／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1685-1030》,《暦日2》,廿／,かのえたつ,たつ,金,　,くゑ日
《1685-1040》,《暦日0》,廿一／,かのとのみ,のそく,,　,ちう日
《1685-1050》,《暦日2》,廿二／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1685-1060》,《暦日0》,廿三／,みつのとのひつし,たいら,,　,めつもん 地火 わうまう
《1685-1070》,《暦日2》,廿四／,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
《1685-1080》,《暦日0》,廿五／,きのとのとり,とる,,　,神よし  くさかりよし
《1685-1090》,《暦日2》,廿六／,ひのえいぬ,やふる,土,　,五む日
《1685-1100》,《暦日0》,廿七／,ひのとのい,あやふ,,　,●
《1685-1110》,《暦日2》,廿八／,つちのえね,なる,火,　,きこ ふく日
《1685-1120》,《暦日0》,廿九／,つちのとのうし,おさん,,八十八や,十し
《1685-1130》,《月序》,四月,大,建,辛巳,軫宿　角　木よう
《1685-1140》,《暦日2》,一／,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
《1685-1150》,《暦日0》,二／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1685-1160》,《暦日2》,三／,みつのえたつ,たつ,水,　,大みやう 五む日
《1685-1170》,《暦日0》,四／,みつのとのみ,たつ,,立夏四月せついの初刻ニ入/天一天上,●
《1685-1180》,《暦日2》,五／,きのえむま,のそく,金,　,天しや よろつよし
《1685-1190》,《暦日0》,六／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1685-1200》,《暦日2》,七／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1685-1210》,《暦日0》,八／,ひのとのとり,さたん,,　,十し
《1685-1220》,《暦日2》,九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1685-1230》,《暦日0》,十／,つちのとのい,やふる,,　,くゑ日 ちう日
《1685-1240》,《暦日2》,十一／,かのえね,あやふ,土,　,わうまう  わたまし たねまきよし
《1685-1250》,《暦日0》,十二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1685-1260》,《暦日2》,十三／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1685-1270》,《暦日0》,十四／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1685-1280》,《暦日2》,十五／,きのえたつ,とつ,火,　,大みやう
《1685-1290》,《暦日0》,十六／,きのとのみ,たつ,,　,●
《1685-1300》,《暦日2》,十七／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1685-1310》,《暦日0》,十八／,ひのとのひつし,みつ,,　,くゑ日
《1685-1320》,《暦日2》,十九／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1685-1330》,《暦日0》,廿／,つちのとのとり,さたん,,四月中うしの五刻,十し
《1685-1340》,《暦日2》,廿一／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1685-1350》,《暦日0》,廿二／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1685-1360》,《暦日2》,廿三／,みつのえね,あやふ,木,八せんのはしめ,神よし きしく ふく日  くらたてよし
《1685-1370》,《暦日0》,廿四／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1685-1380》,《暦日2》,廿五／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1685-1390》,《暦日0》,廿六／,きのとのう,ひらく,,　,神よし  さひらきよし
《1685-1400》,《暦日2》,廿七／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1685-1410》,《暦日0》,廿八／,ひのとのみ,たつ,,　,●
《1685-1420》,《暦日2》,廿九／,つちのえむま,のそく,火,ま日,くゑ日
《1685-1430》,《暦日0》,卅／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1685-1440》,《月序》,五月,大,建,壬午,角宿　氐　土よう
《1685-1450》,《暦日2》,一／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1685-1460》,《暦日0》,二／,かのとのとり,さたん,,　,十し
《1685-1470》,《暦日2》,三／,みつのえいぬ,とる,水,ま日,ふく日
《1685-1480》,《暦日0》,四／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1685-1490》,《暦日2》,五／,きのえね,やふる,金,五月せつたつの二刻ニ入,●
《1685-1500》,《暦日0》,六／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1685-1510》,《暦日2》,七／,ひのえとら,なる,火,　,きこ  つめとりよし
《1685-1520》,《暦日0》,八／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1685-1530》,《暦日2》,九／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1685-1540》,《暦日0》,十／,つちのとのみ,とつ,,　,十し
《1685-1550》,《暦日2》,十一／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1685-1560》,《暦日0》,十二／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1685-1570》,《暦日2》,十三／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1685-1580》,《暦日0》,十四／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1685-1590》,《暦日1》,十五／,きのえいぬ,さたん,火,　
《1685-1600》,《食記》,月そく皆つくる
《1685-1610》,《暦日1》,十六／,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
《1685-1620》,《暦日2》,十七／,ひのえね,やふる,水,　,●
《1685-1630》,《暦日0》,十八／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1685-1640》,《暦日2》,十九／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1685-1650》,《暦日0》,廿／,つちのとのう,おさん,,夏至五月中むまの七刻,大みやう ちいみ 大くわ わうまう
《1685-1660》,《暦日2》,廿一／,かのえたつ,ひらく,金,　,きしく  けんふく かといてよし
《1685-1670》,《暦日0》,廿二／,かのとのみ,とつ,,　,十し
《1685-1680》,《暦日2》,廿三／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1685-1690》,《暦日0》,廿四／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1685-1700》,《暦日2》,廿五／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1685-1710》,《暦日0》,廿六／,きのとのとり,たいら,,　,神よし めつもん 地火
《1685-1720》,《暦日2》,廿七／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1685-1730》,《暦日0》,廿八／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1685-1740》,《暦日2》,廿九／,つちのえね,やふる,火,　,●
《1685-1750》,《暦日0》,卅／,つちのとのうし,あやふ,,はんけしやう, 田うへ  つめとりよし
《1685-1760》,《月序》,六月,小,建,癸未,亢宿　心　月よう
《1685-1770》,《暦日2》,一／,かのえとら,なる,木,　,さい下しき きこ  井ほり  つめとりよし
《1685-1780》,《暦日0》,二／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1685-1790》,《暦日2》,三／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1685-1800》,《暦日0》,四／,みつのとのみ,とつ,,天一天上,十し
《1685-1810》,《暦日2》,五／,きのえむま,とつ,金,六月せつとりの四刻ニ入,●
《1685-1820》,《暦日0》,六／,きのとのひつし,たつ,,　,大みやう 五む日
《1685-1830》,《暦日2》,七／,ひのえさる,のそく,火,　,神よし
《1685-1840》,《暦日0》,八／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1685-1850》,《暦日2》,九／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1685-1860》,《暦日0》,十／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1685-1870》,《暦日2》,十一／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1685-1880》,《暦日0》,十二／,かのとのうし,やふる,,　,十し
《1685-1890》,《暦日2》,十三／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1685-1900》,《暦日0》,十四／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1685-1910》,《暦日2》,十五／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1685-1920》,《暦日0》,十六／,きのとのみ,ひらく,,　,大みやう ちう日
《1685-1930》,《暦日2》,十七／,ひのえむま,とつ,水,とよういの五刻ニ入,●
《1685-1940》,《暦日0》,十八／,ひのとのひつし,たつ,,　,くゑ日
《1685-1950》,《暦日2》,十九／,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
《1685-1960》,《暦日0》,廿／,つちのとのとり,みつ,,六月中夜ねの一刻,神よし 大みやう ちいみ ふく日
《1685-1970》,《暦日2》,廿一／,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
《1685-1980》,《暦日0》,廿二／,かのとのい,さたん,,　,大みやう ちう日
《1685-1990》,《暦日2》,廿三／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1685-2000》,《暦日0》,廿四／,みつのとのうし,やふる,,ま日,十し
《1685-2010》,《暦日2》,廿五／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1685-2020》,《暦日0》,廿六／,きのとのう,なる,,　,神よし 天火 らうしやく
《1685-2030》,《暦日2》,廿七／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1685-2040》,《暦日0》,廿八／,ひのとのみ,ひらく,,　,くゑ日 ちう日 わうまう
《1685-2050》,《暦日1》,廿九／,つちのえむま,とつ,火,ま日,●
《1685-2060》,《月序》,七月,大,建,甲申,氐宿　尾　火よう
《1685-2070》,《暦日1》,一／,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
《1685-2080》,《暦日2》,二／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1685-2090》,《暦日0》,三／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1685-2100》,《暦日2》,四／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1685-2110》,《暦日0》,五／,みつのとのい,さたん,,八せんのおはり,ちう日
《1685-2120》,《暦日2》,六／,きのえね,とる,金,　,きこ 下しきたつの時
《1685-2130》,《暦日0》,七／,きのとのうし,とる,,立秋七月せつとらの六刻ニ入,●
《1685-2140》,《暦日2》,八／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1685-2150》,《暦日0》,九／,ひのとのう,あやふ,,　,神よし  わたましよし
《1685-2160》,《暦日2》,十／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1685-2170》,《暦日0》,十一／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
