«1792-0000»,【 カンマ区切りテキスト形式です。】
«1792-0650»,«暦日0»,十二〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1792-0660»,«暦日2»,十三〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1792-0670»,«暦日0»,十四〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1792-0680»,«節中»,啓蟄二月せついの八刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1792-0690»,«暦日2»,十五〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1792-0700»,«暦日0»,十六〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1792-0710»,«暦日2»,十七〳,ひのえたつ,のそく,土,ま日,●
«1792-0720»,«暦日0»,十八〳,ひのとのみ,みつ,,　,十し
«1792-0730»,«暦日2»,十九〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1792-0740»,«暦日0»,廿〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1792-0750»,«暦日2»,廿一〳,かのえさる,とる,木,　,神よし 大みやう
«1792-0760»,«暦日0»,廿二〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1792-0770»,«暦日2»,廿三〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1792-0780»,«暦日0»,廿四〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1792-0790»,«暦日2»,廿五〳,きのえね,おさん,金,ひかんニなる,天おん 母倉 月とく めつもん
«1792-0800»,«暦日0»,廿六〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1792-0810»,«暦日2»,廿七〳,ひのえとら,とつ,火,　,天おん きこ わうまう  つめとりよし
«1792-0820»,«暦日0»,廿八〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1792-0830»,«暦日2»,廿九〳,つちのえたつ,のそく,木,社日,●
«1792-0840»,«暦日0»,卅〳,つちのとのみ,みつ,,　,十し
«1792-0850»,«節中»,春分二月中今暁とらの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1792-0860»,«月序»,閏二月,小,隨節用之,牛　金よう
«1792-0870»,«暦日2»,一〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1792-0880»,«暦日0»,二〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1792-0890»,«暦日2»,三〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1792-0900»,«暦日0»,四〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1792-0910»,«暦日2»,五〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1792-0920»,«暦日0»,六〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1792-0930»,«暦日2»,七〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1792-0940»,«暦日0»,八〳,ひのとのうし,ひらく,,　,さい下しき 大みやう  ものたち  つめとりよし
«1792-0950»,«暦日2»,九〳,つちのえとら,とつ,土,　,天しや よろつよし
«1792-0960»,«暦日0»,十〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1792-0970»,«暦日2»,十一〳,かのえたつ,のそく,金,　,●
«1792-0980»,«暦日0»,十二〳,かのとのみ,みつ,,　,十し
«1792-0990»,«暦日2»,十三〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1792-1000»,«暦日0»,十四〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1792-1010»,«暦日1»,十五〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1792-1020»,«節中»,清明三月せつみの二刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1792-1030»,«暦日1»,十六〳,きのとのとり,とる,水,　,神よし  くさかりよし
«1792-1040»,«暦日2»,十七〳,ひのえいぬ,やふる,土,　,五む日
«1792-1050»,«暦日0»,十八〳,ひのとのい,あやふ,,　,●
«1792-1060»,«暦日2»,十九〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1792-1070»,«暦日0»,廿〳,つちのとのうし,おさん,,　,十し
«1792-1080»,«暦日2»,廿一〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1792-1090»,«暦日0»,廿二〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1792-1100»,«暦日2»,廿三〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1792-1110»,«暦日0»,廿四〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1792-1120»,«暦日2»,廿五〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1792-1130»,«暦日0»,廿六〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1792-1140»,«暦日2»,廿七〳,ひのえさる,さたん,火,とようひつしの二刻ニ入,くゑ日
«1792-1150»,«暦日0»,廿八〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1792-1160»,«暦日1»,廿九〳,つちのえいぬ,やふる,木,　,ふく日
«1792-1170»,«月序»,三月,大,建,甲辰,鬼宿　女　土よう
«1792-1180»,«暦日1»,一〳,つちのとのい,あやふ,木,　,●
«1792-1190»,«節中»,穀雨三月中ひつしの七刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1792-1200»,«暦日2»,二〳,かのえね,なる,土,　,神よし きこ
«1792-1210»,«暦日0»,三〳,かのとのうし,おさん,,　,十し
«1792-1220»,«暦日2»,四〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1792-1230»,«暦日0»,五〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1792-1240»,«暦日2»,六〳,きのえたつ,たつ,火,　,大みやう くゑ日 わうまう
«1792-1250»,«暦日0»,七〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1792-1260»,«暦日2»,八〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1792-1270»,«暦日0»,九〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
