《1743-0000》,# カンマ区切りテキスト形式です。
《1743-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1743-0020》,# ・表の区画内での改行は“/”で表記します。
《1743-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1743-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1743-0050》,# 外部リンク
《1743-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/205 ～ 210
《1743-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1743g　(GitHub上データを表成型)
《1743-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1743h　(翻刻編集データを表成型 - 未実装)
《1743-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1743-0100》,《版元》,出版地○○,出版元□□□,　
《1743-2660》,《暦日2》,十七／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1743-2670》,《暦日0》,十八／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1743-2680》,《節中》,白露八月せつさるの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1743-2690》,《暦日2》,十九／,かのえね,たいら,土,　,さい下しき 神よし 大くわ 地火
《1743-2700》,《暦日0》,廿／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1743-2710》,《暦日2》,廿一／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1743-2720》,《暦日0》,廿二／,みつのとのう,やふる,,　, くらたて 田かりよし
《1743-2730》,《暦日2》,廿三／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1743-2740》,《暦日0》,廿四／,きのとのみ,なる,,二百廿日,十し
《1743-2750》,《暦日2》,廿五／,ひのえむま,おさん,水,　,大みやう めつもん
《1743-2760》,《暦日0》,廿六／,ひのとのひつし,ひらく,,　,●
《1743-2770》,《暦日2》,廿七／,つちのえさる,とつ,土,　,天しや よろつよし
《1743-2780》,《暦日0》,廿八／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1743-2790》,《暦日1》,廿九／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1743-2800》,《月序》,八月,小,建,辛酉,軫宿　壁　水よう
《1743-2810》,《暦日1》,一／,かのとのい,みつ,金,　,神よし 大みやう ちう日 ふく日
《1743-2820》,《暦日2》,二／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1743-2830》,《暦日0》,三／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1743-2840》,《暦日1》,四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1743-2850》,《節中》,秋分八月中いの初刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1743-2860》,《暦日1》,五／,きのとのう,やふる,水,　,くゑ日 ふく日
《1743-2870》,《暦日2》,六／,ひのえたつ,あやふ,土,ま日/ひかんニなる,大みやう わうまう
《1743-2880》,《暦日0》,七／,ひのとのみ,なる,,　,十し
《1743-2890》,《暦日2》,八／,つちのえむま,おさん,火,ま日/社日,めつもん
《1743-2900》,《暦日0》,九／,つちのとのひつし,ひらく,,　,●
《1743-2910》,《暦日2》,十／,かのえさる,とつ,木,　,神よし きしく 大みやう  入学よし
《1743-2920》,《暦日0》,十一／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1743-2930》,《暦日2》,十二／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1743-2940》,《暦日0》,十三／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1743-2950》,《暦日2》,十四／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1743-2960》,《暦日0》,十五／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1743-2970》,《暦日2》,十六／,ひのえとら,とる,火,　,きこ  つめとりよし
《1743-2980》,《暦日0》,十七／,ひのとのう,やふる,,　, 田かりよし
《1743-2990》,《暦日2》,十八／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《1743-3000》,《暦日0》,十九／,つちのとのみ,なる,,　,十し
《1743-3010》,《節中》,寒露九月せつ翌うしの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1743-3020》,《暦日2》,廿／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1743-3030》,《暦日0》,廿一／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1743-3040》,《暦日2》,廿二／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1743-3050》,《暦日0》,廿三／,みつのとのとり,とつ,,　,神よし 大みやう
《1743-3060》,《暦日2》,廿四／,きのえいぬ,たつ,火,　,くゑ日
《1743-3070》,《暦日0》,廿五／,きのとのい,のそく,,　,ちう日  田かりよし
《1743-3080》,《暦日2》,廿六／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1743-3090》,《暦日0》,廿七／,ひのとのうし,たいら,,　,十し
《1743-3100》,《暦日2》,廿八／,つちのえとら,さたん,土,　,●
《1743-3110》,《暦日0》,廿九／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1743-3120》,《月序》,九月,大,建,壬戌,角宿　奎　木よう
《1743-3130》,《暦日2》,一／,かのえたつ,やふる,金,　
《1743-3140》,《暦日0》,二／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1743-3150》,《暦日2》,三／,みつのえむま,なる,木,とよううの六刻ニ入,神よし 大みやう  けんふくよし
《1743-3160》,《暦日0》,四／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1743-3170》,《暦日2》,五／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1743-3180》,《暦日0》,六／,きのとのとり,とつ,,　,神よし  田かりよし
《1743-3190》,《節中》,霜降九月中たつの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1743-3200》,《暦日2》,七／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1743-3210》,《暦日0》,八／,ひのとのい,のそく,,　,大みやう ちう日
《1743-3220》,《暦日2》,九／,つちのえね,みつ,火,　,きしく きこ ふく日 天火 らうしやく
《1743-3230》,《暦日0》,十／,つちのとのうし,たいら,,　,十し
《1743-3240》,《暦日2》,十一／,かのえとら,さたん,木,　,●
《1743-3250》,《暦日0》,十二／,かのとのう,とる,,　,くゑ日
《1743-3260》,《暦日2》,十三／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1743-3270》,《暦日0》,十四／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1743-3280》,《暦日2》,十五／,きのえむま,なる,金,　,くゑ日
《1743-3290》,《暦日0》,十六／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1743-3300》,《暦日2》,十七／,ひのえさる,ひらく,火,　,くゑ日 わうまう
《1743-3310》,《暦日0》,十八／,ひのとのとり,とつ,,　,くゑ日
《1743-3320》,《暦日2》,十九／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1743-3330》,《暦日0》,廿／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1743-3340》,《暦日1》,廿一／,かのえね,のそく,土,　,さい下しき 神よし  くらたて 井ほりよし
《1743-3350》,《節中》,立冬十月せつむまの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1743-3360》,《暦日1》,廿二／,かのとのうし,みつ,土,　,五む日 くゑ日 きこ
《1743-3370》,《暦日2》,廿三／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1743-3380》,《暦日0》,廿四／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1743-3390》,《暦日2》,廿五／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《1743-3400》,《暦日0》,廿六／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1743-3410》,《暦日2》,廿七／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1743-3420》,《暦日0》,廿八／,ひのとのひつし,なる,,　, 木こりよし
《1743-3430》,《暦日2》,廿九／,つちのえさる,おさん,土,　,●
《1743-3440》,《暦日0》,卅／,つちのとのとり,ひらく,,　,十し
《1743-3450》,《月序》,十月,大,建,癸亥,亢宿　胃　土よう
《1743-3460》,《暦日2》,一／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《1743-3470》,《暦日0》,二／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1743-3480》,《暦日2》,三／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1743-3490》,《暦日0》,四／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1743-3500》,《暦日2》,五／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1743-3510》,《暦日0》,六／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1743-3520》,《節中》,小雪十月中とりの四刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1743-3530》,《暦日2》,七／,ひのえたつ,とる,土,ま日,きしく 大みやう ふく日  かといてよし
《1743-3540》,《暦日0》,八／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1743-3550》,《暦日2》,九／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1743-3560》,《暦日0》,十／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《1743-3570》,《暦日2》,十一／,かのえさる,おさん,木,　,●
《1743-3580》,《暦日0》,十二／,かのとのとり,ひらく,,　,十し
《1743-3590》,《暦日2》,十三／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1743-3600》,《暦日0》,十四／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1743-3610》,《暦日2》,十五／,きのえね,のそく,金,　,天しや よろつよし
《1743-3620》,《暦日0》,十六／,きのとのうし,みつ,,　,くゑ日 きこ
《1743-3630》,《暦日2》,十七／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《1743-3640》,《暦日0》,十八／,ひのとのう,さたん,,　,神よし 天火 らうしやく
《1743-3650》,《暦日2》,十九／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《1743-3660》,《暦日0》,廿／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1743-3670》,《暦日1》,廿一／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1743-3680》,《節中》,大雪十一月せつ夜ねの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1743-3690》,《暦日1》,廿二／,かのとのひつし,あやふ,土,　,大みやう  かとたてよし
《1743-3700》,《暦日2》,廿三／,みつのえさる,なる,金,　,大みやう  いちたちよし
《1743-3710》,《暦日0》,廿四／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《1743-3720》,《暦日2》,廿五／,きのえいぬ,ひらく,火,　
《1743-3730》,《暦日0》,廿六／,きのとのい,とつ,,　,ちう日
《1743-3740》,《暦日2》,廿七／,ひのえね,たつ,水,　, 木こりよし
《1743-3750》,《暦日0》,廿八／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1743-3760》,《暦日2》,廿九／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1743-3770》,《暦日0》,卅／,つちのとのう,たいら,,　,●
《1743-3780》,《月序》,十一月,大,建,甲子,氐宿　畢　月よう
《1743-3790》,《暦日2》,一／,かのえたつ,さたん,金,　, たねまきよし
《1743-3800》,《暦日0》,二／,かのとのみ,とる,,　,十し
《1743-3810》,《暦日2》,三／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《1743-3820》,《暦日0》,四／,みつのとのひつし,あやふ,,　,ふく日
《1743-3830》,《暦日2》,五／,きのえさる,なる,水,十方くれニ入,きしく 大みやう
《1743-3840》,《暦日0》,六／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《1743-3850》,《節中》,冬至十一月中翌とらの六刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1743-3860》,《暦日2》,七／,ひのえいぬ,ひらく,土,　,五む日
《1743-3870》,《暦日0》,八／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《1743-3880》,《暦日2》,九／,つちのえね,たつ,火,　,くゑ日
《1743-3890》,《暦日0》,十／,つちのとのうし,のそく,,　,わうまう  つめとりよし
《1743-3900》,《暦日2》,十一／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1743-3910》,《暦日0》,十二／,かのとのう,たいら,,　,●
《1743-3920》,《暦日2》,十三／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《1743-3930》,《暦日0》,十四／,みつのとのみ,とる,,天一天上,十し
《1743-3940》,《暦日2》,十五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1743-3950》,《暦日0》,十六／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1743-3960》,《暦日2》,十七／,ひのえさる,なる,火,　
《1743-3970》,《暦日0》,十八／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《1743-3980》,《暦日2》,十九／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1743-3990》,《暦日0》,廿／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1743-4000》,《暦日2》,廿一／,かのえね,たつ,土,　,さい下しき  井ほりよし
《1743-4010》,《暦日0》,廿二／,かのとのうし,たつ,,　,十し
《1743-4020》,《節中》,小寒十二月せつみの三刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1743-4030》,《暦日2》,廿三／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1743-4040》,《暦日0》,廿四／,みつのとのう,みつ,,　,神よし  わたましよし
《1743-4050》,《暦日2》,廿五／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《1743-4060》,《暦日0》,廿六／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《1743-4070》,《暦日2》,廿七／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《1743-4080》,《暦日0》,廿八／,ひのとのひつし,やふる,,　,くゑ日
《1743-4090》,《暦日2》,廿九／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1743-4100》,《暦日0》,卅／,つちのとのとり,なる,,　,●
《1743-4110》,《月序》,十二月,大,建,乙丑,房宿　參　水よう
《1743-4120》,《暦日2》,一／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《1743-4130》,《暦日0》,二／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《1743-4140》,《暦日2》,三／,みつのえね,とつ,木,八せんのはしめ,きしく くゑ日 きこ ちいみ
《1743-4150》,《暦日0》,四／,みつのとのうし,たつ,,ま日/とようひつしの三刻ニ入,十し
《1743-4160》,《暦日2》,五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1743-4170》,《暦日0》,六／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《1743-4180》,《暦日1》,七／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1743-4190》,《節中》,大寒十二月中さるの初刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1743-4200》,《暦日1》,八／,ひのとのみ,さたん,土,　,ちう日
《1743-4210》,《暦日2》,九／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《1743-4220》,《暦日0》,十／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1743-4230》,《暦日2》,十一／,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
《1743-4240》,《暦日0》,十二／,かのとのとり,なる,,　,●
《1743-4250》,《暦日2》,十三／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1743-4260》,《暦日0》,十四／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1743-4270》,《暦日2》,十五／,きのえね,とつ,金,　,天しや よろつよし
《1743-4280》,《暦日0》,十六／,きのとのうし,たつ,,　,十し
《1743-4290》,《暦日2》,十七／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《1743-4300》,《暦日0》,十八／,ひのとのう,みつ,,　,神よし
《1743-4310》,《暦日2》,十九／,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
《1743-4320》,《暦日0》,廿／,つちのとのみ,さたん,,　,ちう日 ふく日
《1743-4330》,《暦日2》,廿一／,かのえむま,とる,土,せつふん,わうまう  すゝはらひよし
《1743-4340》,《暦日0》,廿二／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1743-4350》,《節中》,立春正月せついぬの五刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1743-4360》,《暦日2》,廿三／,みつのえさる,やふる,金,　,神よし 大みやう
《1743-4370》,《暦日0》,廿四／,みつのとのとり,あやふ,,　,十し
《1743-4380》,《暦日2》,廿五／,きのえいぬ,なる,火,　,●
《1743-4390》,《暦日0》,廿六／,きのとのい,おさん,,　,大くわ ちう日
《1743-4400》,《暦日2》,廿七／,ひのえね,ひらく,水,　,天火 らうしやく
《1743-4410》,《暦日0》,廿八／,ひのとのうし,とつ,,　,さい下しき 大みやう きこ ちいみ わうまう  ものたち 木こり  つめとりよし
《1743-4420》,《暦日2》,廿九／,つちのえとら,たつ,土,　,天しや よろつよし
《1743-4430》,《暦日0》,卅／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1743-4440》,《暦末》,寛保二年出,立表測景定節氣者
